question,metric,left,right,pairs,median_difference,ci_low,ci_high,p_value_uncorrected,p_value_holm
RQ-E,feasible,fiii_distributed_vgne_R,fii_smith_R,4,0.0,0.0,0.0,1.0,1.0
RQ-E,optimality_gap,fiii_distributed_vgne_R,fii_smith_R,4,-0.026435043621930537,-0.5017676197901179,0.14798971287116405,0.875,1.0
RQ-E,closure_operations,fiii_distributed_vgne_R,fii_smith_R,4,-0.5,-3.0,0.0,0.5,1.0
RQ-G,discounted_cost,perfect_foresight_dp,myopic_cold,30,-0.4864131383561172,-0.6491854446673326,-0.41522395817805513,1.862645149230957e-09,9.313225746154785e-09
RQ-G,discounted_cost,perfect_foresight_dp,event_triggered_warm,30,-0.41522395817805513,-0.4864187274308422,-0.32884590254358803,1.862645149230957e-09,9.313225746154785e-09
