case_id,method,passed,message,experiment_id,movement_type,robot_load_regime,scenario_generator,seed,finite_metrics,frame_count_valid,coverage_valid,hamiltonian_valid
overactuated_push_more_robots_than_loads,wrench_oracle,True,,SP3_POSE_suite_euler_lagrange_transport,push,more_robots_than_loads,pose_push_overactuated,5300,True,True,True,True
overactuated_push_more_robots_than_loads,hungarian_slots,True,,SP3_POSE_suite_euler_lagrange_transport,push,more_robots_than_loads,pose_push_overactuated,5300,True,True,True,True
overactuated_push_more_robots_than_loads,capacity_greedy_slots,True,,SP3_POSE_suite_euler_lagrange_transport,push,more_robots_than_loads,pose_push_overactuated,5300,True,True,True,True
overactuated_push_more_robots_than_loads,cbba_slots,True,,SP3_POSE_suite_euler_lagrange_transport,push,more_robots_than_loads,pose_push_overactuated,5300,True,True,True,True
overactuated_push_more_robots_than_loads,smith_wrench_deficit,True,,SP3_POSE_suite_euler_lagrange_transport,push,more_robots_than_loads,pose_push_overactuated,5300,True,True,True,True
overactuated_push_more_robots_than_loads,support_dual_wrench_market,True,,SP3_POSE_suite_euler_lagrange_transport,push,more_robots_than_loads,pose_push_overactuated,5300,True,True,True,True
balanced_push_drag_equal_robots_loads,wrench_oracle,True,,SP3_POSE_suite_euler_lagrange_transport,push_drag,equal_robots_loads,pose_push_drag_balanced,5301,True,True,True,True
balanced_push_drag_equal_robots_loads,hungarian_slots,True,,SP3_POSE_suite_euler_lagrange_transport,push_drag,equal_robots_loads,pose_push_drag_balanced,5301,True,True,True,True
balanced_push_drag_equal_robots_loads,capacity_greedy_slots,True,,SP3_POSE_suite_euler_lagrange_transport,push_drag,equal_robots_loads,pose_push_drag_balanced,5301,True,True,True,True
balanced_push_drag_equal_robots_loads,cbba_slots,True,,SP3_POSE_suite_euler_lagrange_transport,push_drag,equal_robots_loads,pose_push_drag_balanced,5301,True,True,True,True
balanced_push_drag_equal_robots_loads,smith_wrench_deficit,True,,SP3_POSE_suite_euler_lagrange_transport,push_drag,equal_robots_loads,pose_push_drag_balanced,5301,True,True,True,True
balanced_push_drag_equal_robots_loads,support_dual_wrench_market,True,,SP3_POSE_suite_euler_lagrange_transport,push_drag,equal_robots_loads,pose_push_drag_balanced,5301,True,True,True,True
scarce_heavy_cargo_fewer_robots_than_loads,wrench_oracle,True,,SP3_POSE_suite_euler_lagrange_transport,cargo_push_drag,fewer_robots_than_loads,pose_cargo_scarce,5302,True,True,True,True
scarce_heavy_cargo_fewer_robots_than_loads,hungarian_slots,True,,SP3_POSE_suite_euler_lagrange_transport,cargo_push_drag,fewer_robots_than_loads,pose_cargo_scarce,5302,True,True,True,True
scarce_heavy_cargo_fewer_robots_than_loads,capacity_greedy_slots,True,,SP3_POSE_suite_euler_lagrange_transport,cargo_push_drag,fewer_robots_than_loads,pose_cargo_scarce,5302,True,True,True,True
scarce_heavy_cargo_fewer_robots_than_loads,cbba_slots,True,,SP3_POSE_suite_euler_lagrange_transport,cargo_push_drag,fewer_robots_than_loads,pose_cargo_scarce,5302,True,True,True,True
scarce_heavy_cargo_fewer_robots_than_loads,smith_wrench_deficit,True,,SP3_POSE_suite_euler_lagrange_transport,cargo_push_drag,fewer_robots_than_loads,pose_cargo_scarce,5302,True,True,True,True
scarce_heavy_cargo_fewer_robots_than_loads,support_dual_wrench_market,True,,SP3_POSE_suite_euler_lagrange_transport,cargo_push_drag,fewer_robots_than_loads,pose_cargo_scarce,5302,True,True,True,True
