experiment,method,n_robots,n_loads,topology,runs,converged,convergence_rate,convergence_wilson_low,convergence_wilson_high,integer_feasibility_rate,censored,rmst_rounds,median_wall_time_s,median_packets,median_scalars,median_bytes,median_payoff_evaluations,median_MILP_gap,simplex_violation_max,mask_violation_max
e71,BNN-D-preconditioned,20,4,shared_dual,30,30,1.0,0.8864866068260312,1.0,1.0,0,1109.6333333333334,12.722655549936462,0.0,0.0,0.0,60020.0,0.0572179679240959,3.3306690738754696e-16,0.0
e71,BNN-D-preconditioned,50,10,shared_dual,30,17,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.5666666666666667,13,2148.0333333333338,30.488573599956,0.0,0.0,0.0,150050.0,0.0765161531639692,4.440892098500626e-16,0.0
e71,BNN-D-preconditioned,100,20,shared_dual,30,3,0.1,0.0345998887473341,0.2562108257918408,0.1,27,2904.1666666666665,58.46467695001047,0.0,0.0,0.0,300100.0,,9.992007221626409e-16,0.0
e71,BestResponse-D,20,4,shared_dual,30,0,0.0,0.0,0.1135133931739687,0.0,30,3000.0,7.50150755001232,0.0,0.0,0.0,60020.0,1.5568213300430648e-15,5.551115123125784e-16,0.0
e71,BestResponse-D,50,10,shared_dual,30,0,0.0,0.0,0.1135133931739687,0.0,30,3000.0,16.480214249982964,0.0,0.0,0.0,150050.0,,5.551115123125784e-16,0.0
e71,BestResponse-D,100,20,shared_dual,30,0,0.0,0.0,0.1135133931739687,0.0,30,3000.0,31.29087189998245,0.0,0.0,0.0,300100.0,,5.551115123125784e-16,0.0
e71,Logit-D-annealed,20,4,shared_dual,30,30,1.0,0.8864866068260312,1.0,1.0,0,959.0666666666664,7.897044299985282,0.0,0.0,0.0,58120.0,0.0491086880284528,4.329869796038111e-15,0.0
e71,Logit-D-annealed,50,10,shared_dual,30,30,1.0,0.8864866068260312,1.0,1.0,0,1135.5,16.6367586000124,0.0,0.0,0.0,135800.0,0.0767043796138289,3.3306690738754696e-15,0.0
e71,Logit-D-annealed,100,20,shared_dual,30,30,1.0,0.8864866068260312,1.0,1.0,0,1076.0333333333333,27.012478550022934,0.0,0.0,0.0,237300.0,,3.3306690738754696e-15,0.0
e71,Replicator-D-preconditioned,20,4,shared_dual,30,26,0.8666666666666667,0.703186733179637,0.9469034451594526,0.8666666666666667,4,1596.8000000000004,3.1207326999865472,0.0,0.0,0.0,120020.0,0.0713265968669784,2.220446049250313e-16,0.0
e71,Replicator-D-preconditioned,50,10,shared_dual,30,10,0.3333333333333333,0.1923049808367613,0.5121994835545616,0.3333333333333333,20,2651.2333333333336,3.627258349966724,0.0,0.0,0.0,300050.0,0.0850243766739996,4.440892098500626e-16,0.0
e71,Replicator-D-preconditioned,100,20,shared_dual,30,0,0.0,0.0,0.1135133931739687,0.0,30,3000.0,4.314324399980251,0.0,0.0,0.0,600100.0,,6.661338147750939e-16,0.0
e71,Smith-D-preconditioned,20,4,shared_dual,30,28,0.9333333333333332,0.7867654163738308,0.9815229762087296,0.9333333333333332,2,1343.3000000000002,11.530062149977311,0.0,0.0,0.0,60020.0,0.0554520254009757,2.220446049250313e-16,0.0
e71,Smith-D-preconditioned,50,10,shared_dual,30,7,0.2333333333333333,0.1179238814448949,0.4092832615812216,0.2333333333333333,23,2646.9666666666667,27.978100300009828,0.0,0.0,0.0,150050.0,0.1087347590696848,4.440892098500626e-16,0.0
e71,Smith-D-preconditioned,100,20,shared_dual,30,0,0.0,0.0,0.1135133931739687,0.0,30,3000.0,53.95027354999911,0.0,0.0,0.0,300100.0,,6.661338147750939e-16,0.0
