left,right,metric,worlds,median_difference,ci_low,ci_high,wilcoxon_p,holm_p
geo_qpg_c3,geo_qpg_u,optimality_gap,1133,-0.492104820714158,-0.5312680928608422,-0.45851357325523406,9.942113586733287e-187,3.976845434693315e-186
geo_qpg_smith,geo_qpg_u,optimality_gap,1097,0.09720846370409139,0.08291287705779682,0.11268690713669594,6.294245708510285e-37,1.8882737125530856e-36
geo_qpg_lll,geo_qpg_u,optimality_gap,1116,0.0678742808314067,0.05120271218146121,0.08733039465987756,1.5578806911409198e-20,3.1157613822818396e-20
geo_qpg_d,geo_qpg_cf,optimality_gap,1160,0.0,0.0,0.0,1.0,1.0
geo_qpg_d,geo_qpg_cf,bytes_per_agent,1200,1282.5,1258.0,1317.5,8.13371729994914e-198,
geo_qpg_d,geo_qpg_cf,runtime_ms,1200,-26.10074999392964,-28.17032375605777,-24.533150004572235,4.862601990222764e-145,
