method,N,runs,feasibility,gap_median,runtime_ms_median,bytes_median
dpop_exact_small,6,200,1.0,0.0,3.83359998522792,2944.0
dpop_exact_small,8,200,1.0,0.0,37.387000003946014,26288.0
geo_qpg_c3,6,200,1.0,0.0,11.372500011930242,11510.0
geo_qpg_c3,8,200,1.0,0.0,23.43294997990597,26008.0
geo_qpg_d,6,200,1.0,0.0,6.270750003750436,6844.0
geo_qpg_d,8,200,1.0,8.143795038103563e-16,10.721999991801566,13594.0
geo_qpg_p,6,200,1.0,0.0218570418670611,5.665349992341362,4734.0
geo_qpg_p,8,200,1.0,0.0389097521594535,9.800050014746375,8650.0
geo_qpg_u,6,200,0.97,0.23825588573816814,1.4188999775797129,1548.0
geo_qpg_u,8,200,1.0,0.27243551900224044,2.0426500122994184,2688.0
milp_highs,6,200,1.0,0.0,1.9909499969799072,
milp_highs,8,200,1.0,0.0,3.0162000039126724,
