id,candidate,reference,metric,n_pairs,effect_mean_paired,ci95_low,ci95_high,p_value_raw,interpretation,p_value_holm,reject_holm_005
H-SP2-1,smith__marginal_deficit,smith__plain_deficit,normalized_regret,480,-0.026386992605139704,-0.04362686676083546,-0.010035360288460748,2.228089774992686e-05,candidate_better,0.0001782471819994149,True
H-SP2-2,replicator__marginal_deficit,replicator__plain_deficit,normalized_regret,480,-0.01781803354727101,-0.03512122405736942,-0.0015270274652477438,0.004503453902352396,candidate_better,0.02251726951176198,True
H-SP2-3,erv_bnn__marginal_deficit,erv_bnn__plain_deficit,normalized_regret,480,-0.03378385735528355,-0.050144512381766135,-0.01763746406741851,1.3045996396089116e-07,candidate_better,1.1741396756480204e-06,True
H-SP2-4,smith__marginal_log,smith__plain_deficit,normalized_regret,480,-0.05018359159007466,-0.07041525775719915,-0.03095900851824344,0.0018214472216205784,candidate_better,0.01092868332972347,True
H-SP2-5,replicator__marginal_log,replicator__plain_deficit,normalized_regret,480,-0.035552127858150345,-0.05570060901571946,-0.014766053208460249,0.05223203294412401,candidate_better,0.15669609883237204,False
H-SP2-6,erv_bnn__marginal_log,erv_bnn__plain_deficit,normalized_regret,480,-0.04603374296816338,-0.06557425813279724,-0.024957763291399766,0.0006279908984715128,candidate_better,0.00439593628930059,True
H-SP2-7,erv_bnn__marginal_log,smith__marginal_log,normalized_regret,480,0.00023263718161756764,-0.0075069658253541695,0.008525861997538124,0.03427434928840111,inconclusive,0.13709739715360444,False
H-SP2-8,erv_bnn__marginal_log,replicator__marginal_log,normalized_regret,480,0.00397749035842808,-0.004406868147952873,0.012602441068084986,0.4120677868124477,inconclusive,0.8241355736248954,False
H-SP2-9,erv_bnn__marginal_log,greedy_capacity,normalized_regret,480,-0.05040500023480655,-0.07325022687235727,-0.02888622252302859,7.686335175630575e-09,candidate_better,7.686335175630576e-08,True
H-SP2-10,erv_bnn__marginal_log,auction_capacity,normalized_regret,480,-0.023560919331345638,-0.043351032259409,-0.0023693834195474732,0.7820093283432329,candidate_better,0.8241355736248954,False
H-SP2-11,erv_bnn__marginal_log,milp_exact,normalized_regret,480,0.2879581713182835,0.26914869578829603,0.3067559756108204,3.2449445604535875e-79,reference_better,3.5694390164989463e-78,True
