experiment,world_id,world_seed,replicate,scenario,scenario_label,pressure,capacity_cv,realized_cv,N,K,supply,demand,realized_pressure,milp_status,certified_feasible,proven_infeasible,censored,milp_objective,excess_capacity,coalition_size,milp_runtime_s
phase_diagram,93d6d0194bd46a3f8143,1087279400,0,uniform,Aleatorio,0.75,0.0,0.0,24,8,120.0,90.0,0.75,OPTIMAL,True,False,False,405.62243122477196,14.999999999999995,21.0,0.0030719999922439456
phase_diagram,93d6d0194bd46a3f8143,1087279400,0,uniform,Aleatorio,0.75,0.65,0.6490720218335895,24,8,120.0,90.0,0.75,OPTIMAL,True,False,False,431.3316185231409,13.75616918918072,18.99999999999997,0.15352980000898242
phase_diagram,4b9e4454ab2c4346cce2,3956338004,1,uniform,Aleatorio,0.75,0.0,0.0,24,8,120.0,90.0,0.75,OPTIMAL,True,False,False,446.11847244061505,24.999999999999996,23.0,0.0026341999764554203
phase_diagram,4b9e4454ab2c4346cce2,3956338004,1,uniform,Aleatorio,0.75,0.65,0.3976496699086938,24,8,120.0,90.0,0.75,OPTIMAL,True,False,False,319.24935434455597,6.956147511339045,17.0,0.01913949998561293
phase_diagram,6ac493c87a2059dc82cd,1846819321,2,uniform,Aleatorio,0.75,0.0,0.0,24,8,120.0,90.0,0.75,OPTIMAL,True,False,False,583.4873051713311,25.0,23.0,0.0021930999937467277
phase_diagram,6ac493c87a2059dc82cd,1846819321,2,uniform,Aleatorio,0.75,0.65,0.8380789435726141,24,8,120.0,90.0,0.75,OPTIMAL,True,False,False,400.131874379218,12.13608473999229,15.999999999999991,0.06918099999893457
phase_diagram,3efec12df61927f53cc4,2547220511,0,uniform,Aleatorio,1.02,0.0,0.0,24,8,120.0,122.4,1.02,INFEASIBLE,False,True,False,,,,0.0024840999976731837
phase_diagram,3efec12df61927f53cc4,2547220511,0,uniform,Aleatorio,1.02,0.65,0.4997498989957597,24,8,120.00000000000001,122.4,1.02,INFEASIBLE,False,True,False,,,,0.002299999992828816
phase_diagram,a51414f71a61329b3e13,178902655,1,uniform,Aleatorio,1.02,0.0,0.0,24,8,120.0,122.39999999999998,1.0199999999999998,INFEASIBLE,False,True,False,,,,0.0022841999889351428
phase_diagram,a51414f71a61329b3e13,178902655,1,uniform,Aleatorio,1.02,0.65,0.5598652052517837,24,8,119.99999999999999,122.39999999999998,1.02,INFEASIBLE,False,True,False,,,,0.0024898999836295843
phase_diagram,7ff83730b12502e7b31f,3967964284,2,uniform,Aleatorio,1.02,0.0,0.0,24,8,120.0,122.4,1.02,INFEASIBLE,False,True,False,,,,0.0020190999493934214
phase_diagram,7ff83730b12502e7b31f,3967964284,2,uniform,Aleatorio,1.02,0.65,0.6223502865167742,24,8,119.99999999999997,122.4,1.0200000000000002,INFEASIBLE,False,True,False,,,,0.002183800039347261
