experiment_id,scenario_generator,scenario_variant_id,seed,method,method_family,method_scope,method_ownership,load_id,load_index,mass_kg,length_m,width_m,required_robots,assigned_robots,robot_deficit,robot_surplus,required_capacity_kg,assigned_nominal_capacity_kg,assigned_effective_capacity_kg,capacity_deficit_kg,capacity_surplus_kg,capacity_margin_kg,capacity_satisfaction_ratio,status,reward,assigned_robot_ids,method_variant,method_comparison_group,assigned_visible_robots,assigned_out_of_radius_robots
SP2_DEBUG_smoke,setup,setup_v00,3100,greedy_capacity_nearest,classic,decentralized,baseline,load-01,1,138.21633048161345,3.0595538789343197,0.892165273935799,4,4,0,0,138.21633048161345,164.47876450506322,123.07965506030308,15.136675421310372,0.0,-15.136675421310372,0.8904856222953773,UNDER,4.315046307840447,amr-02 amr-03 amr-04 amr-05,nearest_capacity_greedy,classic_decentralized_baseline,4,0
SP2_DEBUG_smoke,setup,setup_v00,3100,greedy_capacity_nearest,classic,decentralized,baseline,load-02,2,34.64410627595467,1.036965724895726,1.0588719308259011,1,1,0,0,34.64410627595467,66.00181783836098,58.99256030389297,0.0,24.348454027938303,24.348454027938303,1.0,OVER,1.919535956000324,amr-01,nearest_capacity_greedy,classic_decentralized_baseline,1,0
SP2_DEBUG_smoke,setup,setup_v00,3100,hungarian_capacity,classic,centralized,baseline,load-01,1,138.21633048161345,3.0595538789343197,0.892165273935799,4,4,0,0,138.21633048161345,164.47876450506322,123.07965506030308,15.136675421310372,0.0,-15.136675421310372,0.8904856222953773,UNDER,4.315046307840447,amr-02 amr-03 amr-04 amr-05,hungarian_capacity_expanded,classic_centralized_baseline,4,0
SP2_DEBUG_smoke,setup,setup_v00,3100,hungarian_capacity,classic,centralized,baseline,load-02,2,34.64410627595467,1.036965724895726,1.0588719308259011,1,1,0,0,34.64410627595467,66.00181783836098,58.99256030389297,0.0,24.348454027938303,24.348454027938303,1.0,OVER,1.919535956000324,amr-01,hungarian_capacity_expanded,classic_centralized_baseline,1,0
SP2_DEBUG_smoke,setup,setup_v00,3100,centralized_capacity_milp,model_based_oracle,centralized,reference,load-01,1,138.21633048161345,3.0595538789343197,0.892165273935799,4,4,0,0,138.21633048161345,187.83713325396442,139.33536499570022,0.0,1.1190345140867635,1.1190345140867635,1.0,OK,4.315046307840447,amr-01 amr-02 amr-04 amr-05,exact_effective_capacity_milp,centralized_oracle_reference,4,0
SP2_DEBUG_smoke,setup,setup_v00,3100,centralized_capacity_milp,model_based_oracle,centralized,reference,load-02,2,34.64410627595467,1.036965724895726,1.0588719308259011,1,1,0,0,34.64410627595467,42.64344908945978,33.16972902192015,1.474377254034522,0.0,-1.474377254034522,0.9574421911106468,UNDER,1.919535956000324,amr-03,exact_effective_capacity_milp,centralized_oracle_reference,1,0
SP2_DEBUG_smoke,setup,setup_v00,3100,cbba_capacity,sota,decentralized,baseline,load-01,1,138.21633048161345,3.0595538789343197,0.892165273935799,4,4,0,0,138.21633048161345,194.4706315599552,145.58841272159532,0.0,7.372082239981864,7.372082239981864,1.0,OK,4.315046307840447,amr-01 amr-03 amr-04 amr-05,cbba_payload_capacity_proxy,sota_decentralized_baseline,4,0
SP2_DEBUG_smoke,setup,setup_v00,3100,cbba_capacity,sota,decentralized,baseline,load-02,2,34.64410627595467,1.036965724895726,1.0588719308259011,1,1,0,0,34.64410627595467,36.009950783469016,23.849447660343497,10.794658615611173,0.0,-10.794658615611173,0.6884128420104926,UNDER,1.919535956000324,amr-02,cbba_payload_capacity_proxy,sota_decentralized_baseline,1,0
SP2_DEBUG_smoke,setup,setup_v00,3100,replicator_capacity_marginal,model_based,decentralized,baseline,load-01,1,138.21633048161345,3.0595538789343197,0.892165273935799,4,4,0,0,138.21633048161345,164.47876450506322,123.07965506030308,15.136675421310372,0.0,-15.136675421310372,0.8904856222953773,UNDER,4.315046307840447,amr-02 amr-03 amr-04 amr-05,population_game_marginal_capacity_payoff,sp2_plain_vs_marginal_ablation,4,0
SP2_DEBUG_smoke,setup,setup_v00,3100,replicator_capacity_marginal,model_based,decentralized,baseline,load-02,2,34.64410627595467,1.036965724895726,1.0588719308259011,1,1,0,0,34.64410627595467,66.00181783836098,58.99256030389297,0.0,24.348454027938303,24.348454027938303,1.0,OVER,1.919535956000324,amr-01,population_game_marginal_capacity_payoff,sp2_plain_vs_marginal_ablation,1,0
SP2_DEBUG_smoke,setup,setup_v00,3100,replicator_capacity_marginal_repair,model_based,decentralized,proposed,load-01,1,138.21633048161345,3.0595538789343197,0.892165273935799,4,4,0,0,138.21633048161345,187.83713325396442,139.33536499570022,0.0,1.1190345140867635,1.1190345140867635,1.0,OK,4.315046307840447,amr-01 amr-02 amr-04 amr-05,replicator_marginal_completion_repair,proposed_local_repair_family,4,0
SP2_DEBUG_smoke,setup,setup_v00,3100,replicator_capacity_marginal_repair,model_based,decentralized,proposed,load-02,2,34.64410627595467,1.036965724895726,1.0588719308259011,1,1,0,0,34.64410627595467,42.64344908945978,33.16972902192015,1.474377254034522,0.0,-1.474377254034522,0.9574421911106468,UNDER,1.919535956000324,amr-03,replicator_marginal_completion_repair,proposed_local_repair_family,1,0
SP2_DEBUG_smoke,setup,setup_v00,3100,logit_capacity_repair,model_based,decentralized,proposed,load-01,1,138.21633048161345,3.0595538789343197,0.892165273935799,4,4,0,0,138.21633048161345,187.83713325396442,139.33536499570022,0.0,1.1190345140867635,1.1190345140867635,1.0,OK,4.315046307840447,amr-01 amr-02 amr-04 amr-05,logit_completion_repair,proposed_local_repair_family,4,0
SP2_DEBUG_smoke,setup,setup_v00,3100,logit_capacity_repair,model_based,decentralized,proposed,load-02,2,34.64410627595467,1.036965724895726,1.0588719308259011,1,1,0,0,34.64410627595467,42.64344908945978,33.16972902192015,1.474377254034522,0.0,-1.474377254034522,0.9574421911106468,UNDER,1.919535956000324,amr-03,logit_completion_repair,proposed_local_repair_family,1,0
SP2_DEBUG_smoke,setup,setup_v00,3100,bnn_capacity_repair,model_based,decentralized,proposed,load-01,1,138.21633048161345,3.0595538789343197,0.892165273935799,4,4,0,0,138.21633048161345,194.4706315599552,145.58841272159532,0.0,7.372082239981864,7.372082239981864,1.0,OK,4.315046307840447,amr-01 amr-03 amr-04 amr-05,brown_bnn_completion_repair,proposed_local_repair_family,4,0
SP2_DEBUG_smoke,setup,setup_v00,3100,bnn_capacity_repair,model_based,decentralized,proposed,load-02,2,34.64410627595467,1.036965724895726,1.0588719308259011,1,1,0,0,34.64410627595467,36.009950783469016,23.849447660343497,10.794658615611173,0.0,-10.794658615611173,0.6884128420104926,UNDER,1.919535956000324,amr-02,brown_bnn_completion_repair,proposed_local_repair_family,1,0
SP2_DEBUG_smoke,setup,setup_v00,3100,smith_capacity,model_based,decentralized,proposed,load-01,1,138.21633048161345,3.0595538789343197,0.892165273935799,4,4,0,0,138.21633048161345,187.83713325396442,139.33536499570022,0.0,1.1190345140867635,1.1190345140867635,1.0,OK,4.315046307840447,amr-01 amr-02 amr-04 amr-05,smith_qr_effective_capacity,proposed_model_based_variation,4,0
SP2_DEBUG_smoke,setup,setup_v00,3100,smith_capacity,model_based,decentralized,proposed,load-02,2,34.64410627595467,1.036965724895726,1.0588719308259011,1,1,0,0,34.64410627595467,42.64344908945978,33.16972902192015,1.474377254034522,0.0,-1.474377254034522,0.9574421911106468,UNDER,1.919535956000324,amr-03,smith_qr_effective_capacity,proposed_model_based_variation,1,0
SP2_DEBUG_smoke,setup,setup_v00,3100,smith_capacity_marginal_repair,model_based,decentralized,proposed,load-01,1,138.21633048161345,3.0595538789343197,0.892165273935799,4,4,0,0,138.21633048161345,187.83713325396442,139.33536499570022,0.0,1.1190345140867635,1.1190345140867635,1.0,OK,4.315046307840447,amr-01 amr-02 amr-04 amr-05,smith_qr_marginal_completion_repair,proposed_local_repair_family,4,0
SP2_DEBUG_smoke,setup,setup_v00,3100,smith_capacity_marginal_repair,model_based,decentralized,proposed,load-02,2,34.64410627595467,1.036965724895726,1.0588719308259011,1,1,0,0,34.64410627595467,42.64344908945978,33.16972902192015,1.474377254034522,0.0,-1.474377254034522,0.9574421911106468,UNDER,1.919535956000324,amr-03,smith_qr_marginal_completion_repair,proposed_local_repair_family,1,0
SP2_DEBUG_smoke,setup,setup_v00,3100,primal_dual_capacity,model_based,decentralized,proposed,load-01,1,138.21633048161345,3.0595538789343197,0.892165273935799,4,4,0,0,138.21633048161345,187.83713325396442,139.33536499570022,0.0,1.1190345140867635,1.1190345140867635,1.0,OK,4.315046307840447,amr-01 amr-02 amr-04 amr-05,primal_dual_effective_capacity,proposed_model_based_variation,4,0
SP2_DEBUG_smoke,setup,setup_v00,3100,primal_dual_capacity,model_based,decentralized,proposed,load-02,2,34.64410627595467,1.036965724895726,1.0588719308259011,1,1,0,0,34.64410627595467,42.64344908945978,33.16972902192015,1.474377254034522,0.0,-1.474377254034522,0.9574421911106468,UNDER,1.919535956000324,amr-03,primal_dual_effective_capacity,proposed_model_based_variation,1,0
SP2_DEBUG_smoke,setup,setup_v00,3100,primal_dual_capacity_repair,model_based,decentralized,proposed,load-01,1,138.21633048161345,3.0595538789343197,0.892165273935799,4,4,0,0,138.21633048161345,194.4706315599552,145.58841272159532,0.0,7.372082239981864,7.372082239981864,1.0,OK,4.315046307840447,amr-01 amr-03 amr-04 amr-05,primal_dual_completion_repair,proposed_local_repair_family,4,0
SP2_DEBUG_smoke,setup,setup_v00,3100,primal_dual_capacity_repair,model_based,decentralized,proposed,load-02,2,34.64410627595467,1.036965724895726,1.0588719308259011,1,1,0,0,34.64410627595467,36.009950783469016,23.849447660343497,10.794658615611173,0.0,-10.794658615611173,0.6884128420104926,UNDER,1.919535956000324,amr-02,primal_dual_completion_repair,proposed_local_repair_family,1,0
SP2_DEBUG_smoke,setup,setup_v00,3100,pid_capacity_repair,model_based,decentralized_local,proposed,load-01,1,138.21633048161345,3.0595538789343197,0.892165273935799,4,4,0,0,138.21633048161345,187.83713325396442,139.33536499570022,0.0,1.1190345140867635,1.1190345140867635,1.0,OK,4.315046307840447,amr-01 amr-02 amr-04 amr-05,pid_completion_error_repair,proposed_local_repair_family,4,0
SP2_DEBUG_smoke,setup,setup_v00,3100,pid_capacity_repair,model_based,decentralized_local,proposed,load-02,2,34.64410627595467,1.036965724895726,1.0588719308259011,1,1,0,0,34.64410627595467,42.64344908945978,33.16972902192015,1.474377254034522,0.0,-1.474377254034522,0.9574421911106468,UNDER,1.919535956000324,amr-03,pid_completion_error_repair,proposed_local_repair_family,1,0
