bc_accuracy,bc_loss,epoch
0.6115000017136335,0.9858230238705874,0
0.6330333346426487,0.9097321422547102,1
0.633550001770258,0.9059361919462681,2
0.6336333352327347,0.9041522001177072,3
0.6345833356678486,0.9031249195337295,4
0.6346250021755695,0.9024169055074454,5
0.6346250019818545,0.9018485309630633,6
0.6349083354622126,0.9013242862820625,7
0.6346416688412428,0.9007864957600832,8
0.6346250021606684,0.9001758394092322,9
0.6352500021010637,0.8994159297049046,10
0.6355666687041521,0.8984357323348522,11
0.6360500017553568,0.89723453566432,12
0.6365583351254464,0.8959233238846064,13
0.6369916684925556,0.8946816636770963,14
0.6388666687607765,0.8936332608014346,15
0.6392916686832905,0.8928383885622024,16
0.6398666687011719,0.8922707008421421,17
0.6402416686117649,0.8918532482981681,18
0.6404416686147452,0.8915313985347748,19
0.6409583353251219,0.8912607068866492,20
0.6411250020116568,0.8910212429612875,21
0.6412583353668452,0.8908019536137581,22
0.6413000020235777,0.8905973605364561,23
0.6420833353847265,0.8904069218486548,24
0.6420166686624289,0.8902314866930247,25
0.6425500020384789,0.8900629346519708,26
0.6427333353757858,0.8898989892303943,27
0.6426500020623207,0.8897369901537895,28
0.6424583353400231,0.8895773805528879,29
0.64258333542943,0.8894224815666676,30
0.6427416688203812,0.8892707080543041,31
0.6430666688382626,0.8891231663376092,32
0.6436916688978672,0.8889792101234197,33
0.6438666689097882,0.8888408456891775,34
0.6437000022232533,0.8887055404782295,35
0.6436166689097881,0.8885744739174842,36
0.6437833355367184,0.8884478000551462,37
0.6439500021636486,0.8883256228417158,38
0.6439166687726975,0.8882074106186628,39
