campaign_id,experiment,world_key,world_seed,scenario,replicate,method,method_label,family,discounted_cost,service_success_rate,unmet_demand_steps,coalition_switches,messages,bytes,atomic_feasible_rate
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r0:s1488895239,1488895239,uniform,0,myopic_cold,Re-solving myopic,F-IV,2.822350086098935,1.0,0,12,589,23816,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r0:s1488895239,1488895239,uniform,0,event_triggered_warm,Geo-QPG warm start,F-IV,2.822350086098935,1.0,0,12,491,20932,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r0:s1488895239,1488895239,uniform,0,perfect_foresight_dp,Oráculo dinámico,F-IV,2.2743924037624583,1.0,0,5,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r1:s1794601496,1794601496,uniform,1,myopic_cold,Re-solving myopic,F-IV,1.6504780143408833,1.0,0,6,487,19564,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r1:s1794601496,1794601496,uniform,1,event_triggered_warm,Geo-QPG warm start,F-IV,1.6504780143408833,1.0,0,6,329,14044,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r1:s1794601496,1794601496,uniform,1,perfect_foresight_dp,Oráculo dinámico,F-IV,1.5097682650824784,1.0,0,4,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r2:s722184193,722184193,uniform,2,myopic_cold,Re-solving myopic,F-IV,3.048466139016299,1.0,0,16,512,20920,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r2:s722184193,722184193,uniform,2,event_triggered_warm,Geo-QPG warm start,F-IV,2.5282951276970693,1.0,0,12,444,18744,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r2:s722184193,722184193,uniform,2,perfect_foresight_dp,Oráculo dinámico,F-IV,2.2722399834526095,1.0,0,9,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r3:s1310066791,1310066791,uniform,3,myopic_cold,Re-solving myopic,F-IV,3.8231307191376365,1.0,0,14,550,21932,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r3:s1310066791,1310066791,uniform,3,event_triggered_warm,Geo-QPG warm start,F-IV,3.571236181519926,1.0,0,12,422,17608,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r3:s1310066791,1310066791,uniform,3,perfect_foresight_dp,Oráculo dinámico,F-IV,3.3978486443922686,1.0,0,10,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r4:s1952691948,1952691948,uniform,4,myopic_cold,Re-solving myopic,F-IV,3.206089187393449,1.0,0,16,639,24792,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r4:s1952691948,1952691948,uniform,4,event_triggered_warm,Geo-QPG warm start,F-IV,2.968748574496956,1.0,0,14,587,23600,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r4:s1952691948,1952691948,uniform,4,perfect_foresight_dp,Oráculo dinámico,F-IV,2.4421547614862322,1.0,0,7,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r5:s2481092673,2481092673,uniform,5,myopic_cold,Re-solving myopic,F-IV,2.5751584579775657,1.0,0,13,571,22996,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r5:s2481092673,2481092673,uniform,5,event_triggered_warm,Geo-QPG warm start,F-IV,2.5751584579775657,1.0,0,13,488,20472,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:uniform:r5:s2481092673,2481092673,uniform,5,perfect_foresight_dp,Oráculo dinámico,F-IV,2.150175363740101,1.0,0,9,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r0:s37103270,37103270,clustered,0,myopic_cold,Re-solving myopic,F-IV,3.0639177042637704,1.0,0,16,467,18720,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r0:s37103270,37103270,clustered,0,event_triggered_warm,Geo-QPG warm start,F-IV,2.203438290489759,1.0,0,10,404,16868,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r0:s37103270,37103270,clustered,0,perfect_foresight_dp,Oráculo dinámico,F-IV,1.5310416840995027,1.0,0,5,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r1:s4112658334,4112658334,clustered,1,myopic_cold,Re-solving myopic,F-IV,16.2727830739533,0.6666666666666666,2,14,507,20432,0.6666666666666666
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r1:s4112658334,4112658334,clustered,1,event_triggered_warm,Geo-QPG warm start,F-IV,16.394512923880466,0.6666666666666666,2,14,577,23708,0.6666666666666666
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r1:s4112658334,4112658334,clustered,1,perfect_foresight_dp,Oráculo dinámico,F-IV,10.95006993829068,0.6666666666666666,2,11,0,0,0.6666666666666666
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r2:s2972778797,2972778797,clustered,2,myopic_cold,Re-solving myopic,F-IV,2.3211145368085484,1.0,0,10,473,17892,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r2:s2972778797,2972778797,clustered,2,event_triggered_warm,Geo-QPG warm start,F-IV,2.320199651580552,1.0,0,10,375,14856,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r2:s2972778797,2972778797,clustered,2,perfect_foresight_dp,Oráculo dinámico,F-IV,1.9287999857062839,0.3333333333333333,4,5,0,0,0.3333333333333333
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r3:s2682325820,2682325820,clustered,3,myopic_cold,Re-solving myopic,F-IV,2.0050892287525937,1.0,0,9,556,21420,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r3:s2682325820,2682325820,clustered,3,event_triggered_warm,Geo-QPG warm start,F-IV,2.0050892287525937,1.0,0,9,394,16044,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r3:s2682325820,2682325820,clustered,3,perfect_foresight_dp,Oráculo dinámico,F-IV,1.6927667081912747,1.0,0,5,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r4:s1493104334,1493104334,clustered,4,myopic_cold,Re-solving myopic,F-IV,1.5755496141577041,1.0,0,6,460,18392,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r4:s1493104334,1493104334,clustered,4,event_triggered_warm,Geo-QPG warm start,F-IV,1.5755496141577041,1.0,0,6,298,12536,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r4:s1493104334,1493104334,clustered,4,perfect_foresight_dp,Oráculo dinámico,F-IV,1.3683796826889023,1.0,0,3,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r5:s2016361132,2016361132,clustered,5,myopic_cold,Re-solving myopic,F-IV,2.823623551100365,1.0,0,13,613,24988,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r5:s2016361132,2016361132,clustered,5,event_triggered_warm,Geo-QPG warm start,F-IV,2.823623551100365,1.0,0,13,526,22416,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:clustered:r5:s2016361132,2016361132,clustered,5,perfect_foresight_dp,Oráculo dinámico,F-IV,2.3369868497552493,1.0,0,6,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r0:s1628399214,1628399214,separated,0,myopic_cold,Re-solving myopic,F-IV,5.398122469504942,0.8333333333333334,1,16,490,19580,0.8333333333333334
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r0:s1628399214,1628399214,separated,0,event_triggered_warm,Geo-QPG warm start,F-IV,5.293524517801641,0.8333333333333334,1,14,499,20628,0.8333333333333334
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r0:s1628399214,1628399214,separated,0,perfect_foresight_dp,Oráculo dinámico,F-IV,4.2349875605374505,0.8333333333333334,1,9,0,0,0.8333333333333334
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r1:s626783980,626783980,separated,1,myopic_cold,Re-solving myopic,F-IV,2.437828392108398,1.0,0,10,574,22656,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r1:s626783980,626783980,separated,1,event_triggered_warm,Geo-QPG warm start,F-IV,2.437828392108398,1.0,0,10,412,17228,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r1:s626783980,626783980,separated,1,perfect_foresight_dp,Oráculo dinámico,F-IV,2.002232860913626,1.0,0,4,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r2:s3356777421,3356777421,separated,2,myopic_cold,Re-solving myopic,F-IV,2.508013245664825,1.0,0,9,588,23796,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r2:s3356777421,3356777421,separated,2,event_triggered_warm,Geo-QPG warm start,F-IV,2.5030465035190197,1.0,0,9,434,18660,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r2:s3356777421,3356777421,separated,2,perfect_foresight_dp,Oráculo dinámico,F-IV,2.2094310001218376,1.0,0,5,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r3:s3033396212,3033396212,separated,3,myopic_cold,Re-solving myopic,F-IV,3.3228218415512867,1.0,0,12,651,26708,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r3:s3033396212,3033396212,separated,3,event_triggered_warm,Geo-QPG warm start,F-IV,3.3228218415512867,1.0,0,12,510,21772,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r3:s3033396212,3033396212,separated,3,perfect_foresight_dp,Oráculo dinámico,F-IV,2.6636065547856873,1.0,0,6,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r4:s397947550,397947550,separated,4,myopic_cold,Re-solving myopic,F-IV,3.1777256748243383,1.0,0,11,547,22036,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r4:s397947550,397947550,separated,4,event_triggered_warm,Geo-QPG warm start,F-IV,3.1777256748243383,1.0,0,11,487,20848,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r4:s397947550,397947550,separated,4,perfect_foresight_dp,Oráculo dinámico,F-IV,2.6915360994572195,1.0,0,6,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r5:s529796060,529796060,separated,5,myopic_cold,Re-solving myopic,F-IV,3.106787010320077,1.0,0,13,499,19520,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r5:s529796060,529796060,separated,5,event_triggered_warm,Geo-QPG warm start,F-IV,2.881683594571181,1.0,0,11,452,18500,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:separated:r5:s529796060,529796060,separated,5,perfect_foresight_dp,Oráculo dinámico,F-IV,2.5693144580324505,1.0,0,5,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r0:s3038821404,3038821404,ring,0,myopic_cold,Re-solving myopic,F-IV,2.931533594493259,1.0,0,12,445,17308,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r0:s3038821404,3038821404,ring,0,event_triggered_warm,Geo-QPG warm start,F-IV,2.603960744797905,1.0,0,9,363,15012,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r0:s3038821404,3038821404,ring,0,perfect_foresight_dp,Oráculo dinámico,F-IV,1.9287236685311668,1.0,0,4,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r1:s2512704223,2512704223,ring,1,myopic_cold,Re-solving myopic,F-IV,3.4888503211136688,1.0,0,14,687,28412,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r1:s2512704223,2512704223,ring,1,event_triggered_warm,Geo-QPG warm start,F-IV,3.4888503211136688,1.0,0,14,540,22876,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r1:s2512704223,2512704223,ring,1,perfect_foresight_dp,Oráculo dinámico,F-IV,3.1004317268676074,1.0,0,9,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r2:s754463423,754463423,ring,2,myopic_cold,Re-solving myopic,F-IV,2.7480851089498386,1.0,0,10,502,20368,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r2:s754463423,754463423,ring,2,event_triggered_warm,Geo-QPG warm start,F-IV,2.1481530481882434,1.0,0,6,338,14292,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r2:s754463423,754463423,ring,2,perfect_foresight_dp,Oráculo dinámico,F-IV,2.1089295063807727,1.0,0,5,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r3:s1575878313,1575878313,ring,3,myopic_cold,Re-solving myopic,F-IV,3.6168856978322452,1.0,0,13,569,22900,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r3:s1575878313,1575878313,ring,3,event_triggered_warm,Geo-QPG warm start,F-IV,3.6168856978322452,1.0,0,13,476,19752,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r3:s1575878313,1575878313,ring,3,perfect_foresight_dp,Oráculo dinámico,F-IV,3.386989862778811,1.0,0,10,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r4:s2559990688,2559990688,ring,4,myopic_cold,Re-solving myopic,F-IV,3.2059044088047304,1.0,0,14,468,19136,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r4:s2559990688,2559990688,ring,4,event_triggered_warm,Geo-QPG warm start,F-IV,2.9321080318693378,1.0,0,12,449,18568,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r4:s2559990688,2559990688,ring,4,perfect_foresight_dp,Oráculo dinámico,F-IV,2.5065394952054305,1.0,0,5,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r5:s2255527877,2255527877,ring,5,myopic_cold,Re-solving myopic,F-IV,3.269499792619072,0.8333333333333334,1,8,530,20548,0.8333333333333334
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r5:s2255527877,2255527877,ring,5,event_triggered_warm,Geo-QPG warm start,F-IV,3.269499792619072,0.8333333333333334,1,8,397,16172,0.8333333333333334
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:ring:r5:s2255527877,2255527877,ring,5,perfect_foresight_dp,Oráculo dinámico,F-IV,3.1864568801243496,0.8333333333333334,1,6,0,0,0.8333333333333334
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r0:s1313215154,1313215154,corridor,0,myopic_cold,Re-solving myopic,F-IV,1.7796061782330326,1.0,0,9,555,21980,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r0:s1313215154,1313215154,corridor,0,event_triggered_warm,Geo-QPG warm start,F-IV,1.7796061782330326,1.0,0,9,385,16208,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r0:s1313215154,1313215154,corridor,0,perfect_foresight_dp,Oráculo dinámico,F-IV,1.374141356114387,1.0,0,4,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r1:s3900407894,3900407894,corridor,1,myopic_cold,Re-solving myopic,F-IV,2.3825212965797533,1.0,0,13,542,21648,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r1:s3900407894,3900407894,corridor,1,event_triggered_warm,Geo-QPG warm start,F-IV,2.3825212965797533,1.0,0,13,524,21984,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r1:s3900407894,3900407894,corridor,1,perfect_foresight_dp,Oráculo dinámico,F-IV,1.9244318884935903,1.0,0,8,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r2:s17539395,17539395,corridor,2,myopic_cold,Re-solving myopic,F-IV,2.2401396995867704,1.0,0,11,552,21756,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r2:s17539395,17539395,corridor,2,event_triggered_warm,Geo-QPG warm start,F-IV,2.2401396995867704,1.0,0,11,429,17868,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r2:s17539395,17539395,corridor,2,perfect_foresight_dp,Oráculo dinámico,F-IV,1.8388382997700259,1.0,0,5,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r3:s1771284085,1771284085,corridor,3,myopic_cold,Re-solving myopic,F-IV,2.1013168943460716,1.0,0,11,480,19512,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r3:s1771284085,1771284085,corridor,3,event_triggered_warm,Geo-QPG warm start,F-IV,1.8539080956506757,1.0,0,9,399,16956,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r3:s1771284085,1771284085,corridor,3,perfect_foresight_dp,Oráculo dinámico,F-IV,1.50858542710223,1.0,0,4,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r4:s291371086,291371086,corridor,4,myopic_cold,Re-solving myopic,F-IV,2.5160585024941966,1.0,0,13,576,22640,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r4:s291371086,291371086,corridor,4,event_triggered_warm,Geo-QPG warm start,F-IV,2.5508240916964735,1.0,0,13,490,20100,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r4:s291371086,291371086,corridor,4,perfect_foresight_dp,Oráculo dinámico,F-IV,1.722472993126474,1.0,0,5,0,0,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r5:s3801867605,3801867605,corridor,5,myopic_cold,Re-solving myopic,F-IV,2.6061783977595403,1.0,0,13,526,20840,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r5:s3801867605,3801867605,corridor,5,event_triggered_warm,Geo-QPG warm start,F-IV,2.9931250987837363,1.0,0,15,564,23448,1.0
SP1_N4_CROSS_FAMILY_v3,E8_DYNAMIC_SEPARATE,E8:corridor:r5:s3801867605,3801867605,corridor,5,perfect_foresight_dp,Oráculo dinámico,F-IV,1.9072938215414927,1.0,0,5,0,0,1.0
