experiment,world_id,world_seed,replicate,N,K,M,slot_to_robot_ratio,matrix_elements,matrix_bytes,expected_matrix_bytes,matrix_ms,solver_ms,post_ms,total_ms,mission_feasible
scaling,e24737878dd114c80bcd,3703423089,0,32,3,8,0.25,256,2048,2048,0.0417,0.0092,0.0221,0.496,True
scaling,979023fc819383edc2fd,164660401,1,32,3,8,0.25,256,2048,2048,0.0326,0.0072,0.0224,0.4739,True
scaling,26209910ccfb3100bd41,1055699912,2,32,3,8,0.25,256,2048,2048,0.0361,0.0072,0.0226,0.4829,True
scaling,7e85d294a479a61a6eea,3050883543,3,32,3,8,0.25,256,2048,2048,0.0311,0.0058,0.0191,0.4752,True
scaling,c5020e89751c2beae46f,688966476,4,32,3,8,0.25,256,2048,2048,0.0313,0.0072,0.0211,0.4761,True
scaling,f1e97acee6f7634575ac,2655480218,5,32,3,8,0.25,256,2048,2048,0.0318,0.0068,0.0213,0.494,True
scaling,34eb33debeb7f46ffc7a,51646398,6,32,3,8,0.25,256,2048,2048,0.0302,0.005,0.0211,0.4785,True
scaling,3c4833fe983ffa5f13b8,2964697860,7,32,3,8,0.25,256,2048,2048,0.0292,0.006,0.0214,0.4784,True
scaling,dd99d88f7db3f2bbdba4,328336712,8,32,3,8,0.25,256,2048,2048,0.03,0.0058,0.0211,0.504,True
scaling,edcabca7258662757851,2937001434,9,32,3,8,0.25,256,2048,2048,0.0292,0.0054,0.0204,0.468,True
scaling,158ed32bc1f90b9fc78a,4246938294,10,32,3,8,0.25,256,2048,2048,0.0285,0.0056,0.0212,0.4744,True
scaling,fd41047e204408762a61,3418747971,11,32,3,8,0.25,256,2048,2048,0.029,0.0056,0.0213,0.4941,True
scaling,9f8581a9dde7e2921653,3109783900,12,32,3,8,0.25,256,2048,2048,0.029,0.0055,0.0207,0.4696,True
scaling,db2e3d66e73540b67a52,2820563155,13,32,3,8,0.25,256,2048,2048,0.0305,0.0068,0.0217,0.4905,True
scaling,c4cd64e99d7c01fcd24c,1882894719,14,32,3,8,0.25,256,2048,2048,0.0335,0.0078,0.0224,0.5143,True
scaling,a5f21924d125ab052349,935875807,15,32,3,8,0.25,256,2048,2048,0.1816,0.0228,0.1001,0.7507,True
scaling,8b491e0770dd9f68f313,566887163,16,32,3,8,0.25,256,2048,2048,0.0394,0.0079,0.026,0.7319,True
scaling,f8a966611b889ae92c95,1336498848,17,32,3,8,0.25,256,2048,2048,0.03,0.007,0.0204,0.4504,True
scaling,096b1e2ff45ad76c5cdc,1894119907,18,32,3,8,0.25,256,2048,2048,0.0453,0.0097,0.0302,0.5344,True
scaling,6fc9421ce645c5d7464e,596773175,19,32,3,8,0.25,256,2048,2048,0.054,0.0102,0.0356,0.744,True
scaling,2b0637d99cdf1e4bc552,3438433580,20,32,3,8,0.25,256,2048,2048,0.0399,0.0105,0.0259,0.6287,True
scaling,69bd5664230bbc2cc04f,2709658423,21,32,3,8,0.25,256,2048,2048,0.0316,0.0074,0.0213,0.4846,True
scaling,8d8d9ee7e1e08a28dcca,1059910999,22,32,3,8,0.25,256,2048,2048,0.0307,0.0056,0.0213,0.4822,True
scaling,d345b88656ab8d69197a,2307731822,23,32,3,8,0.25,256,2048,2048,0.0315,0.0057,0.0219,0.517,True
scaling,d9cc9e35e4cb1eb0f6db,2500927875,24,32,3,8,0.25,256,2048,2048,0.0294,0.0057,0.0217,0.4874,True
scaling,e8e494499bf9fc7a36f8,65663569,25,32,3,8,0.25,256,2048,2048,0.0319,0.006,0.0218,0.505,True
scaling,67eda7da9ec4c8b89bed,2369651153,26,32,3,8,0.25,256,2048,2048,0.0305,0.0071,0.021,0.4935,True
scaling,10f410a2f775d6d0d539,3068729251,27,32,3,8,0.25,256,2048,2048,0.0302,0.0067,0.0215,0.4933,True
scaling,50e496791b3db0511616,194094854,28,32,3,8,0.25,256,2048,2048,0.0297,0.0054,0.0209,0.4916,True
scaling,ae3bee92fce90dfccb76,393545445,29,32,3,8,0.25,256,2048,2048,0.0291,0.0052,0.0213,0.4951,True
scaling,763e86bcdba3e0abd8f2,3614832128,0,32,5,16,0.5,512,4096,4096,0.0402,0.0168,0.0353,0.5643,True
scaling,1d53bfce26cd1cc708d7,3501739817,1,32,5,16,0.5,512,4096,4096,0.0378,0.0124,0.0339,0.5547,True
scaling,b3482c44ab62bb655b09,1772136400,2,32,5,16,0.5,512,4096,4096,0.0357,0.0118,0.0324,0.5337,True
scaling,d6daae00434f1f68c791,2650912907,3,32,5,16,0.5,512,4096,4096,0.0353,0.0108,0.0322,0.527,True
scaling,8918c62725f739dcee72,149562323,4,32,5,16,0.5,512,4096,4096,0.0369,0.0109,0.0323,0.5302,True
scaling,52deba9418accb9e9cb2,599854737,5,32,5,16,0.5,512,4096,4096,0.0357,0.011,0.0315,0.5364,True
scaling,720857221e70018e35bd,1181899767,6,32,5,16,0.5,512,4096,4096,0.083,0.0561,0.0568,1.3523,True
scaling,ad7bdc0572dc8cf689ff,1420846100,7,32,5,16,0.5,512,4096,4096,0.0382,0.0124,0.0295,0.4761,True
scaling,6f03f8b473fc344f1379,489567926,8,32,5,16,0.5,512,4096,4096,0.0404,0.0117,0.0346,0.5376,True
scaling,2a9d6fddf1ff3daed0f4,876209467,9,32,5,16,0.5,512,4096,4096,0.0355,0.0111,0.0296,0.5743,True
scaling,8dd3cd257881011b6521,2322661220,10,32,5,16,0.5,512,4096,4096,0.0315,0.009,0.0274,0.4667,True
scaling,bb01b494609a096a7424,880941617,11,32,5,16,0.5,512,4096,4096,0.0341,0.009,0.0284,0.4609,True
scaling,bf7c71738fcdbc451ece,163140719,12,32,5,16,0.5,512,4096,4096,0.0322,0.008,0.0274,0.4531,True
scaling,26faca29c6a4fec1f17d,2102104163,13,32,5,16,0.5,512,4096,4096,0.0334,0.0096,0.0292,0.4751,True
scaling,691986aaeac5265ba784,2797955774,14,32,5,16,0.5,512,4096,4096,0.0339,0.0153,0.0312,0.4954,True
scaling,036781861a6c8131385c,3138543097,15,32,5,16,0.5,512,4096,4096,0.0338,0.0093,0.0311,0.4995,True
scaling,37d78c4e2ab5eb6eac28,4258981019,16,32,5,16,0.5,512,4096,4096,0.0336,0.0089,0.031,0.4947,True
scaling,d011beb83f8e2efbfa41,558176193,17,32,5,16,0.5,512,4096,4096,0.0349,0.0104,0.0318,0.5152,True
scaling,2878f254aa48e3a58c9e,3813711299,18,32,5,16,0.5,512,4096,4096,0.0333,0.0119,0.0312,0.5005,True
scaling,b5385f4eecc0d2b5f558,3268472386,19,32,5,16,0.5,512,4096,4096,0.0347,0.0148,0.031,0.5038,True
scaling,000607acb3f3658bfb49,4209790280,20,32,5,16,0.5,512,4096,4096,0.0349,0.0102,0.0317,0.5247,True
scaling,8201ef381d4190c222da,2095761610,21,32,5,16,0.5,512,4096,4096,0.0344,0.0116,0.0321,0.508,True
scaling,b38e95b1bb68fb20a958,444755932,22,32,5,16,0.5,512,4096,4096,0.0337,0.0119,0.0296,0.5069,True
scaling,314c7f3fc01d9c80d4b4,944712510,23,32,5,16,0.5,512,4096,4096,0.0356,0.0128,0.031,0.5121,True
scaling,5ffbf8481c6bc9f72dca,1069865462,24,32,5,16,0.5,512,4096,4096,0.0335,0.0146,0.0304,0.4956,True
scaling,11454a8467fc3dbd3164,284599667,25,32,5,16,0.5,512,4096,4096,0.0328,0.0093,0.0389,0.5028,True
scaling,954c47143dc7277cd0e4,3845311232,26,32,5,16,0.5,512,4096,4096,0.033,0.0113,0.0294,0.4986,True
scaling,f2539db09bbe158776f9,200131123,27,32,5,16,0.5,512,4096,4096,0.033,0.0095,0.0302,0.4939,True
scaling,81354ca9639cfbc0261f,1481437951,28,32,5,16,0.5,512,4096,4096,0.0387,0.0124,0.0346,0.5509,True
scaling,1b3420c91fd6d1c90f99,2738524725,29,32,5,16,0.5,512,4096,4096,0.049,0.0172,0.0376,0.6011,True
scaling,e57e69f16a6cb4b735d4,3289391151,0,32,11,32,1.0,1024,8192,8192,0.0989,0.0282,0.067,0.6837,True
scaling,848b4e53f9007c11a9ab,1879617288,1,32,11,32,1.0,1024,8192,8192,0.0445,0.0164,0.0466,0.5094,True
scaling,7df84562c65225f77c8b,3898688463,2,32,11,32,1.0,1024,8192,8192,0.0402,0.026,0.0458,0.5071,True
scaling,6a973b6b9306f897219b,1552578830,3,32,11,32,1.0,1024,8192,8192,0.0431,0.0309,0.0471,0.5215,True
scaling,aa18f1e54ef829508b22,2537061987,4,32,11,32,1.0,1024,8192,8192,0.051,0.0204,0.0485,0.5265,True
scaling,660fcaddbfbe4e32ce28,1676897950,5,32,11,32,1.0,1024,8192,8192,0.0444,0.0198,0.0498,0.5573,True
scaling,ffef3d47a2502dadb3b9,4152031095,6,32,11,32,1.0,1024,8192,8192,0.0487,0.019,0.0523,0.5745,True
scaling,d572a412f3960b4f45a1,1915097692,7,32,11,32,1.0,1024,8192,8192,0.0464,0.0204,0.0534,0.5831,True
scaling,96918de75264d8754788,2067139469,8,32,11,32,1.0,1024,8192,8192,0.0518,0.0336,0.0585,0.6314,True
scaling,e9ce6810c1dc1124fbaa,157061184,9,32,11,32,1.0,1024,8192,8192,0.0525,0.0224,0.0602,0.666,True
scaling,a8f45a88607a83130f92,1347800489,10,32,11,32,1.0,1024,8192,8192,0.0577,0.0307,0.0666,0.7315,True
scaling,2f291443c151658dc093,1095921649,11,32,11,32,1.0,1024,8192,8192,0.0548,0.0216,0.0661,0.7161,True
scaling,044bb6c85bdc98229207,846596323,12,32,11,32,1.0,1024,8192,8192,0.0573,0.0268,0.0661,0.7409,True
scaling,86f411ab9c26bb9d9e0e,2465009880,13,32,11,32,1.0,1024,8192,8192,0.0569,0.0247,0.066,0.7199,True
scaling,7c3da07d5802ebca09dc,33097222,14,32,11,32,1.0,1024,8192,8192,0.0594,0.0292,0.0659,0.7516,True
scaling,06f76de142ee93fe8b24,1969775258,15,32,11,32,1.0,1024,8192,8192,0.0577,0.0295,0.0667,0.7367,True
scaling,778580f519b95815100f,2208563142,16,32,11,32,1.0,1024,8192,8192,0.0697,0.034,0.1455,1.1561,True
scaling,33a01ec216adf97785bd,4067403234,17,32,11,32,1.0,1024,8192,8192,0.0677,0.0233,0.0689,1.2353,True
scaling,94786709f88c243c39f3,102393463,18,32,11,32,1.0,1024,8192,8192,0.0531,0.0249,0.0592,0.6575,True
scaling,58f522cc290b2cdbf77e,3227806519,19,32,11,32,1.0,1024,8192,8192,0.0509,0.0268,0.0578,0.6485,True
scaling,bb3f5647ee40dacad3fd,2751532240,20,32,11,32,1.0,1024,8192,8192,0.0508,0.0317,0.06,0.6336,True
scaling,d44c62527c7d6e795657,2008096048,21,32,11,32,1.0,1024,8192,8192,0.0552,0.0342,0.0617,0.6956,True
scaling,e44eee20855302561423,2816372234,22,32,11,32,1.0,1024,8192,8192,0.0594,0.0226,0.0679,0.7065,True
scaling,afb3b6ed9589f99331d2,2985093461,23,32,11,32,1.0,1024,8192,8192,0.0632,0.038,0.0736,0.7911,True
scaling,0e7b0f965d93889eb30f,2268621889,24,32,11,32,1.0,1024,8192,8192,0.0753,0.0401,0.0833,0.8687,True
scaling,7480d2f35bdb553e6457,3936245189,25,32,11,32,1.0,1024,8192,8192,0.1034,0.0308,0.0912,1.0197,True
scaling,884c1c142dc1deace199,391156941,26,32,11,32,1.0,1024,8192,8192,0.0888,0.0372,0.0972,1.0487,True
scaling,37ae014543ab064da09e,2356903461,27,32,11,32,1.0,1024,8192,8192,0.0799,0.0403,0.1092,1.0376,True
scaling,0e1f4dc0dc74e8808fdb,2706138807,28,32,11,32,1.0,1024,8192,8192,0.0769,0.0271,0.0897,0.9889,True
scaling,cd0d463c3ac4b58b3f28,414610870,29,32,11,32,1.0,1024,8192,8192,0.0667,0.0317,0.0824,1.0181,True
scaling,3e6150d48e01e7655a73,404652018,0,64,5,16,0.25,1024,8192,8192,0.1027,0.029,0.0691,1.5776,True
scaling,553415eff76295fb13e6,3179333188,1,64,5,16,0.25,1024,8192,8192,0.0841,0.0286,0.0552,1.4664,True
scaling,1a296465fc5135954581,2001109131,2,64,5,16,0.25,1024,8192,8192,0.084,0.0204,0.0545,1.4685,True
scaling,1c5883142f0a6b49cda5,1133507066,3,64,5,16,0.25,1024,8192,8192,0.0827,0.0189,0.0555,1.4732,True
scaling,7124d5af6b92eb02d282,1511955882,4,64,5,16,0.25,1024,8192,8192,0.0836,0.0184,0.0541,1.4758,True
scaling,9551bc498df7327e79b5,2290552263,5,64,5,16,0.25,1024,8192,8192,0.0807,0.0198,0.0563,1.4556,True
