experiment,world_id,world_seed,treatment_seed,replicate,N_original,N_active,K,M,reserve_delta,failure_fraction_nominal,failure_fraction_realized,failure_count,recovery_feasible,theoretical_recoverable,theory_agreement,assignment_churn,relative_cost_increase,solver_ms,total_ms
failure,249df037e68103b123e1,3583337325,4032114659,0,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0426,0.8966
failure,249df037e68103b123e1,3583337325,1062775392,0,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.10526315789473684,,0.0311,0.7413
failure,249df037e68103b123e1,3583337325,4072219427,0,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.25,,0.0238,0.6939
failure,249df037e68103b123e1,3583337325,3204882995,0,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.28125,,0.0162,0.5947
failure,249df037e68103b123e1,3583337325,141667214,0,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.35714285714285715,,0.0164,0.5516
failure,0696fd74dc829e22b26e,4214734185,1714587855,1,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0215,0.6804
failure,0696fd74dc829e22b26e,4214734185,1553170973,1,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.05263157894736842,,0.0195,0.6649
failure,0696fd74dc829e22b26e,4214734185,3599645753,1,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.16666666666666666,,0.0169,0.6603
failure,0696fd74dc829e22b26e,4214734185,4205567434,1,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.125,,0.0165,0.5397
failure,0696fd74dc829e22b26e,4214734185,2149890403,1,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.17857142857142858,,0.0128,0.507
failure,31bff49534ff72942d6b,2554194085,3185662086,2,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0207,0.6832
failure,31bff49534ff72942d6b,2554194085,1208636407,2,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.02631578947368421,,0.0202,0.6663
failure,31bff49534ff72942d6b,2554194085,33798823,2,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.1388888888888889,,0.0212,1.1437
failure,31bff49534ff72942d6b,2554194085,3840451350,2,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.15625,,0.0129,0.602
failure,31bff49534ff72942d6b,2554194085,3454964349,2,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.14285714285714285,,0.0109,0.6024
failure,6fd983a1c11ad9947b2d,2721870625,3032286560,3,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.0249,0.6785
failure,6fd983a1c11ad9947b2d,2721870625,1691760337,3,40,38,13,40,0.0,0.05,0.05,2,False,False,True,0.07894736842105263,,0.0198,0.5795
failure,6fd983a1c11ad9947b2d,2721870625,610841880,3,40,36,13,40,0.0,0.1,0.1,4,False,False,True,0.16666666666666666,,0.0168,0.5883
failure,6fd983a1c11ad9947b2d,2721870625,1910074346,3,40,32,13,40,0.0,0.2,0.2,8,False,False,True,0.21875,,0.0124,0.5442
failure,6fd983a1c11ad9947b2d,2721870625,1130711229,3,40,28,13,40,0.0,0.3,0.3,12,False,False,True,0.2857142857142857,,0.0114,0.4899
failure,8726ac3aa89f538512b1,3873992757,2360525836,4,40,40,13,40,0.0,0.0,0.0,0,True,True,True,0.0,0.0,0.026,0.6947
