experiment,world_id,world_seed,replicate,scenario,scenario_label,quota_mode,N,K,M,reserve_delta,mission_feasible,constraint_violations,hungarian_cost,greedy_cost,greedy_to_hungarian_ratio,relative_saving,normalized_assignment_cost_p95,assignment_cost_gini,solver_ms,total_ms
quality,b7eaf1fa752411c2fc14,2994856724,0,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,517.5334676692036,600.2349600753062,1.1597993126484405,0.13778186528110056,0.19215638788942868,0.2666232177422414,0.0399,1.0335
quality,4824d17e061256d77d59,2088834556,1,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,513.4307244020539,584.0812727261218,1.1376048315112972,0.12096013281561976,0.1721565284442308,0.25450038782826145,0.0304,0.9947
quality,dbd20592094520e2da86,2936842516,2,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,468.6528782199373,533.0416963301199,1.137391278497526,0.12079508705132462,0.17335966224862528,0.3374562279012352,0.0457,1.0158
quality,911f3ee2b783bc1d8e8d,835120032,3,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,456.1848697053262,506.41766167204753,1.1101149891252844,0.09919241718558332,0.14965499569331245,0.26529185546822376,0.0371,1.0124
quality,1e4dd0570c238f882e26,3673459937,4,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,516.6512585892291,563.2315015377202,1.090157997632065,0.08270177151192525,0.17684565464625007,0.30334393935289716,0.0334,1.0328
quality,f0e21af2b4871259bb16,3329970315,5,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,443.3610052141964,494.8097918823067,1.116042651615819,0.10397689680390902,0.17893405411149538,0.34763047415335646,0.0305,1.013
quality,3d00bee52257cd2b8b4f,4077298520,6,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,491.1477250559209,561.6919959102786,1.14363147227512,0.1255924445567959,0.22277962594272693,0.3574164902562207,0.034,0.9804
quality,c368b34648323fb7e79e,1074971587,7,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,488.65475308969184,503.28322380094573,1.0299362087829091,0.029066080527730097,0.16655833696419384,0.29561212871427367,0.0243,0.8291
quality,e43eeb77a5e28894e48a,4169759546,8,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,520.3387780504107,529.6177359462529,1.0178325319719745,0.017520104154487397,0.15439547539992002,0.2683744832761792,0.0296,0.8118
quality,f076254ede0fee6ffc34,2175046970,9,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,565.7295549675542,698.6454521425727,1.2349460020391572,0.19024799598623066,0.23398060544981814,0.3520020256746277,0.0505,1.4139
quality,f2f978ef210b884b1b42,2947252654,10,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,636.4503390031244,707.945092435361,1.112333593135042,0.10098912217371483,0.2944651082433593,0.37829427829815576,0.0386,0.8763
quality,a721906875fcc46656f9,3401736551,11,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,556.7360876312799,588.6574310466042,1.057336580337622,0.054227368468906724,0.18479035194168048,0.2732074205375896,0.0367,0.9307
quality,f807b9ed983a69fa2ebd,3702538581,12,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,519.6283700816069,660.8530925886063,1.271780238798009,0.21370063042878795,0.17811135039934756,0.2816051940100932,0.0392,0.9854
quality,ca16cbc536a12907aedd,3087156138,13,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,516.7739613231271,586.7197259245605,1.135350791325374,0.1192149530872036,0.17162549888146306,0.319623606367085,0.0403,1.0266
quality,6d3e6f4f830e87748e26,3567563008,14,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,490.17351667989743,511.1960550959547,1.042887952328493,0.041124218793337934,0.18756722219932145,0.3068396567189775,0.0408,1.0479
quality,e0bb5b50673bce996cca,4288006243,15,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,491.89438657777697,556.2332179569948,1.1307980597762826,0.1156688045628232,0.17742105684079681,0.31582269622187953,0.0449,1.0455
quality,e2bbc8e67864c4e5b979,2534705747,16,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,538.1368011922222,612.545276981719,1.1382705580154482,0.12147424620779095,0.18051313985032855,0.2939875639713976,0.0325,0.8251
quality,49ed06414f4a2ab37029,63591231,17,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,573.398223558073,618.1585109949004,1.07806143374334,0.07240907734941252,0.18407171828555052,0.22178633728903607,0.0252,0.8115
quality,6528c3fd3220304fc6bd,1884633124,18,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,485.72618741798925,540.4362621248756,1.1126356291344157,0.10123316761125256,0.1823193575575701,0.3211273329553881,0.0312,0.8722
quality,a28cf2f7bedc076bd0ed,1451151981,19,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,506.3004461889561,568.3343009019396,1.1225238002058404,0.10915029167610785,0.16430720398730067,0.307081731517028,0.0451,1.1701
quality,96807aaf4f77af831ce4,2768592353,20,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,525.2449962767928,689.586066997626,1.312884600302273,0.23831843273219577,0.19763015644782733,0.3289828586043113,0.0339,1.1994
quality,f8105691408c9cb6e655,3120847454,21,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,545.0757573494761,644.3334295884545,1.182098856719726,0.1540470627177853,0.2139777236346174,0.3640491509503474,0.0469,0.8791
quality,a4648bb66058bf2e57cb,1091940741,22,uniform,Aleatorio,symmetric,60,13,40,0.2,True,0,440.7129698611056,482.7147123120042,1.095304076174876,0.08701152332757298,0.14392185013740616,0.2920460130193099,0.0332,0.9317
