experiment,world_id,world_seed,replicate,scenario,scenario_label,capacity_mode,capacity_label,capacity_sigma,capacity_cv,N,K,M,reserve_delta,hungarian_declared_feasible,hungarian_capacity_feasible,hungarian_false_feasible,hungarian_total_shortfall_kg,hungarian_minimum_margin_kg,hungarian_mean_margin_kg,milp_feasible,milp_optimal_certified,milp_mip_gap,milp_rescues_false_feasible,milp_solver_ms,milp_error
heterogeneity,6ca52d84cef35c1262a3,725589340,4,uniform,Aleatorio,moderate,Moderada,0.35,0.33597280070309316,18,4,12,0.2,True,False,True,1.9421009304160317,-0.869042471479311,0.35664909918726473,True,True,0.0,True,17.2657,
heterogeneity,6ca52d84cef35c1262a3,725589340,4,uniform,Aleatorio,high,Alta,0.65,0.5509732815499442,18,4,12,0.2,True,False,True,2.064686442125922,-2.064686442125922,3.2906688999409686,True,True,0.0,True,13.2707,
heterogeneity,6ca52d84cef35c1262a3,725589340,4,uniform,Aleatorio,extreme,Extrema,1.0,0.7524798975497955,18,4,12,0.2,True,False,True,12.464471604165585,-10.382887680796545,-2.5237944842143136,True,True,0.0,True,22.0234,
heterogeneity,9b93c545bfbdadeaa5ab,714618618,5,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,2.700221818198343,3.3388764552754266,True,True,0.0,False,1.4362,
heterogeneity,9b93c545bfbdadeaa5ab,714618618,5,uniform,Aleatorio,low,Baja,0.15,0.1361930007175401,18,4,12,0.2,True,True,False,0.0,1.8064973166299474,3.0629259911644233,True,True,0.0,False,6.653,
heterogeneity,9b93c545bfbdadeaa5ab,714618618,5,uniform,Aleatorio,moderate,Moderada,0.35,0.32609850178643146,18,4,12,0.2,True,True,False,0.0,0.9016842693124731,3.3461321762591005,True,True,0.0,False,3.9683,
heterogeneity,9b93c545bfbdadeaa5ab,714618618,5,uniform,Aleatorio,high,Alta,0.65,0.5151960264191958,18,4,12,0.2,True,False,True,2.872566582208563,-2.872566582208563,2.7421083588283066,True,True,0.0,True,19.9521,
heterogeneity,9b93c545bfbdadeaa5ab,714618618,5,uniform,Aleatorio,extreme,Extrema,1.0,0.8622067566922231,18,4,12,0.2,True,False,True,0.17731808554032047,-0.17731808554032047,6.644871953532665,True,True,0.0,True,4.6051,
heterogeneity,0f855f015b3b66cfb98e,4145625416,6,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,0.7084779399172128,2.8879842647934826,True,True,0.0,False,1.8523,
heterogeneity,0f855f015b3b66cfb98e,4145625416,6,uniform,Aleatorio,low,Baja,0.15,0.13985092917558797,18,4,12,0.2,True,True,False,0.0,0.29204305525470176,2.757941896031814,True,True,0.0,False,43.576,
