seed,policy,mean_wrench_residual,max_wrench_residual,max_torque_saturation,max_delta_hamiltonian,mean_formation_error,cbf_active_steps,min_battery,throughput,delivery_time
6126,cardinality_only,0.7874558422400451,1.0615083607774218,2.4566566917168878e-11,0.0,3.9612724696067585e-17,0,0.963920000000014,0.0,nan
6126,wrench_capacity,0.1288120818149855,0.40326087837187596,0.44901594492187713,0.2026263282732853,1.8438071961069672e-16,126,0.8424894186262373,1.0,43.7
6127,cardinality_only,0.787455842351788,1.0615083609263938,2.4428974141731704e-11,0.0,2.260653682810278e-17,0,0.963920000000014,0.0,nan
6127,wrench_capacity,0.12861262458818148,0.38138219974820936,0.47903220732991486,0.24570762770230548,2.2327545085033637e-16,129,0.8440211529075745,1.0,43.400000000000006
6128,cardinality_only,0.7874558423455149,1.0615083607948403,7.248912611962183e-12,0.0,3.852547746204811e-17,0,0.963920000000014,0.0,nan
6128,wrench_capacity,0.13485062994005298,0.629185805667025,0.21176470588235297,0.2199582944471823,2.2007525144454322e-16,125,0.8528876108775614,1.0,43.0
6129,cardinality_only,0.7874558422450044,1.0615083607772526,2.2678112417103554e-11,0.0,3.5038080673683804e-17,0,0.963920000000014,0.0,nan
6129,wrench_capacity,0.2652256257540124,0.8415777308280253,0.12264011672318194,0.008804693797187069,2.2565508630592615e-16,115,0.8777779460032905,1.0,42.800000000000004
6130,cardinality_only,0.7874558422408766,1.0615083607772529,3.942693280113126e-11,0.0,3.9263985017231144e-17,0,0.963920000000014,0.0,nan
6130,wrench_capacity,0.12562411943294216,0.6001557148924159,0.22380072847753474,0.18995129976947278,2.1285428868275362e-16,123,0.8220810334012267,1.0,43.400000000000006
6131,cardinality_only,0.7874558423468491,1.0615083607772482,1.9651484072037142e-11,0.0,3.462779869858212e-17,0,0.963920000000014,0.0,nan
6131,wrench_capacity,0.28988955555590795,0.8810664561874563,0.12817185750276544,0.1821697947261378,2.1088493520226552e-16,111,0.8801845319540744,0.0,nan
6132,cardinality_only,0.7874558422428498,1.061508360777248,1.546062086501075e-11,0.0,3.5448362648785484e-17,0,0.963920000000014,0.0,nan
6132,wrench_capacity,0.04934522437312724,0.10581167859330447,0.7933499092420729,0.18364281937440696,1.879091445965712e-16,135,0.8529075924437743,1.0,42.7
6133,cardinality_only,0.7874558422441077,1.0615083607772573,1.577906185727154e-11,0.0,2.3693784062122243e-17,0,0.963920000000014,0.0,nan
6133,wrench_capacity,0.18443125750618983,0.7688311193516763,0.21176470588234864,0.18986171188113365,2.492052716767628e-16,118,0.7663433605806622,1.0,44.2
6134,cardinality_only,0.787455842346385,1.061508360777248,1.9738453241674694e-11,0.0,2.404252374095867e-17,0,0.963920000000014,0.0,nan
