seed,policy,t,x_load,y_load,theta_load,wrench_residual,torque_saturation,hamiltonian,delta_hamiltonian,formation_error,cbf_active,battery_min,delivered
6126,cardinality_only,0.0,-7.5,1.0784814597168259e-24,2.1307959470202148e-23,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.99992,0
6126,cardinality_only,0.1,-7.5,3.205246898278406e-24,6.332725554544078e-23,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9998400000000001,0
6126,cardinality_only,0.2,-7.5,6.350944364277087e-24,1.2547797080077488e-22,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9997600000000001,0
6126,cardinality_only,0.30000000000000004,-7.5,1.0487043760944631e-23,2.0719642549916177e-22,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9996800000000001,0
6126,cardinality_only,0.4,-7.5,1.558581383422231e-23,3.0793472293619596e-22,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9996000000000002,0
6126,cardinality_only,0.5,-7.5,2.1620299805165038e-23,4.271603075151954e-22,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9995200000000002,0
6126,cardinality_only,0.6000000000000001,-7.5,2.85643016286382e-23,5.64355535196185e-22,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9994400000000002,0
6126,cardinality_only,0.7000000000000001,-7.5,3.6392352860770935e-23,7.19017255972309e-22,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9993600000000002,0
6126,cardinality_only,0.8,-7.5,4.507970011812078e-23,8.906564080369037e-22,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9992800000000003,0
6126,cardinality_only,0.9,-7.5,5.460228311198166e-23,1.0787976233138918e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9992000000000003,0
6126,cardinality_only,1.0,-7.5,6.493671524173125e-23,1.2829788440333263e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9991200000000003,0
6126,cardinality_only,1.1,-7.5,7.606026473156468e-23,1.502750950042819e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9990400000000004,0
6126,cardinality_only,1.2000000000000002,-7.5,8.79508362953996e-23,1.737677396554248e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9989600000000004,0
6126,cardinality_only,1.3,-7.5,1.0058695331516398e-22,1.987333862033559e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9988800000000004,0
6126,cardinality_only,1.4000000000000001,-7.5,1.1394774051809177e-22,2.2513079059496514e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9988000000000005,0
6126,cardinality_only,1.5,-7.5,1.280129071390544e-22,2.5291986361062956e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9987200000000005,0
6126,cardinality_only,1.6,-7.5,1.4276273055434692e-22,2.820616385288756e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9986400000000005,0
6126,cardinality_only,1.7000000000000002,-7.5,1.5817804037372807e-22,3.125182396964309e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9985600000000006,0
6126,cardinality_only,1.8,-7.5,1.7424020297788337e-22,3.4425285197831496e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9984800000000006,0
6126,cardinality_only,1.9000000000000001,-7.5,1.9093110648883914e-22,3.7722969106332644e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9984000000000006,0
6126,cardinality_only,2.0,-7.5,2.0823314616120498e-22,4.114139746009778e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9983200000000007,0
6126,cardinality_only,2.1,-7.5,2.2612921018246138e-22,4.467718941465951e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9982400000000007,0
6126,cardinality_only,2.2,-7.5,2.4460266587083946e-22,4.832705878919554e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9981600000000007,0
6126,cardinality_only,2.3000000000000003,-7.5,2.6363734625965977e-22,5.208781141594658e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9980800000000007,0
6126,cardinality_only,2.4000000000000004,-7.5,2.8321753705730995e-22,5.595634256385061e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9980000000000008,0
6126,cardinality_only,2.5,-7.5,3.0332796397234274e-22,5.9929634434315355e-21,0.72,8.523183788080858e-21,0.004147465437788018,0.0,9.25185853854297e-18,0,0.9979200000000008,0
