method,label,worlds,feasible,feasibility_rate,feasibility_low,feasibility_high,common_gap_worlds,common_gap_median,common_gap_low,common_gap_high,bytes_per_agent_median,bytes_per_agent_q25,bytes_per_agent_q75,messages_per_agent_median,rounds_median,runtime_ms_median
capacity_cbba_rb,Capacity-CBBA-RB,8,4,0.5,0.21521606221387757,0.7847839377861224,4,0.30373492358530924,0.07190696375100075,0.48352276931050414,8018.40625,6807.5,9466.140625,49.96875,24.0,23.18915000068955
weighted_grape,Weighted-GRAPE,8,8,1.0,0.6755924351161198,1.0,4,0.2246813195568476,0.03140234132360518,0.4624433194346773,23787.1875,22641.9375,25125.28125,566.90625,257.0,117.72845000086818
weighted_pair_grape,Weighted-Pair-GRAPE,8,8,1.0,0.6755924351161198,1.0,4,0.016015720746534665,-3.964663286670215e-16,0.3615493094204931,28785.75,24513.65625,30932.90625,685.84375,337.0,295.5995000083931
geo_qpg_u,Geo-QPG-U,8,8,1.0,0.6755924351161198,1.0,4,0.5978946473050571,0.4765495046725756,1.265361144295906,649.875,588.0,802.3125,19.15625,34.5,6.868550000945106
geo_qpg_p,Geo-QPG-P,8,8,1.0,0.6755924351161198,1.0,4,0.15144563271512088,-3.964663286670215e-16,0.4992758919756703,3974.125,3609.5,4043.4375,84.28125,305.5,138.76909998361953
geo_qpg_cf,Geo-QPG-CF,8,8,1.0,0.6755924351161198,1.0,4,0.059711984226310404,-3.964663286670215e-16,0.24231731022752487,4128.25,3414.4375,4683.625,80.28125,16.5,158.81954999349546
