check_id,check_family,method_family,method_variant,fitness_id,rounding_id,world_seed,method_seed,N,K,expected_value,observed_value,absolute_error,relative_error,tolerance,passed,runtime_wall_s,config_hash,git_hash,timestamp_utc
U0_matching_trivial,matching_validity,classic,HUN,,EXACT,8000,,1,1,1,1,0.0,0.0,1e-09,True,9.480002336204052e-05,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U1_coverage_count,metric_correctness,classic,HUN,,EXACT,8001,,2,3,2,2,0.0,0.0,1e-09,True,7.070007268339396e-05,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U1_coverage,metric_correctness,classic,HUN,,EXACT,8001,,2,3,1.0,1.0,0.0,0.0,1e-09,True,4.680000711232424e-05,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U2_two_loads_served,metric_correctness,classic,HUN,,EXACT,8002,,3,2,2,2,0.0,0.0,1e-09,True,4.700000863522291e-05,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U2_one_idle,metric_correctness,classic,HUN,,EXACT,8002,,3,2,1,1,0.0,0.0,1e-09,True,3.7800054997205734e-05,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U3_QR1_may_remain_stable,qr_termination,audit,QR1,,,8003,,2,2,True,True,0.0,0.0,0.0,True,3.700028173625469e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U3_QR2_executes_swap,qr_acceptance,audit,QR2,,,8003,,2,2,True,True,0.0,0.0,0.0,True,1.800013706088066e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U3_QRA_not_worse_QR2,qr_termination,audit,QRA,,,8003,,2,2,True,True,0.0,0.0,0.0,True,1.3998942449688911e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U4_tie_break_deterministic,seed_reproducibility,audit,HUN,,,8004,,4,4,True,True,0.0,0.0,0.0,True,2.100015990436077e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
U4_tie_matching_valid,matching_validity,audit,HUN,,,8004,,4,4,True,True,0.0,0.0,0.0,True,1.500011421740055e-06,b6ab8f76088a7fb8,72418e13f1be,2026-07-11T21:27:55.257424+00:00
