id,class,metric,test,n_pairs,p_value,p_value_raw,p_value_holm,effect,effect_name,ci95_low,ci95_high,effect_size,effect_size_name,rank_biserial,alpha,reject_raw,reject_holm,reject,status,message,methods,statistic
H_DIAG_SP1_repair_lower_gap_than_replicator,PairedSuperiorityHypothesis,optimality_gap_vs_oracle,wilcoxon_signed_rank,420,1.322486239552965e-69,1.322486239552965e-69,2.64497247910593e-69,-0.51025997003182,mean_paired_difference,-0.5512692022134054,-0.46929977966900205,-1.158217887529668,cohens_dz,-1.0,0.05,True,True,True,ok,,replicator_cardinality_repair replicator_cardinality,0.0
H_DIAG_SP1_tensor_repair_lower_gap_than_cbba,PairedSuperiorityHypothesis,optimality_gap_vs_oracle,wilcoxon_signed_rank,420,4.2884607927027557e-38,4.2884607927027557e-38,4.2884607927027557e-38,-0.28925045730335036,mean_paired_difference,-0.32665654324390464,-0.2525725911646342,-0.7566963400270108,cohens_dz,-0.8798806371621906,0.05,True,True,True,ok,,tensor_quorum_flow_repair cbba,2858.0
