scenario_generator,rank,method,method_label,method_family,method_scope,method_ownership,method_variant,method_comparison_group,method_training_type,method_execution_model,method_communication_pattern,method_trainable_parameters,method_training_parameters,method_tuned_parameters,method_training_episodes,method_train_seed_count,method_validation_seed_count,method_test_seed_count,method_uses_neural_policy,method_uses_decoder,method_checkpoint_version,method_rollout_action_mode,n,ranking_rule,demand_satisfaction_ratio_mean,coalition_success_rate_mean,served_load_rate_mean,optimality_gap_vs_oracle_mean,robots_underassigned_mean,robots_overassigned_mean,travel_distance_m_mean,estimated_arrival_time_s_mean,energy_proxy_wh_mean,communication_messages_mean,runtime_ms_mean
ALL_SCENARIOS,1,centralized_coalition_milp,Centralized coalition oracle,model_based_oracle,centralized,reference,exact_capacity_feasible_coalition,centralized_oracle_reference,none,centralized_exact_subset_slot_search,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,False,False,,none,420,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8402417027417027,0.8430158730158729,0.8430158730158729,1.3292338157847606e-18,1.5523809523809524,0.28809523809523807,30.158495662823633,13.299462276483844,150.79247831411817,24.166666666666668,2.224078099243343
ALL_SCENARIOS,2,oracle_reference,Oracle reference,model_based_oracle,centralized,reference,exact_capacity_feasible_reference,centralized_oracle_reference,none,centralized_exact_reference_replay,centralized_all_robot_load_pairs,0,0,2,0,0,0,0,False,False,,none,420,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8402417027417027,0.8430158730158729,0.8430158730158729,1.3292338157847606e-18,1.5523809523809524,0.28809523809523807,30.158495662823633,13.299462276483844,150.79247831411817,24.166666666666668,2.285213097431032
ALL_SCENARIOS,3,tensor_quorum_flow_repair,Smooth tensor quorum-flow repair,model_based,decentralized_local,proposed,smooth_tensor_quorum_flow_with_repair,proposed_local_repair_family,model_based_tuning_optional,smooth_tensor_quorum_flow_plus_certified_local_repair,radius_limited_tensorized_deficit_capacity_scores,0,0,9,0,0,0,0,False,False,,none,420,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8292496392496391,0.8380555555555554,0.8380555555555554,0.05245685375471285,1.6404761904761904,0.07380952380952381,30.627973897602683,14.686348337061705,153.1398694880134,23.645238095238096,3.9433938132355077
ALL_SCENARIOS,4,primal_dual_local_repair,Primal-dual local repair,model_based,decentralized_local,proposed,primal_dual_with_certified_local_repair,proposed_local_repair_family,model_based_tuning_optional,distributed_primal_dual_plus_certified_local_repair,local_deficit_capacity_prices_plus_small_repair_neighborhood,0,0,8,0,0,0,0,False,False,,none,420,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8275102212602213,0.8358730158730158,0.8358730158730158,0.05439648904809502,1.6571428571428573,0.07380952380952381,30.44247093470704,14.727001280747373,152.2123546735352,23.645238095238096,3.9363850052246736
ALL_SCENARIOS,5,replicator_cardinality_repair,Replicator cardinality local repair,model_based,decentralized,proposed,replicator_with_certified_local_repair,proposed_local_repair_family,model_based_tuning_optional,distributed_replicator_plus_local_exact_repair,local_deficit_scores_plus_small_repair_neighborhood,0,0,7,0,0,0,0,False,False,,none,420,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8298599086099087,0.8388492063492062,0.8388492063492062,0.05617001333751327,1.6428571428571428,0.06904761904761905,30.86434947284073,14.86346606756781,154.32174736420367,23.645238095238096,3.6325819055838067
ALL_SCENARIOS,6,bnn_cardinality_repair,Brown/BNN cardinality local repair,model_based,decentralized,proposed,brown_bnn_positive_excess_with_local_repair,proposed_local_repair_family,model_based_tuning_optional,distributed_brown_bnn_positive_excess_plus_local_repair,positive_excess_scores_plus_small_repair_neighborhood,0,0,8,0,0,0,0,False,False,,none,420,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8316323953823953,0.8370634920634921,0.8370634920634921,0.06527664493712719,1.6285714285714286,0.06666666666666667,31.55075448057319,14.896329487557995,157.75377240286596,23.645238095238096,3.6823035750005926
ALL_SCENARIOS,7,logit_cardinality_repair,Logit cardinality local repair,model_based,decentralized,proposed,logit_quorum_flow_with_local_repair,proposed_local_repair_family,model_based_tuning_optional,distributed_logit_quorum_flow_plus_local_repair,softmax_local_deficit_scores_plus_small_repair_neighborhood,0,0,8,0,0,0,0,False,False,,none,420,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8304816017316016,0.833095238095238,0.833095238095238,0.07194765261173511,1.6333333333333333,0.06904761904761905,31.858328605711385,14.959716656892573,159.2916430285569,23.645238095238096,3.7609135709880364
ALL_SCENARIOS,8,greedy_nearest,Greedy nearest,classic,decentralized,baseline,nearest_greedy,classic_decentralized_baseline,none,distributed_greedy_rule,local_robot_load_distances,0,0,0,0,0,0,0,False,False,,none,420,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8885137085137086,0.7046825396825396,0.7046825396825396,0.318698089138027,1.1,0.0,31.439363309922122,15.306817611222431,157.19681654961062,23.645238095238096,0.10706023618002378
ALL_SCENARIOS,9,cbba,CBBA-like auction,sota,decentralized,baseline,cbba_like_auction,sota_decentralized_baseline,none,distributed_auction_proxy,auction_bids,0,0,2,0,0,0,0,False,False,,none,420,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8885137085137086,0.6840079365079365,0.6840079365079365,0.3417073110580633,1.1,0.0,30.525857908338004,14.348752979505905,152.62928954168999,23.645238095238096,0.3302088104343663
ALL_SCENARIOS,10,bnn_cardinality,BNN cardinality,model_based,decentralized,baseline,bnn_cardinality,model_based_decentralized_baseline,model_based_tuning_optional,distributed_nonlinear_utility_rule,local_deficit_scores,0,0,5,0,0,0,0,False,False,,none,420,"min oracle gap, max coalition success, max served loads, max demand, min under/over assignment, min travel/energy/communication/runtime",0.8460353535353536,0.5874206349206349,0.5874206349206349,0.5640991761461307,1.3738095238095238,0.5738095238095238,33.25732910688981,13.76400843481721,166.2866455344491,23.645238095238096,0.12746547664781765
