experiment_id,scenario_generator,scenario_variant_id,seed,method,method_family,method_scope,method_ownership,method_variant,load_id,status,assigned_capacity_kg,assigned_robot_ids,assigned_robots,capacity_deficit_kg,load_index,mass_kg,method_comparison_group,method_file_tag,method_title,required_capacity_kg,required_robots,reward,robot_deficit,robot_surplus
SP1_DEBUG_smoke,setup,setup_v00,2000,greedy_nearest,classic,decentralized,baseline,nearest_greedy,load-01,OK,50.0,amr-01 amr-02,2,0.0,1,47.19034951765208,classic_decentralized_baseline,baseline-classic-decentralized-greedy-nearest,Greedy nearest [baseline | classic | decentralized | nearest_greedy],47.19034951765208,2,1.7,0,0
SP1_DEBUG_smoke,setup,setup_v00,2000,hungarian_expanded,classic,centralized,baseline,hungarian_expanded,load-01,OK,50.0,amr-01 amr-02,2,0.0,1,47.19034951765208,classic_centralized_baseline,baseline-classic-centralized-hungarian-expanded,Hungarian expanded [baseline | classic | centralized | hungarian_expanded],47.19034951765208,2,1.7,0,0
SP1_DEBUG_smoke,setup,setup_v00,2000,centralized_coalition_milp,model_based_oracle,centralized,reference,exact_capacity_feasible_coalition,load-01,OK,50.0,amr-01 amr-02,2,0.0,1,47.19034951765208,centralized_oracle_reference,reference-model-based-oracle-centralized-centralized-coalition-milp,Centralized coalition oracle [reference | model_based_oracle | centralized | exact_capacity_feasible_coalition],47.19034951765208,2,1.7,0,0
SP1_DEBUG_smoke,setup,setup_v00,2000,cbba,sota,decentralized,baseline,cbba_like_auction,load-01,OK,50.0,amr-01 amr-02,2,0.0,1,47.19034951765208,sota_decentralized_baseline,baseline-sota-decentralized-cbba,CBBA-like auction [baseline | sota | decentralized | cbba_like_auction],47.19034951765208,2,1.7,0,0
SP1_DEBUG_smoke,setup,setup_v00,2000,replicator_cardinality,model_based,decentralized,baseline,population_game_replicator,load-01,OVER,75.0,amr-01 amr-02 amr-04,3,0.0,1,47.19034951765208,model_based_decentralized_baseline,baseline-model-based-decentralized-replicator-cardinality,Replicator cardinality [baseline | model_based | decentralized | population_game_replicator],47.19034951765208,2,1.7,0,1
SP1_DEBUG_smoke,setup,setup_v00,2000,replicator_cardinality_repair,model_based,decentralized,proposed,replicator_with_certified_local_repair,load-01,OK,50.0,amr-01 amr-02,2,0.0,1,47.19034951765208,proposed_local_repair_family,proposed-model-based-decentralized-replicator-cardinality-repair,Replicator cardinality local repair [proposed | model_based | decentralized | replicator_with_certified_local_repair],47.19034951765208,2,1.7,0,0
SP1_DEBUG_smoke,setup,setup_v00,2000,logit_cardinality_repair,model_based,decentralized,proposed,logit_quorum_flow_with_local_repair,load-01,OK,50.0,amr-01 amr-02,2,0.0,1,47.19034951765208,proposed_local_repair_family,proposed-model-based-decentralized-logit-cardinality-repair,Logit cardinality local repair [proposed | model_based | decentralized | logit_quorum_flow_with_local_repair],47.19034951765208,2,1.7,0,0
SP1_DEBUG_smoke,setup,setup_v00,2000,smith_cardinality,model_based,decentralized,proposed,smith_qr_cardinality,load-01,OVER,100.0,amr-01 amr-02 amr-03 amr-04,4,0.0,1,47.19034951765208,proposed_model_based_variation,proposed-model-based-decentralized-smith-cardinality,Smith cardinality [proposed | model_based | decentralized | smith_qr_cardinality],47.19034951765208,2,1.7,0,2
SP1_DEBUG_smoke,setup,setup_v00,2000,bnn_cardinality,model_based,decentralized,baseline,bnn_cardinality,load-01,OVER,75.0,amr-01 amr-02 amr-04,3,0.0,1,47.19034951765208,model_based_decentralized_baseline,baseline-model-based-decentralized-bnn-cardinality,BNN cardinality [baseline | model_based | decentralized | bnn_cardinality],47.19034951765208,2,1.7,0,1
SP1_DEBUG_smoke,setup,setup_v00,2000,bnn_cardinality_repair,model_based,decentralized,proposed,brown_bnn_positive_excess_with_local_repair,load-01,OK,50.0,amr-01 amr-02,2,0.0,1,47.19034951765208,proposed_local_repair_family,proposed-model-based-decentralized-bnn-cardinality-repair,Brown/BNN cardinality local repair [proposed | model_based | decentralized | brown_bnn_positive_excess_with_local_repair],47.19034951765208,2,1.7,0,0
SP1_DEBUG_smoke,setup,setup_v00,2000,primal_dual_cardinality_capacity,model_based,decentralized,proposed,primal_dual_capacity,load-01,OK,50.0,amr-01 amr-02,2,0.0,1,47.19034951765208,proposed_model_based_variation,proposed-model-based-decentralized-primal-dual-cardinality-capacity,Primal-dual cardinality capacity [proposed | model_based | decentralized | primal_dual_capacity],47.19034951765208,2,1.7,0,0
