experiment_id,scenario_generator,scenario_variant_id,seed,method,passed,assigned_under_loads,invalid_label_count,robots_overassigned,robots_underassigned,shape_ok,strict_complete_coalition_method
SP1_DEBUG_smoke,setup,setup_v00,2000,greedy_nearest,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2000,hungarian_expanded,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2000,centralized_coalition_milp,True,0,0,0,0,True,True
SP1_DEBUG_smoke,setup,setup_v00,2000,cbba,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2000,replicator_cardinality,True,0,0,1,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2000,replicator_cardinality_repair,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2000,logit_cardinality_repair,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2000,smith_cardinality,True,0,0,2,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2000,bnn_cardinality,True,0,0,1,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2000,bnn_cardinality_repair,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2000,primal_dual_cardinality_capacity,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2000,primal_dual_local_repair,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2000,primal_dual_wrench_market,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2000,tensor_quorum_flow_repair,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2000,imitation_oracle,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2000,mappo_recruitment,True,0,0,0,0,True,True
SP1_DEBUG_smoke,setup,setup_v00,2000,oracle_reference,True,0,0,0,0,True,True
SP1_DEBUG_smoke,setup,setup_v00,2001,greedy_nearest,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2001,hungarian_expanded,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2001,centralized_coalition_milp,True,0,0,0,0,True,True
SP1_DEBUG_smoke,setup,setup_v00,2001,cbba,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2001,replicator_cardinality,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2001,replicator_cardinality_repair,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2001,logit_cardinality_repair,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2001,smith_cardinality,True,0,0,2,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2001,bnn_cardinality,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2001,bnn_cardinality_repair,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2001,primal_dual_cardinality_capacity,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2001,primal_dual_local_repair,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2001,primal_dual_wrench_market,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2001,tensor_quorum_flow_repair,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2001,imitation_oracle,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2001,mappo_recruitment,True,0,0,0,0,True,True
SP1_DEBUG_smoke,setup,setup_v00,2001,oracle_reference,True,0,0,0,0,True,True
SP1_DEBUG_smoke,setup,setup_v00,2002,greedy_nearest,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2002,hungarian_expanded,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2002,centralized_coalition_milp,True,0,0,0,0,True,True
SP1_DEBUG_smoke,setup,setup_v00,2002,cbba,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2002,replicator_cardinality,True,0,0,1,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2002,replicator_cardinality_repair,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2002,logit_cardinality_repair,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2002,smith_cardinality,True,0,0,2,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2002,bnn_cardinality,True,0,0,1,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2002,bnn_cardinality_repair,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2002,primal_dual_cardinality_capacity,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2002,primal_dual_local_repair,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2002,primal_dual_wrench_market,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2002,tensor_quorum_flow_repair,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2002,imitation_oracle,True,0,0,0,0,True,False
SP1_DEBUG_smoke,setup,setup_v00,2002,mappo_recruitment,True,0,0,0,0,True,True
SP1_DEBUG_smoke,setup,setup_v00,2002,oracle_reference,True,0,0,0,0,True,True
