study,seed,N,N_original,K,M,size_N_plus_M,matrix_elements,rho_M_over_N,requested_delta,observed_delta,capacity_delta,quota_mode,spatial_mode,capacity_mode,treatment,failure_count,failed_robot_was_assigned,total_capacity_kg,total_demand_kg,capacity_mean_kg,capacity_std_kg,capacity_cv,capacity_min_kg,capacity_max_kg,quota_cv,quota_asymmetry_cv,distance_matrix_asymmetry_cv,structurally_feasible,milp_feasible,mission_feasible,milp_complete_load_fraction,milp_missing_load_count,milp_optimal,milp_status,milp_message,milp_mip_gap,milp_node_count,milp_assigned_robot_count,milp_idle_robot_count,milp_robot_utilization,milp_idle_fraction,milp_total_distance,milp_mean_distance_per_assigned_robot,milp_normalized_mean_distance_per_assigned_robot,milp_distance_per_nominal_slot,milp_normalized_distance_p95,milp_assignment_distance_p50,milp_assignment_distance_p95,milp_assignment_distance_max,milp_assignment_distance_std,milp_assignment_distance_cv,milp_assignment_distance_gini,milp_assignment_distance_jain,milp_normalized_assignment_distance_max,milp_load_mean_distance_cv,milp_total_excess_kg,milp_objective_value,milp_matrix_bytes,milp_binary_variable_count,milp_constraint_count,milp_solver_wall_ns,milp_total_wall_ns,milp_total_cpu_ns,milp_matrix_wall_ns,milp_model_wall_ns,milp_post_wall_ns,milp_solver_ns_per_binary_variable,hungarian_feasible,hungarian_coverage,hungarian_assigned_robot_count,hungarian_total_distance,hungarian_mean_distance_per_slot,hungarian_normalized_distance_p95,hungarian_solver_wall_ns,hungarian_total_wall_ns,hungarian_matrix_bytes,both_feasible,same_capacity_model,milp_to_hungarian_distance_ratio,milp_minus_hungarian_assigned_robots,milp_to_hungarian_solver_ratio,base_milp_total_distance,relative_distance_increase,assignment_churn,failure_rate,recovery_feasible,central_logical_messages,central_communication_bytes,central_communication_rounds,retry_messages,nonresponding_count
asymmetry,2595176108,30,30,7,20,50,210,0.6666666666666666,0.2,0.2,0.29750217351486763,symmetric,uniform,homogeneous,none,0,False,150.0,81.21348551371996,5.0,0.0,0.0,5.0,5.0,0.12247448713915893,0.12247448713915893,0.5002484160954939,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,10,0.6666666666666666,0.3333333333333333,278.368011648298,13.9184005824149,0.09841795435096368,13.9184005824149,0.2009596125464049,13.61866057106528,28.41998095523682,29.232613892889724,7.814054788428836,0.5614190180947547,0.31868977946848487,0.7603456542387098,0.20670579515470403,0.4284620515847237,18.78651448628004,283.08464026986803,9504,210,44,4136700,5065600,0,45700,669400,164600,19698.571428571428,True,1.0,20,278.368011648298,13.9184005824149,0.2009596125464049,22800,827700,4800,True,True,1.0,0,181.43421052631578,nan,nan,nan,0.0,True,50,3732,2,0,0
asymmetry,2904527327,30,30,7,20,50,210,0.6666666666666666,0.2,0.2,0.24940041023383797,symmetric,uniform,homogeneous,none,0,False,150.0,90.11517648201504,5.0,0.0,0.0,5.0,5.0,0.12247448713915891,0.12247448713915891,0.48003197545296056,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,10,0.6666666666666666,0.3333333333333333,299.8033696529924,14.990168482649619,0.10599649785210405,14.990168482649619,0.17959652308141102,14.465908132566245,25.398783869678407,27.650259460137722,6.592619321594918,0.43979621237917027,0.2498312846781332,0.8379274743115169,0.1955168596583087,0.2818792042335704,9.88482351798496,302.29457553248864,9504,210,44,4045500,5283600,15625000,124900,962500,103300,19264.285714285714,True,1.0,20,299.8033696529924,14.990168482649619,0.17959652308141102,16600,700700,4800,True,True,1.0,0,243.70481927710844,nan,nan,nan,0.0,True,50,3729,2,0,0
asymmetry,1683455739,30,30,7,20,50,210,0.6666666666666666,0.2,0.2,0.28297130250481434,symmetric,clustered,homogeneous,none,0,False,150.0,83.83219828400975,5.0,0.0,0.0,5.0,5.0,0.12247448713915891,0.12247448713915891,0.4468143359959105,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,10,0.6666666666666666,0.3333333333333333,432.1505735215371,21.607528676076857,0.1527883005153673,21.607528676076857,0.2846012514305613,17.10528705692651,40.2486949641455,41.05482122248596,12.30639140526866,0.569541829135411,0.32279965181788284,0.7550714970957241,0.2903014248682121,0.29000233775879125,16.16780171599025,436.21252395053466,9504,210,44,4013400,4710400,0,25200,454100,183800,19111.428571428572,True,1.0,20,432.1505735215371,21.607528676076857,0.2846012514305613,19200,516300,4800,True,True,1.0,0,209.03125,nan,nan,nan,0.0,True,50,3728,2,0,0
asymmetry,3269895362,30,30,7,20,50,210,0.6666666666666666,0.2,0.2,0.29459378376686407,symmetric,clustered,homogeneous,none,0,False,150.0,81.7329217564243,5.0,0.0,0.0,5.0,5.0,0.12247448713915893,0.12247448713915893,0.4679178430222485,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,10,0.6666666666666666,0.3333333333333333,451.1011069035345,22.555055345176726,0.15948832584612346,22.555055345176726,0.3360231178261201,17.418330933639325,47.52084505005916,50.148351845922825,13.330669246902001,0.5910279998383019,0.31318100374810554,0.7411172850895782,0.35460239655580944,0.4877605612743832,18.267078243575703,455.6878764644284,9504,210,44,2656300,3510800,31250000,43700,652100,96400,12649.047619047618,True,1.0,20,451.1011069035345,22.555055345176726,0.3360231178261201,29900,967800,4800,True,True,1.0,0,88.83946488294315,nan,nan,nan,0.0,True,50,3736,2,0,0
asymmetry,2572157129,30,30,7,20,50,210,0.6666666666666666,0.2,0.2,0.2777238172545436,symmetric,separated,homogeneous,none,0,False,150.0,84.79252397800069,5.0,0.0,0.0,5.0,5.0,0.12247448713915891,0.12247448713915891,0.21364081317049005,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,10,0.6666666666666666,0.3333333333333333,1319.1979601905693,65.95989800952847,0.4664069116891064,65.95989800952847,0.6083115896558079,66.87984275665656,86.02825002399805,87.08793704573485,12.979714047564453,0.19678189990059447,0.10987839425091583,0.9627204636854374,0.6158047084458625,0.1663812515314148,15.207476021999305,1323.0198291960692,9504,210,44,3768600,4663400,0,57200,542900,156600,17945.714285714286,True,1.0,20,1319.1979601905693,65.95989800952847,0.6083115896558079,19600,445200,4800,True,True,1.0,0,192.27551020408163,nan,nan,nan,0.0,True,50,3740,2,0,0
asymmetry,3870751853,30,30,7,20,50,210,0.6666666666666666,0.2,0.2,0.29610667225924514,symmetric,separated,homogeneous,none,0,False,150.0,81.462430076893,5.0,0.0,0.0,5.0,5.0,0.12247448713915891,0.12247448713915891,0.1877833307079366,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,10,0.6666666666666666,0.3333333333333333,1146.1259308274705,57.30629654137353,0.40521670889092415,57.30629654137353,0.4750228514045802,58.437786962625836,67.17837588934968,69.217923491175,7.795699662791586,0.13603565634647688,0.0755679602362378,0.9818305387968927,0.4894446308026147,0.061831015813426815,18.537569923107,1150.7803233082473,9504,210,44,3923200,4696600,0,36600,500100,182800,18681.904761904763,True,1.0,20,1146.1259308274705,57.30629654137353,0.4750228514045802,34500,834500,4800,True,True,1.0,0,113.71594202898551,nan,nan,nan,0.0,True,50,3733,2,0,0
asymmetry,1020913754,30,30,7,20,50,210,0.6666666666666666,0.2,0.2,0.3092212766837022,symmetric,ring,homogeneous,none,0,False,150.0,79.14384706602786,5.0,0.0,0.0,5.0,5.0,0.12247448713915891,0.12247448713915891,0.26259818644597166,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,10,0.6666666666666666,0.3333333333333333,562.8437539373799,28.142187696868994,0.19899531757880692,28.142187696868994,0.2674813856587011,27.769912818581016,37.82758032808834,40.082242722064514,4.957031769161478,0.17614237466382118,0.09691704125472311,0.9699075173128014,0.2834242563393696,0.15484779781108732,20.856152933972137,568.077792170873,9504,210,44,3869300,4708200,0,37600,585200,156900,18425.238095238095,True,1.0,20,562.8437539373799,28.142187696868994,0.2674813856587011,25200,1037500,4800,True,True,1.0,0,153.54365079365078,nan,nan,nan,0.0,True,50,3728,2,0,0
asymmetry,1513431830,30,30,7,20,50,210,0.6666666666666666,0.2,0.2,0.2948574955153727,symmetric,ring,homogeneous,none,0,False,150.0,81.68572683791392,5.0,0.0,0.0,5.0,5.0,0.12247448713915891,0.12247448713915891,0.2915744380669768,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,10,0.6666666666666666,0.3333333333333333,540.1691581691742,27.008457908458713,0.19097863736462592,27.008457908458713,0.29003301347008703,25.453433368009286,41.01686211853357,43.080737356641976,6.903882381111535,0.25561927321105316,0.14038909391101195,0.9386663990375939,0.3046268152339816,0.23918803623020213,18.31427316208608,544.7677264596957,9504,210,44,3669100,4470200,0,34600,541300,172300,17471.904761904763,True,1.0,20,540.1691581691742,27.008457908458713,0.29003301347008703,19600,842900,4800,True,True,1.0,0,187.19897959183675,nan,nan,nan,0.0,True,50,3729,2,0,0
asymmetry,2720643432,30,30,7,20,50,210,0.6666666666666666,0.2,0.2,0.26820199040905357,symmetric,corridor,homogeneous,none,0,False,150.0,86.55537703677328,5.0,0.0,0.0,5.0,5.0,0.12247448713915891,0.12247448713915891,0.5991345476579161,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,10,0.6666666666666666,0.3333333333333333,212.7688198356683,10.638440991783416,0.07522513766542993,10.638440991783416,0.11717646675081239,9.933914069866411,16.571254846995892,17.1835042219738,3.8755041808475577,0.36429249208984643,0.20529696457882052,0.8828392663304833,0.12150572359905341,0.3210044788867849,13.44462296322672,216.149975576475,9504,210,44,3960400,4991000,0,39400,764700,168200,18859.04761904762,True,1.0,20,212.7688198356683,10.638440991783416,0.11717646675081239,17500,970900,4800,True,True,1.0,0,226.30857142857144,nan,nan,nan,0.0,True,50,3723,2,0,0
asymmetry,3717772072,30,30,7,20,50,210,0.6666666666666666,0.2,0.2,0.27564922123813496,symmetric,corridor,homogeneous,none,0,False,150.0,85.17436847476174,5.0,0.0,0.0,5.0,5.0,0.12247448713915893,0.12247448713915893,0.6172632901259786,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,10,0.6666666666666666,0.3333333333333333,177.71389525161584,8.885694762580792,0.06283135022174667,8.885694762580792,0.11061708276853424,7.757778099903371,15.643617868140833,18.693225361985725,4.015042681200304,0.45185467073529784,0.25138154256743483,0.8304457051293352,0.1321810641570846,0.3161538939597332,14.825631525238265,181.4403031329254,9504,210,44,3737300,4566800,0,37000,576600,163100,17796.666666666668,True,1.0,20,177.71389525161584,8.885694762580792,0.11061708276853424,18600,860500,4800,True,True,1.0,0,200.93010752688173,nan,nan,nan,0.0,True,50,3729,2,0,0
