M,quota_mode,spatial_mode,replicates,milp_feasibility_rate,hungarian_feasibility_rate,feasibility_disagreements,milp_total_distance_median,milp_total_distance_p05,milp_total_distance_p95,hungarian_total_distance_median,hungarian_total_distance_p05,hungarian_total_distance_p95,milp_solver_wall_ns_median,milp_solver_wall_ns_p05,milp_solver_wall_ns_p95,hungarian_solver_wall_ns_median,hungarian_solver_wall_ns_p05,hungarian_solver_wall_ns_p95,milp_to_hungarian_distance_ratio_median,milp_to_hungarian_distance_ratio_p05,milp_to_hungarian_distance_ratio_p95,milp_to_hungarian_solver_ratio_median,milp_to_hungarian_solver_ratio_p05,milp_to_hungarian_solver_ratio_p95,milp_minus_hungarian_assigned_robots_median,milp_minus_hungarian_assigned_robots_p05,milp_minus_hungarian_assigned_robots_p95
20,extreme,clustered,2,1.0,1.0,0,547.8380371064203,517.8490659906752,577.8270082221654,547.8380371064203,517.8490659906752,577.8270082221654,3992000.0,3717140.0,4266860.0,23750.0,23255.0,24245.0,1.0,1.0,1.0,167.87645451965375,159.80230062437917,175.95060841492835,0.0,0.0,0.0
20,extreme,corridor,2,1.0,1.0,0,384.76429529008874,300.9657181223462,468.56287245783125,384.76429529008874,300.9657181223462,468.56287245783125,4622150.0,4496645.0,4747655.0,31350.0,26805.0,35895.0,1.0,1.0,1.0,150.62902686666945,132.79477081853506,168.46328291480384,0.0,0.0,0.0
20,extreme,ring,2,1.0,1.0,0,686.1514994540457,665.468453077736,706.8345458303556,686.1514994540457,665.468453077736,706.8345458303556,4747450.0,4472095.0,5022805.0,29600.0,26630.0,32570.0,1.0,1.0,1.0,161.23855559536332,154.36276133461234,168.11434985611427,0.0,0.0,0.0
20,extreme,separated,2,1.0,1.0,0,1268.802425260917,1222.2068696695217,1315.3979808523125,1268.802425260917,1222.2068696695217,1315.3979808523125,4844750.0,4284455.0,5405045.0,36700.0,31300.0,42100.0,1.0,1.0,1.0,132.7853786358886,128.5143692453219,137.0563880264553,0.0,0.0,0.0
20,extreme,uniform,2,1.0,1.0,0,338.16314643133774,306.6654804574203,369.6608124052551,338.16314643133774,306.6654804574203,369.6608124052551,4715200.0,4578760.0,4851640.0,31800.0,23700.0,39900.0,1.0,1.0,1.0,159.72110423116615,123.32799277605778,196.11421568627452,0.0,0.0,0.0
20,high,clustered,2,1.0,1.0,0,408.2393456465171,371.9427490506633,444.535942242371,408.2393456465171,371.9427490506633,444.535942242371,4731250.0,4668475.0,4794025.0,32700.0,30540.0,34860.0,1.0,1.0,1.0,145.62755634537814,134.08839666017883,157.16671603057742,0.0,0.0,0.0
20,high,corridor,2,1.0,1.0,0,427.07792608273627,281.57709832869756,572.5787538367749,427.07792608273627,281.57709832869756,572.5787538367749,4896950.0,4779005.0,5014895.0,32750.0,29015.0,36485.0,1.0,1.0,1.0,151.45001137074308,137.7791474785377,165.12087526294843,0.0,0.0,0.0
20,high,ring,2,1.0,1.0,0,610.1308208633818,570.7604762109936,649.5011655157699,610.1308208633818,570.7604762109936,649.5011655157699,2771650.0,2374795.0,3168505.0,14550.0,12795.0,16305.0,1.0,1.0,1.0,198.1113997113997,146.94023088023087,249.28256854256855,0.0,0.0,0.0
20,high,separated,2,1.0,1.0,0,1356.4845525114836,1328.6728726262354,1384.2962323967317,1356.4845525114836,1328.6728726262354,1384.2962323967317,3910250.0,2851085.0,4969415.0,42600.0,36210.0,48990.0,1.0,1.0,1.0,99.14828973843058,59.41301810865191,138.88356136820923,0.0,0.0,0.0
20,high,uniform,2,1.0,1.0,0,475.493727109811,394.66206206366087,556.3253921559611,475.493727109811,394.66206206366087,556.3253921559611,3740450.0,3059645.0,4421255.0,21450.0,15915.0,26985.0,1.0,1.0,1.0,178.98191957942595,164.53623543620347,193.42760372264846,0.0,0.0,0.0
20,low,clustered,2,1.0,1.0,0,650.1286331275761,435.24765276925166,865.0096134859006,650.1286331275761,435.24765276925166,865.0096134859006,3216200.0,2816510.0,3615890.0,31700.0,23330.0,40070.0,1.0,1.0,1.0,106.51503702090594,90.99955248257841,122.03052155923345,0.0,0.0,0.0
20,low,corridor,2,1.0,1.0,0,192.51360980112895,144.093872426501,240.93334717575686,192.51360980112895,144.093872426501,240.93334717575686,4788450.0,4782915.0,4793985.0,23300.0,20510.0,26090.0,1.0,1.0,1.0,209.25208145814582,183.95816269126914,234.5460002250225,0.0,0.0,0.0
20,low,ring,2,1.0,1.0,0,593.7607241764609,531.7718017115892,655.7496466413327,593.7607241764609,531.7718017115892,655.7496466413327,5693050.0,5688775.0,5697325.0,26750.0,20405.0,33095.0,1.0,1.0,1.0,228.76066290211156,174.33967575766678,283.18165004655634,0.0,0.0,0.0
20,low,separated,2,1.0,1.0,0,1259.0240938565462,1124.0034411713914,1394.0447465417012,1259.0240938565462,1124.0034411713914,1394.0447465417012,4318250.0,3778385.0,4858115.0,28050.0,19635.0,36465.0,1.0,1.0,1.0,165.17245989304814,134.86724598930482,195.47767379679144,0.0,0.0,0.0
20,low,uniform,2,1.0,1.0,0,342.3610589942389,331.0317400859969,353.69037790248086,342.3610589942389,331.0317400859969,353.69037790248086,3205500.0,2849460.0,3561540.0,18350.0,15245.0,21455.0,1.0,1.0,1.0,176.88598300597255,166.35786435564313,187.41410165630194,0.0,0.0,0.0
