study,seed,N,N_original,K,M,size_N_plus_M,matrix_elements,rho_M_over_N,requested_delta,observed_delta,capacity_delta,quota_mode,spatial_mode,capacity_mode,treatment,failure_count,failed_robot_was_assigned,total_capacity_kg,total_demand_kg,capacity_mean_kg,capacity_std_kg,capacity_cv,capacity_min_kg,capacity_max_kg,quota_cv,quota_asymmetry_cv,distance_matrix_asymmetry_cv,structurally_feasible,milp_feasible,mission_feasible,milp_complete_load_fraction,milp_missing_load_count,milp_optimal,milp_status,milp_message,milp_mip_gap,milp_node_count,milp_assigned_robot_count,milp_idle_robot_count,milp_robot_utilization,milp_idle_fraction,milp_total_distance,milp_mean_distance_per_assigned_robot,milp_normalized_mean_distance_per_assigned_robot,milp_distance_per_nominal_slot,milp_normalized_distance_p95,milp_assignment_distance_p50,milp_assignment_distance_p95,milp_assignment_distance_max,milp_assignment_distance_std,milp_assignment_distance_cv,milp_assignment_distance_gini,milp_assignment_distance_jain,milp_normalized_assignment_distance_max,milp_load_mean_distance_cv,milp_total_excess_kg,milp_objective_value,milp_matrix_bytes,milp_binary_variable_count,milp_constraint_count,milp_solver_wall_ns,milp_total_wall_ns,milp_total_cpu_ns,milp_matrix_wall_ns,milp_model_wall_ns,milp_post_wall_ns,milp_solver_ns_per_binary_variable,hungarian_feasible,hungarian_coverage,hungarian_assigned_robot_count,hungarian_total_distance,hungarian_mean_distance_per_slot,hungarian_normalized_distance_p95,hungarian_solver_wall_ns,hungarian_total_wall_ns,hungarian_matrix_bytes,both_feasible,same_capacity_model,milp_to_hungarian_distance_ratio,milp_minus_hungarian_assigned_robots,milp_to_hungarian_solver_ratio,base_milp_total_distance,relative_distance_increase,assignment_churn,failure_rate,recovery_feasible,central_logical_messages,central_communication_bytes,central_communication_rounds,retry_messages,nonresponding_count
failures,2768775459,39,40,7,20,59,273,0.5128205128205128,0.33,0.3220338983050847,0.40102859235755395,moderate,uniform,homogeneous,idle_robot_failure,1,False,195.0,83.36690994559575,5.0,0.0,0.0,5.0,5.0,0.6041522986797286,0.6041522986797286,0.4656555220616405,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,19,0.5128205128205128,0.48717948717948717,246.4386882338832,12.32193441169416,0.08712923379844813,12.32193441169416,0.21755433042064806,11.858596937913472,30.76682846338781,30.768084348334078,7.98960343886219,0.6484049640192564,0.35102128134434873,0.7040126622697825,0.21756321086826702,0.43164252265042824,16.63309005440425,250.61696074748428,12312,273,53,2959300,3593400,0,28000,451800,117000,10839.92673992674,True,1.0,20,246.4386882338832,12.32193441169416,0.21755433042064806,14300,552700,6240,True,True,1.0,0,206.94405594405595,246.4386882338832,0.0,0.0,0.025,True,62,4678,2,3,1
failures,1228450650,39,40,7,20,59,273,0.5128205128205128,0.33,0.3220338983050847,0.40102859235755395,moderate,uniform,homogeneous,random_assigned_failure,1,True,195.0,83.36690994559575,5.0,0.0,0.0,5.0,5.0,0.6041522986797286,0.6041522986797286,0.4643659975691341,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,19,0.5128205128205128,0.48717948717948717,256.60263592986445,12.830131796493223,0.09072273196817499,12.830131796493223,0.21755433042064806,11.981816496943724,30.76682846338781,30.768084348334078,8.299314055993325,0.6468611692875768,0.35689429641123915,0.705005141254135,0.21756321086826702,0.39487807179085177,16.63309005440425,260.7809084434655,12312,273,53,3119300,3797900,0,31800,486600,119600,11426.007326007326,True,1.0,20,256.60263592986445,12.830131796493223,0.21755433042064806,15400,630100,6240,True,True,1.0,0,202.55194805194805,246.4386882338832,0.04124331195244446,0.02564102564102564,0.025,True,62,4678,2,3,1
failures,3890604234,39,40,7,20,59,273,0.5128205128205128,0.33,0.3220338983050847,0.40102859235755395,moderate,uniform,homogeneous,critical_assigned_failure,1,True,195.0,83.36690994559575,5.0,0.0,0.0,5.0,5.0,0.6041522986797286,0.6041522986797286,0.462211356019609,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,19,0.5128205128205128,0.48717948717948717,248.62160787602318,12.431080393801158,0.08790101243931936,12.431080393801158,0.21832610906151934,11.858596937913472,30.875974445494812,32.951003990474035,8.251469776647397,0.6637773640947611,0.35628036731578705,0.6941550256247239,0.23299878368569177,0.4389752669862336,16.63309005440425,252.79988038962424,12312,273,53,4754100,5901500,31250000,32100,837700,233000,17414.285714285714,True,1.0,20,248.62160787602318,12.431080393801158,0.21832610906151934,16000,635900,6240,True,True,1.0,0,297.13125,246.4386882338832,0.00885786098677929,0.02564102564102564,0.025,True,62,4678,2,3,1
failures,3941745458,38,40,7,20,58,266,0.5263157894736842,0.33,0.3103448275862069,0.3900731440964303,moderate,uniform,homogeneous,random_5_percent,2,True,190.0,83.36690994559575,5.0,0.0,0.0,5.0,5.0,0.6041522986797286,0.6041522986797286,0.46009228532352503,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,18,0.5263157894736842,0.47368421052631576,262.6521146121926,13.13260573060963,0.09286154566763383,13.13260573060963,0.21755433042064806,11.858596937913472,30.76682846338781,30.768084348334078,8.77153076619547,0.6679200568513745,0.36660520987626133,0.6915068836598238,0.21756321086826702,0.4268555996115918,16.63309005440425,266.8303871257936,12000,266,52,3702300,4655900,0,50600,705200,124100,13918.421052631578,True,1.0,20,262.6521146121926,13.13260573060963,0.21755433042064806,24600,1225600,6080,True,True,1.0,0,150.5,246.4386882338832,0.06579091332819459,0.02631578947368421,0.05,True,64,4628,2,6,2
failures,870400834,36,40,7,20,56,252,0.5555555555555556,0.33,0.2857142857142857,0.36691431765048216,moderate,uniform,homogeneous,random_10_percent,4,True,180.0,83.36690994559575,5.0,0.0,0.0,5.0,5.0,0.6041522986797286,0.6041522986797286,0.4716414162671288,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,16,0.5555555555555556,0.4444444444444444,275.6300406565304,13.78150203282652,0.09744993542347821,13.78150203282652,0.21755433042064806,14.230753555423926,30.76682846338781,30.768084348334078,8.449089041607799,0.6130746141808558,0.3440292766554063,0.7268178806505368,0.21756321086826702,0.376258249721623,16.63309005440425,279.80831317013144,11376,252,50,3844100,4647200,15625000,28000,509600,224800,15254.36507936508,True,1.0,20,275.6300406565304,13.78150203282652,0.21755433042064806,13900,651800,5760,True,True,1.0,0,276.55395683453236,246.4386882338832,0.11845279907894614,0.05555555555555555,0.1,True,68,4531,2,12,4
failures,1501688271,32,40,7,20,52,224,0.625,0.33,0.23076923076923078,0.31488705704294573,moderate,uniform,homogeneous,random_20_percent,8,True,160.0,83.36690994559575,5.0,0.0,0.0,5.0,5.0,0.6041522986797286,0.6041522986797286,0.46901086708632567,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,12,0.625,0.375,309.32617008507333,15.466308504253666,0.10936331623280936,15.466308504253666,0.23730366355212337,14.230753555423926,33.55980593962348,45.12704297346272,11.494719750938675,0.7432102979051082,0.4033376632351384,0.6441798316823157,0.3190963810143223,0.5747403006137471,16.63309005440425,313.50444259867436,10128,224,46,4736200,5750100,0,46200,693000,208800,21143.75,True,1.0,20,309.32617008507333,15.466308504253666,0.23730366355212337,21900,1052200,5120,True,True,1.0,0,216.2648401826484,246.4386882338832,0.2551851022332444,0.125,0.2,True,76,4343,2,24,8
failures,3208116671,28,40,7,20,48,196,0.7142857142857143,0.33,0.16666666666666666,0.25354288183598034,moderate,uniform,homogeneous,random_30_percent,12,True,140.0,83.36690994559575,5.0,0.0,0.0,5.0,5.0,0.6041522986797286,0.6041522986797286,0.45643699880033944,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,8,0.7142857142857143,0.2857142857142857,310.6184461209091,15.530922306045454,0.10982020480686153,15.530922306045454,0.22263986937556987,14.310922552866073,31.48603227959052,45.12704297346272,10.300784712706516,0.6632435929897678,0.3543863586421203,0.6944965009881784,0.3190963810143223,0.3140821518654268,16.63309005440425,314.7967186345101,8880,196,42,3476100,4335200,0,39800,642800,118700,17735.20408163265,True,1.0,20,310.6184461209091,15.530922306045454,0.22263986937556987,21100,923400,4480,True,True,1.0,0,164.7440758293839,246.4386882338832,0.26042890565184285,0.21428571428571427,0.3,True,84,4148,2,36,12
failures,3198531582,40,40,7,20,60,280,0.5,0.33,0.3333333333333333,0.4152684002732718,moderate,uniform,homogeneous,no_failure,0,False,200.0,82.63190213443943,5.0,0.0,0.0,5.0,5.0,0.6595452979136459,0.6595452979136459,0.5205354545192052,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,20,0.5,0.5,316.25743084621496,15.812871542310749,0.1118138869759971,15.812871542310749,0.18884687453046647,16.808338520378353,26.706981117275593,26.993896553731755,6.955695802590051,0.4398755649142274,0.24952234091424397,0.8378784660921195,0.190875673037919,0.5342369167614657,17.36809786556057,320.61945531260506,12624,280,54,4695400,5363300,31250000,32500,454400,137800,16769.285714285714,True,1.0,20,316.25743084621496,15.812871542310749,0.18884687453046647,16000,708200,6400,True,True,1.0,0,293.4625,316.25743084621496,0.0,0.0,0.0,True,60,4720,2,0,0
failures,911463247,39,40,7,20,59,273,0.5128205128205128,0.33,0.3220338983050847,0.4047377012572131,moderate,uniform,homogeneous,idle_robot_failure,1,False,195.0,82.63190213443943,5.0,0.0,0.0,5.0,5.0,0.6595452979136459,0.6595452979136459,0.5254506500513381,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,19,0.5128205128205128,0.48717948717948717,316.25743084621496,15.812871542310749,0.1118138869759971,15.812871542310749,0.18884687453046647,16.808338520378353,26.706981117275593,26.993896553731755,6.955695802590051,0.4398755649142274,0.24952234091424397,0.8378784660921195,0.190875673037919,0.5342369167614657,17.36809786556057,320.61945531260506,12312,273,53,4712700,5545900,0,33600,512700,242900,17262.637362637364,True,1.0,20,316.25743084621496,15.812871542310749,0.18884687453046647,15700,741100,6240,True,True,1.0,0,300.171974522293,316.25743084621496,0.0,0.0,0.025,True,62,4672,2,3,1
failures,74484996,39,40,7,20,59,273,0.5128205128205128,0.33,0.3220338983050847,0.4047377012572131,moderate,uniform,homogeneous,random_assigned_failure,1,True,195.0,82.63190213443943,5.0,0.0,0.0,5.0,5.0,0.6595452979136459,0.6595452979136459,0.5220573147125486,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,19,0.5128205128205128,0.48717948717948717,316.511251167051,15.82556255835255,0.11190362601103016,15.82556255835255,0.18884687453046647,16.808338520378353,26.706981117275593,26.993896553731755,6.969793311623876,0.4404136210592589,0.24992368967998924,0.8375460801084199,0.190875673037919,0.5348363244357038,17.36809786556057,320.87327563344115,12312,273,53,4509700,5472800,15625000,41700,672100,184200,16519.04761904762,True,1.0,20,316.511251167051,15.82556255835255,0.18884687453046647,21400,1345000,6240,True,True,1.0,0,210.7336448598131,316.25743084621496,0.0008025750419741615,0.02564102564102564,0.025,True,62,4673,2,3,1
failures,990656203,39,40,7,20,59,273,0.5128205128205128,0.33,0.3220338983050847,0.4047377012572131,moderate,uniform,homogeneous,critical_assigned_failure,1,True,195.0,82.63190213443943,5.0,0.0,0.0,5.0,5.0,0.6595452979136459,0.6595452979136459,0.5214255815184973,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,19,0.5128205128205128,0.48717948717948717,320.14262591916565,16.00713129595828,0.11318751086715509,16.00713129595828,0.19013075938659144,16.808338520378353,26.888549854881326,30.62527130584639,7.297947405894093,0.4559185072553748,0.25786464859025804,0.8279093642964798,0.21655337016041776,0.5382056147029555,17.36809786556057,324.5046503855558,12312,273,53,4626900,5546800,0,40500,622800,194100,16948.351648351647,True,1.0,20,320.14262591916565,16.00713129595828,0.19013075938659144,19800,1044600,6240,True,True,1.0,0,233.6818181818182,316.25743084621496,0.012284913156206374,0.05128205128205128,0.025,True,62,4672,2,3,1
failures,3668047463,38,40,7,20,58,266,0.5263157894736842,0.33,0.3103448275862069,0.3938207415382208,moderate,uniform,homogeneous,random_5_percent,2,False,190.0,82.63190213443943,5.0,0.0,0.0,5.0,5.0,0.6595452979136459,0.6595452979136459,0.5300530142734903,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,18,0.5263157894736842,0.47368421052631576,316.25743084621496,15.812871542310749,0.1118138869759971,15.812871542310749,0.18884687453046647,16.808338520378353,26.706981117275593,26.993896553731755,6.955695802590051,0.4398755649142274,0.24952234091424397,0.8378784660921195,0.190875673037919,0.5342369167614657,17.36809786556057,320.61945531260506,12000,266,52,4415600,5371400,15625000,40700,653000,201900,16600.0,True,1.0,20,316.25743084621496,15.812871542310749,0.18884687453046647,20400,1020300,6080,True,True,1.0,0,216.45098039215685,316.25743084621496,0.0,0.0,0.05,True,64,4621,2,6,2
failures,2430665173,36,40,7,20,56,252,0.5555555555555556,0.33,0.2857142857142857,0.3707397961719004,moderate,uniform,homogeneous,random_10_percent,4,True,180.0,82.63190213443943,5.0,0.0,0.0,5.0,5.0,0.6595452979136459,0.6595452979136459,0.521531193865795,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,16,0.5555555555555556,0.4444444444444444,320.7927413092291,16.039637065461456,0.1134173613675889,16.039637065461456,0.18884687453046647,16.808338520378353,26.706981117275593,26.993896553731755,7.054056202696153,0.43978901604237836,0.2504153423827604,0.8379319186238481,0.190875673037919,0.5382814197709026,17.36809786556057,325.15476577561924,11376,252,50,4102900,4991600,0,37300,606600,184900,16281.349206349207,True,1.0,20,320.7927413092291,16.039637065461456,0.18884687453046647,19600,966900,5760,True,True,1.0,0,209.33163265306123,316.25743084621496,0.014340565693204192,0.05555555555555555,0.1,True,68,4529,2,12,4
failures,2157021166,32,40,7,20,52,224,0.625,0.33,0.23076923076923078,0.31887026060856516,moderate,uniform,homogeneous,random_20_percent,8,True,160.0,82.63190213443943,5.0,0.0,0.0,5.0,5.0,0.6595452979136459,0.6595452979136459,0.540568492119723,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,12,0.625,0.375,327.3869152136329,16.369345760681647,0.11574875390965256,16.369345760681647,0.19013075938659144,16.808338520378353,26.888549854881326,30.62527130584639,7.253352316006719,0.4431058163258369,0.2510960423513513,0.835880844274494,0.21655337016041776,0.5300708242164338,17.36809786556057,331.748939680023,10128,224,46,4188300,5092100,31250000,38600,640700,168300,18697.76785714286,True,1.0,20,327.3869152136329,16.369345760681647,0.19013075938659144,21200,910100,5120,True,True,1.0,0,197.56132075471697,316.25743084621496,0.0351912185514143,0.15625,0.2,True,76,4338,2,24,8
failures,2092395911,28,40,7,20,48,196,0.7142857142857143,0.33,0.16666666666666666,0.25768138939458024,moderate,uniform,homogeneous,random_30_percent,12,True,140.0,82.63190213443943,5.0,0.0,0.0,5.0,5.0,0.6595452979136459,0.6595452979136459,0.5191368771834229,True,True,True,1.0,0,True,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0,1,20,8,0.7142857142857143,0.2857142857142857,368.3848481964562,18.419242409822807,0.13024371212304553,18.419242409822807,0.2345557054948483,18.991390961913012,33.1711859842804,34.179707778521646,8.616558143545811,0.46780198402463513,0.2671798127521703,0.8204531108756561,0.24168703149167242,0.48958548288015136,17.36809786556057,372.7468726628463,8880,196,42,3838700,4663400,0,35300,568000,167500,19585.20408163265,True,1.0,20,368.3848481964562,18.419242409822807,0.2345557054948483,17700,866000,4480,True,True,1.0,0,216.87570621468927,316.25743084621496,0.16482590530999722,0.25,0.3,True,84,4147,2,36,12
