method,label,family,worlds,feasibility,gap_median,gap_low,gap_high,runtime_ms_median,bytes_per_agent_median,closure_operations_median,continuous_convergence,kkt_residual_median
capacity_cbba_rb,CBBA-RB,BASELINE,8,0.875,0.6565037802513031,0.1841554114755602,0.9154681745383948,29.46339998743497,11012.0625,0.0,,
weighted_grape,GRAPE,BASELINE,8,1.0,0.18846385725164716,0.0379059747662825,0.4086215913227593,127.58930001291446,21499.875,0.0,,
weighted_pair_grape,Pair-GRAPE,BASELINE,8,1.0,0.1316147274845513,-1.9811909944185795e-16,0.2515456109193103,345.9451499948045,25944.75,0.0,,
geo_qpg_c3,Geo-QPG C3,F-I,8,1.0,0.04178160015928945,4.681884908349791e-16,0.1134811244849609,259.6592499903636,15119.5,0.0,,
geo_qpg_d,Geo-QPG DMIS+TX,F-I,8,1.0,0.0925447226342146,0.02130453386043095,0.1316243852466705,185.95285000628792,5518.875,0.0,,
geo_qpg_p,Geo-QPG 2BR,F-I,8,1.0,0.1089392025019633,-1.9811909944185795e-16,0.3240213025049414,180.15455000568184,3428.25,0.0,,
geo_qpg_u,Geo-QPG BR,F-I,8,0.875,0.7604029510787905,0.5131071249244306,1.1783489091518051,9.63640000554733,688.875,0.0,,
fii_bnn_R,BNN + R,F-II,8,1.0,0.15726525504197897,0.08196658989794568,0.8067495783867696,70.75559998338576,105000.0,3.0,0.0,
fii_logit_R,Logit + R,F-II,8,1.0,0.15732169809071322,0.08196658989794568,0.7899988847828919,83.32189999055117,105000.0,3.5,0.0,
fii_replicator_R,Replicator + R,F-II,8,1.0,0.15726525504197897,0.09972435030676732,0.8067495783867696,66.04539998807013,105000.0,3.5,0.0,
fii_smith_R,Smith + R,F-II,8,1.0,0.15445996271367485,0.09972435030676732,0.7899988847828919,117.65184998512268,105000.0,3.5,0.0,
fiii_central_vgne_R,vGNE central + R,F-III,8,1.0,0.13264277599811394,0.07624768554661468,0.2600217546941745,86.92290000908542,0.0,1.0,0.75,3.34803503736381e-05
fiii_distributed_vgne_R,PD-vGNE distribuido + R,F-III,8,1.0,0.14070372079650972,0.06277140970794368,0.15916095376985773,107.98650002107024,700000.0,1.0,0.0,0.011885086288943972
milp_highs,MILP/HiGHS,ORACLE,8,1.0,0.0,0.0,0.0,22.8014000022085,0.0,0.0,,
