question,metric,left,right,pairs,median_difference,ci_low,ci_high,p_value_uncorrected,p_value_holm
RQ-E,feasible,fiii_distributed_vgne_R,fii_smith_R,4,0.0,0.0,0.0,1.0,1.0
RQ-E,optimality_gap,fiii_distributed_vgne_R,fii_smith_R,4,-0.3351023492279142,-1.1547246720623536,-0.032680271771895614,0.125,0.625
RQ-E,closure_operations,fiii_distributed_vgne_R,fii_smith_R,4,-1.5,-2.0,0.0,0.25,1.0
RQ-G,discounted_cost,perfect_foresight_dp,myopic_cold,2,-0.47671125222756106,-0.5479576823364765,-0.40546482211864565,0.5,1.0
RQ-G,discounted_cost,perfect_foresight_dp,event_triggered_warm,2,-0.47671125222756106,-0.5479576823364765,-0.40546482211864565,0.5,1.0
