corpus,path,suffix,bytes,sha256,duplicate_group_size,canonical_duplicate_path,comparison_status
paper,paper/figs/sim_caging.pdf,.pdf,33791,af3bef847d7c106846f5d34f866b01d1ede2ab4608519edecf73acf92641619d,1,paper/figs/sim_caging.pdf,INCLUDED_TEXT_EXTRACTION
paper,paper/figs/sim_fail14.pdf,.pdf,49028,8dbd3cd28bcc777de60c91398d36e988bbb9c3a0d402fbe2424c12e338acee8f,1,paper/figs/sim_fail14.pdf,INCLUDED_TEXT_EXTRACTION
paper,paper/figs/sim_fail14_timeline.pdf,.pdf,11717,f9aad28c27e4f73cf39bb1edf2eb20502e67afc0752fc59ba88ed19caa2524f9,1,paper/figs/sim_fail14_timeline.pdf,INCLUDED_TEXT_EXTRACTION
paper,paper/figs/sim_gne.pdf,.pdf,118334,9ce3da4bdf6740373d8b8c8ede2589fcb26836c546a2439ee628873865f68c1e,1,paper/figs/sim_gne.pdf,INCLUDED_TEXT_EXTRACTION
paper,paper/figs/sim_hyper.pdf,.pdf,89157,9e22000b8022c4348f8b5e2cc9185046e734f480cf82a74a23115aa7d1e57c3a,1,paper/figs/sim_hyper.pdf,INCLUDED_TEXT_EXTRACTION
paper,paper/figs/sim_lease_s1.pdf,.pdf,91274,3e5536b07d2f0dd6185ba29ad790ad292aa7a9dc3d7176d0a45281a4ed2fbaad,1,paper/figs/sim_lease_s1.pdf,INCLUDED_TEXT_EXTRACTION
paper,paper/figs/sim_none.pdf,.pdf,71602,a7f91f7e8e23c56afb279e902fb24330f000e9507eedc872d16c8f238cb7421a,1,paper/figs/sim_none.pdf,INCLUDED_TEXT_EXTRACTION
paper,paper/figs/sim_plan.pdf,.pdf,95123,e8b597bb3d93dde6eeb406c4dd677fe21deb2af361a32b3e608177732bfd9399,1,paper/figs/sim_plan.pdf,INCLUDED_TEXT_EXTRACTION
paper,paper/figs/sim_price.pdf,.pdf,93121,14dda6fc50a1043a365a027512e0eb3f23e3a75422d6ad9b5e4fa16aa2390695,1,paper/figs/sim_price.pdf,INCLUDED_TEXT_EXTRACTION
paper,paper/figs/sim_ref.pdf,.pdf,93969,6cca673dd70352714ffaac4165affb066f1a00cd728ba26afea7a900222f4d8f,1,paper/figs/sim_ref.pdf,INCLUDED_TEXT_EXTRACTION
paper,paper/figs/sim_ref_timeline.pdf,.pdf,23295,751f8acd5397477f55cee3e487dc9c38c986edca66b79adf386cac69182048dc,1,paper/figs/sim_ref_timeline.pdf,INCLUDED_TEXT_EXTRACTION
paper,paper/figs/sim_replicator.pdf,.pdf,25997,c38300e39abd0f7d941303c2bf790961d66f086152e77b53e1ccf377ab46a8f7,1,paper/figs/sim_replicator.pdf,INCLUDED_TEXT_EXTRACTION
paper,paper/megajuego.pdf,.pdf,2277182,6685760f79cc990c4f493a0bc95d60ed0f3405f776db55546f4bbc797cc66ae5,1,paper/megajuego.pdf,INCLUDED_TEXT_EXTRACTION
paper,paper/megajuego.tex,.tex,76181,d210316a46947b880bc231a5a0ef30d5766e0398007139f415028ccbf05a17ad,1,paper/megajuego.tex,INCLUDED_TEXT_EXTRACTION
paper,paper/sec_alcance.tex,.tex,24097,1430061f68358e7bb21efaa3f8ff91373fdd506b12ef632da302933f34a5d73c,1,paper/sec_alcance.tex,INCLUDED_TEXT_EXTRACTION
paper,paper/sec_auditoria.tex,.tex,17068,4f4eaddd0c5d29df4fd5d1b1711c3d25a7f2a3844915b5b7c10a4cb7298e8753,1,paper/sec_auditoria.tex,INCLUDED_TEXT_EXTRACTION
paper,paper/sec_autoridad.tex,.tex,10059,0d15f5f00a896a351bd7a0c88f6c97701b0be20ee41da4531606d1d21ba14552,1,paper/sec_autoridad.tex,INCLUDED_TEXT_EXTRACTION
paper,paper/sec_cfrd.tex,.tex,20052,fe584d5504689a7f21be53504f674e135f9fbd0e26245e194d381e241d955297,1,paper/sec_cfrd.tex,INCLUDED_TEXT_EXTRACTION
paper,paper/sec_cierre.tex,.tex,8733,2b6e937593430f4063b49c8953ba614a37fdcb358908975e8e1e8436843738cb,1,paper/sec_cierre.tex,INCLUDED_TEXT_EXTRACTION
paper,paper/sec_clusters.tex,.tex,20937,83e0db86953bedccde87c63129f7035a5027bb9c4d403d36d1d223131a9e6309,1,paper/sec_clusters.tex,INCLUDED_TEXT_EXTRACTION
paper,paper/sec_comunicacion.tex,.tex,37708,43cf5bbc44d5ba319ce81ff2e46944a93e6bc5fa4c4547e9ec5dcd26850556b3,1,paper/sec_comunicacion.tex,INCLUDED_TEXT_EXTRACTION
paper,paper/sec_continuacion.tex,.tex,33324,1ba358c3226efd665657f3fd03ecfcec5320c3ed8d4e0a56eaac13ec6bd57f91,1,paper/sec_continuacion.tex,INCLUDED_TEXT_EXTRACTION
paper,paper/sec_degradacion.tex,.tex,5641,0bac0828e6c709e55e1c7a0eb7b08e12ea8778d9d13116223539cb4e89547b47,1,paper/sec_degradacion.tex,INCLUDED_TEXT_EXTRACTION
paper,paper/sec_ensayo_cierre.tex,.tex,6127,a2d2bf9265a371dd917c3dcd93eeeaa974d7ee510de05562901e68fe300c8f96,1,paper/sec_ensayo_cierre.tex,INCLUDED_TEXT_EXTRACTION
paper,paper/sec_ensayo_cierre_figs.tex,.tex,5063,1b6e0f8613312019d9cfc45e768fd70fbee081f03df074e23935f928d395a5b4,1,paper/sec_ensayo_cierre_figs.tex,INCLUDED_TEXT_EXTRACTION
