work_id,title,year,type,metadata_url,comparison_url,comparison_mode,checked_at_utc,source_status,comparison_blocks,error
mayorga-2014-population-traffic,Dinámicas poblacionales distribuidas aplicadas al control de tráfico urbano,2014,undergraduate-thesis,https://redcol.minciencias.gov.co/Record/UNIANDES2_ede6d116115d0685612317329c2b338a,https://repositorio.uniandes.edu.co/server/api/core/bitstreams/f2d97b2c-2dab-4a00-be25-798636ee21c6/content,full_text_pdf,2026-09-09T02:42:29+00:00,FULL_TEXT_PDF:56 pages,188,
mayorga-2015-hiles-fpga,Development of real-time control emulator in FPGA using HiLeS methodology,2015,conference-paper,https://doi.org/10.1109/IECON.2015.7392735,https://api.crossref.org/works/10.1109/IECON.2015.7392735,crossref_metadata_abstract,2026-09-09T02:42:30+00:00,METADATA_TITLE_ONLY,1,
