checkpoint_id,requested_checkpoint_sha256,effective_checkpoint_sha256,model_state_fingerprint,train_seed,training_steps,worlds,unique_logit_hashes,unique_raw_assignments,raw_success,repair_success,mean_raw_normalized_regret,mean_repair_normalized_regret,mean_repair_delta
random_actor_seed15001,a8cdb81c72681f58bc10aa9cfa6d55553a6e7e53ee6edd6c5993dd9074503af3,a8cdb81c72681f58bc10aa9cfa6d55553a6e7e53ee6edd6c5993dd9074503af3,a8cdb81c72681f58bc10aa9cfa6d55553a6e7e53ee6edd6c5993dd9074503af3,15001,0,6,6,3,0.0,1.0,0.9287241179525109,0.0005798342051526057,-0.9281442837473582
uniform_logits_control,55885fc40c4644c9923c019f4fc3d78bf77d3a1f9a9cc3c050a76e93f909c9eb,55885fc40c4644c9923c019f4fc3d78bf77d3a1f9a9cc3c050a76e93f909c9eb,55885fc40c4644c9923c019f4fc3d78bf77d3a1f9a9cc3c050a76e93f909c9eb,0,0,6,6,3,0.0,1.0,0.9287241179525109,0.0005798342051526057,-0.9281442837473582
seed15001_step050176,35489f20eb5c4f38ba1c4514d4eec4719f4a13195cd8cff826aec78bf21a32e1,35489f20eb5c4f38ba1c4514d4eec4719f4a13195cd8cff826aec78bf21a32e1,4673ad2c468a7925f930b50ce01036f5bb76cef6bece3d2e1ecec361e11e65a2,15001,50176,6,6,3,0.0,1.0,0.9287241179525109,0.0005798342051526057,-0.9281442837473582
seed15001_step100352,ee97fbc3737762a9c0748ad10b7e19abb8b46d210655d3f6b84748fbc4233551,ee97fbc3737762a9c0748ad10b7e19abb8b46d210655d3f6b84748fbc4233551,43e5534cde3423690b36737056e05242ee4da2f3d36183605a74a574029a0fc8,15001,100352,6,6,3,0.0,1.0,0.9287241179525109,0.0005798342051526057,-0.9281442837473582
seed15001_step150016,1068fcdc5a36cf10ef1d2da2ba28da137cf7fd9a2bebc0ed31cdaf4cd0638f1e,1068fcdc5a36cf10ef1d2da2ba28da137cf7fd9a2bebc0ed31cdaf4cd0638f1e,29ce32b14d31535c65872715d78f8431224b956ccf376c1e2066865009c906f8,15001,150016,6,6,3,0.0,1.0,0.9287241179525109,0.0005798342051526057,-0.9281442837473582
seed15001_step200000,5171f17389267302118f230c5b5e7fe3f7f760d5277e872b631d4fa99b4ad7c2,5171f17389267302118f230c5b5e7fe3f7f760d5277e872b631d4fa99b4ad7c2,661b21b69b9be9592b123b38333e9492184412ebaf1db5da76a58dee33b871fd,15001,200000,6,6,3,0.0,1.0,0.9287241179525109,0.0005798342051526057,-0.9281442837473582
final_seed15001,de6de33136dc5b71017deb71485f73ba1336e43c5e50b4a8a3e28dc18fb3e4ac,de6de33136dc5b71017deb71485f73ba1336e43c5e50b4a8a3e28dc18fb3e4ac,661b21b69b9be9592b123b38333e9492184412ebaf1db5da76a58dee33b871fd,15001,200000,6,6,3,0.0,1.0,0.9287241179525109,0.0005798342051526057,-0.9281442837473582
final_seed15002,58655bb1adf2660fce2df4520a516f1c1326a417a0fe9efb7dbf9f833a4a7776,58655bb1adf2660fce2df4520a516f1c1326a417a0fe9efb7dbf9f833a4a7776,7d0c47412132f0b35df795bbaa51873af34337492e4e1c59d613fc5ec0b724af,15002,200000,6,6,3,0.0,1.0,0.9287241179525109,0.0005798342051526057,-0.9281442837473582
final_seed15003,ac07f856d8fe7aee84d8f97aabcd6eb2539b70dfa7a8c6f3df569eec44f6ff8f,ac07f856d8fe7aee84d8f97aabcd6eb2539b70dfa7a8c6f3df569eec44f6ff8f,d90c1ff3e5812fa6a67b1c61cb506699df9d48da019bfc9cca7b201982c176fc,15003,200000,6,6,3,0.0,1.0,0.9287241179525109,0.0005798342051526057,-0.9281442837473582
final_seed15001_perturbed,b9948fa1b5bbc086dfadfed0588b8adf57905d69c5037614b68b16f7e6c7f07c,b9948fa1b5bbc086dfadfed0588b8adf57905d69c5037614b68b16f7e6c7f07c,b9948fa1b5bbc086dfadfed0588b8adf57905d69c5037614b68b16f7e6c7f07c,15001,200000,6,6,3,0.0,1.0,0.9287241179525109,0.0005798342051526057,-0.9281442837473582
