left_checkpoint_id,right_checkpoint_id,mean_raw_hamming_fraction,proportion_worlds_with_different_raw_assignment,max_absolute_logit_difference,mean_jensen_shannon_divergence
random_actor_seed15001,uniform_logits_control,0.0,0.0,0.1959647685289383,9.855510232135998e-05
random_actor_seed15001,seed15001_step050176,0.0,0.0,1.8396620526909828,0.028204022195413115
random_actor_seed15001,seed15001_step100352,0.0,0.0,1.0877947583794594,0.02594162664428247
random_actor_seed15001,seed15001_step150016,0.0,0.0,1.5039256513118744,0.048069754084858585
random_actor_seed15001,seed15001_step200000,0.0,0.0,1.910006195306778,0.05466519188190497
random_actor_seed15001,final_seed15001,0.0,0.0,1.910006195306778,0.05466519188190497
random_actor_seed15001,final_seed15002,0.0,0.0,3.150092478841543,0.043400423142375695
random_actor_seed15001,final_seed15003,0.0,0.0,1.912615105509758,0.03797318001004723
random_actor_seed15001,final_seed15001_perturbed,0.0,0.0,1.9629184305667877,0.0580663034901678
uniform_logits_control,seed15001_step050176,0.0,0.0,1.9268642663955688,0.030211377756087784
uniform_logits_control,seed15001_step100352,0.0,0.0,1.1622480154037476,0.028044975283037846
uniform_logits_control,seed15001_step150016,0.0,0.0,1.4856754541397095,0.05065323551194406
uniform_logits_control,seed15001_step200000,0.0,0.0,1.8938053846359253,0.05722406970614375
uniform_logits_control,final_seed15001,0.0,0.0,1.8938053846359253,0.05722406970614375
uniform_logits_control,final_seed15002,0.0,0.0,3.141777992248535,0.04569959480200272
uniform_logits_control,final_seed15003,0.0,0.0,1.853579044342041,0.0401793374747568
uniform_logits_control,final_seed15001_perturbed,0.0,0.0,1.9460841417312622,0.06068894570893781
seed15001_step050176,seed15001_step100352,0.0,0.0,0.8346567153930664,0.0020971533629542296
seed15001_step050176,seed15001_step150016,0.0,0.0,1.1828065812587738,0.005384990067682033
seed15001_step050176,seed15001_step200000,0.0,0.0,1.5970170721411705,0.008732024589615936
seed15001_step050176,final_seed15001,0.0,0.0,1.5970170721411705,0.008732024589615936
seed15001_step050176,final_seed15002,0.0,0.0,3.2682384252548218,0.007951451208910002
seed15001_step050176,final_seed15003,0.0,0.0,1.4249743521213531,0.012527958477242413
seed15001_step050176,final_seed15001_perturbed,0.0,0.0,1.6388351023197174,0.00999818904758062
seed15001_step100352,seed15001_step150016,0.0,0.0,0.8192501664161682,0.004054710273471023
seed15001_step100352,seed15001_step200000,0.0,0.0,1.2592446208000183,0.0077532011852668205
seed15001_step100352,final_seed15001,0.0,0.0,1.2592446208000183,0.0077532011852668205
seed15001_step100352,final_seed15002,0.0,0.0,2.8196646571159363,0.0067187570939547135
seed15001_step100352,final_seed15003,0.0,0.0,1.2390042543411255,0.00865480620435839
seed15001_step100352,final_seed15001_perturbed,0.0,0.0,1.2958077788352966,0.009021773747648957
seed15001_step150016,seed15001_step200000,0.0,0.0,0.5799837037920952,0.0011431602938297757
seed15001_step150016,final_seed15001,0.0,0.0,0.5799837037920952,0.0011431602938297757
seed15001_step150016,final_seed15002,0.0,0.0,2.245613843202591,0.0040249299071702304
seed15001_step150016,final_seed15003,0.0,0.0,2.057775855064392,0.008720416092113705
seed15001_step150016,final_seed15001_perturbed,0.0,0.0,0.6165468618273735,0.0014678082056180858
seed15001_step200000,final_seed15001,0.0,0.0,0.0,0.0
seed15001_step200000,final_seed15002,0.0,0.0,1.8997188806533813,0.0029637516077080303
seed15001_step200000,final_seed15003,0.0,0.0,2.4225265979766846,0.007575423946211247
seed15001_step200000,final_seed15001_perturbed,0.0,0.0,0.06727194786071777,5.874123191864175e-05
final_seed15001,final_seed15002,0.0,0.0,1.8997188806533813,0.0029637516077080303
final_seed15001,final_seed15003,0.0,0.0,2.4225265979766846,0.007575423946211247
final_seed15001,final_seed15001_perturbed,0.0,0.0,0.06727194786071777,5.874123191864175e-05
final_seed15002,final_seed15003,0.0,0.0,3.7154701948165894,0.002808403392327911
final_seed15002,final_seed15001_perturbed,0.0,0.0,1.9160303473472595,0.0034911606765475455
final_seed15003,final_seed15001_perturbed,0.0,0.0,2.4895905256271362,0.008369011875881722
