block_id,method_variant,total_evaluations,unique_worlds,oracle_evaluable_evaluations,oracle_infeasible_world,success_all_evaluations,success_rate_all_evaluations,method_timeout,implementation_error,method_failure,unknown_failure
B0,BNN,38,38,0,0,38,1.0,38,0,0,0
B0,GPC,37,37,0,0,37,1.0,37,0,0,0
B0,HYB,37,37,0,0,37,1.0,37,0,0,0
B0,IBR,37,37,0,0,37,1.0,35,0,0,0
B0,LOG,38,38,0,0,38,1.0,32,0,0,0
B0,PROJ,37,37,0,0,37,1.0,37,0,0,0
B0,REP,38,38,0,0,38,1.0,38,0,0,0
B0,SMI,38,38,0,0,38,1.0,38,0,0,0
B2,BNN,300,30,300,0,150,0.5,300,0,0,0
B2,GPC,300,30,300,0,150,0.5,300,0,0,0
B2,HYB,300,30,300,0,150,0.5,300,0,0,0
B2,IBR,300,30,300,0,150,0.5,280,0,0,0
B2,LOG,300,30,300,0,150,0.5,0,0,0,0
B2,PROJ,300,30,300,0,150,0.5,300,0,0,0
B2,REP,300,30,300,0,150,0.5,300,0,0,0
B2,SMI,300,30,300,0,150,0.5,300,0,0,0
B3,BNN,192,30,192,0,192,1.0,192,0,0,0
B3,GPC,192,30,192,0,192,1.0,192,0,0,0
B3,HYB,192,30,192,0,192,1.0,192,0,0,0
B3,IBR,192,30,192,0,192,1.0,188,0,0,0
B3,LOG,192,30,192,0,192,1.0,118,0,0,0
B3,PROJ,192,30,192,0,192,1.0,192,0,0,0
B3,REP,192,30,192,0,192,1.0,192,0,0,0
B3,SMI,192,30,192,0,192,1.0,192,0,0,0
B4,BNN,480,480,480,0,480,1.0,480,0,0,0
B4,EPS-AUCTION,480,480,480,0,480,1.0,0,0,0,0
B4,GRD,480,480,480,0,480,1.0,0,0,0,0
B4,HUN,480,480,480,0,480,1.0,0,0,0,0
B4,HYB,480,480,480,0,480,1.0,480,0,0,0
B4,LOG,480,480,480,0,480,1.0,0,0,0,0
B4,MAPPO-GNN,1440,480,1440,0,1440,1.0,0,0,0,0
B4,PROJ,480,480,480,0,480,1.0,480,0,0,0
B4,REP,480,480,480,0,480,1.0,480,0,0,0
B4,SMI,480,480,480,0,480,1.0,480,0,0,0
B5,EPS-AUCTION,400,400,400,0,221,0.5525,0,0,179,0
B5,GRD,400,400,400,0,219,0.5475,0,0,181,0
B5,HYB,400,400,400,0,400,1.0,400,0,0,0
B5,LOG,400,400,400,0,400,1.0,320,0,0,0
B5,MAPPO-GNN,1200,400,1200,0,1200,1.0,0,0,0,0
B5,PROJ,400,400,400,0,400,1.0,400,0,0,0
B5,REP,400,400,400,0,400,1.0,400,0,0,0
B5,SMI,400,400,400,0,400,1.0,400,0,0,0
B6,BNN,80,80,80,0,80,1.0,80,0,0,0
B6,EPS-AUCTION,80,80,80,0,80,1.0,0,0,0,0
B6,GRD,80,80,80,0,80,1.0,0,0,0,0
B6,HUN,80,80,80,0,80,1.0,0,0,0,0
B6,HYB,80,80,80,0,80,1.0,80,0,0,0
B6,LOG,80,80,80,0,80,1.0,0,0,0,0
B6,MAPPO-GNN,240,80,240,0,240,1.0,0,0,0,0
B6,PROJ,80,80,80,0,80,1.0,80,0,0,0
B6,REP,80,80,80,0,80,1.0,80,0,0,0
B6,SMI,80,80,80,0,80,1.0,80,0,0,0
B7,HYB,80,80,80,0,80,1.0,80,0,0,0
B7,MAPPO-GNN,240,80,240,0,240,1.0,0,0,0,0
B7,PROJ,80,80,80,0,80,1.0,80,0,0,0
B7,SMI,80,80,80,0,80,1.0,80,0,0,0
