sp_id,experiment_id,block,block_id,method_family,method_variant,method,architecture,dynamic_id,fitness_id,rounding_id,world_seed,method_seed,train_seed,N,K,load_ratio,geometry_id,R,mean_degree,min_degree,lambda2,num_components,diameter,success,matching_valid,coverage,social_cost,social_regret,normalized_regret,cost_gap,makespan_proxy,convergence_time,timeout,messages,bytes,runtime_cpu,runtime_wall,oracle_solve_time,oracle_lookup_time,method_online_time,memory_peak,epsilon_ne_1,epsilon_ne_2,fractionality,switches,potential_violations,occupancy_error,training_steps,training_converged,config_hash,world_hash,git_hash,timestamp_utc,assigned_count,observed_poa_ratio,oracle_j,oracle_social_cost,p95_individual_cost,price_of_integrality
SP0-v1.0,SP0_PROTOCOL_v1_smoke,smoke_nominal,smoke_nominal,population,HYB,HYB,distributed_global,HYB,ASYM,QR2,9000,,,8,8,1.0,G-UNI,6.791152466024171,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.584333169770187,-2.220446049250313e-16,0.0,-2.220446049250313e-16,0.5064351645327043,6.0,True,3376,108032,15.898099984042346,15.898099984042346,0.0,0.0,15.898099984042346,0.00152587890625,0.0,0.0,0.7033158452876972,7,15,0.0,,,1b527d02fba86f6a,9ea4c8d36d6c7095,72418e13f1be,2026-07-11T01:29:30.786775+00:00,8,1.0,1.5843331697701872,1.5843331697701872,0.4241989682970836,0.13686522694347716
SP0-v1.0,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,classic,HUN,HUN,centralized,,,EXACT,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.7641884181877354,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.5694167018526369,0.0,False,64,2048,0.008199946023523808,0.008199946023523808,0.008199946023523808,0.000400003045797348,0.008199946023523808,0.0009765625,0.0,0.0,0.0,0,0,0.0,,,1b527d02fba86f6a,bc68ab19b4473d0f,72418e13f1be,2026-07-11T01:29:30.786775+00:00,8,0.9999999999999999,1.7641884181877359,1.7641884181877359,0.45647718264124426,0.9999999999999999
SP0-v1.0,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,classic,GRD,GRD,distributed_global,,,POLICY,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.8647795445844344,0.10059112639669854,0.0012573890799587317,0.10059112639669854,0.5694167018526369,0.0,False,8,256,0.0662999227643013,0.0662999227643013,0.0,0.0,0.0662999227643013,0.0009765625,0.0,0.06819606649797993,0.0,0,0,0.0,,,1b527d02fba86f6a,bc68ab19b4473d0f,72418e13f1be,2026-07-11T01:29:30.786775+00:00,8,1.036390835637264,1.7641884181877359,1.7641884181877359,0.47163441269917017,1.036390835637264
SP0-v1.0,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,classic,DA,DA,distributed_global,,,POLICY,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.939977150189368,0.17578873200163203,0.0021973591500204005,0.17578873200163203,0.6117627489660046,0.0,False,64,2048,0.12939993757754564,0.12939993757754564,0.0,0.0,0.12939993757754564,0.0009765625,0.0,0.08290931086383857,0.0,0,0,0.0,,,1b527d02fba86f6a,bc68ab19b4473d0f,72418e13f1be,2026-07-11T01:29:30.786775+00:00,8,1.063595061336985,1.7641884181877359,1.7641884181877359,0.5514069652833244,1.063595061336985
SP0-v1.0,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,population,REP,REP,distributed_global,REP,LIN,QR1,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.7965834780864545,0.0323950598987186,0.00040493824873398255,0.0323950598987186,0.5694167018526369,6.0,True,3368,107776,10.720300022512674,10.720300022512674,0.0,0.0,10.720300022512674,0.00152587890625,0.0,0.029117254064565445,0.8152484389331869,2,0,0.0,,,1b527d02fba86f6a,bc68ab19b4473d0f,72418e13f1be,2026-07-11T01:29:30.786775+00:00,8,1.0117195556155167,1.7641884181877359,1.7641884181877359,0.46768857255300433,0.17245320302908088
SP0-v1.0,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,population,SMI,SMI,distributed_global,SMI,ASYM,QR1,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.7965834780864545,0.0323950598987186,0.00040493824873398255,0.0323950598987186,0.5694167018526369,6.0,True,3368,107776,11.57570001669228,11.57570001669228,0.0,0.0,11.57570001669228,0.00152587890625,0.0,0.029117254064565445,0.6483000749566242,6,22,0.0,,,1b527d02fba86f6a,bc68ab19b4473d0f,72418e13f1be,2026-07-11T01:29:30.786775+00:00,8,1.0117195556155167,1.7641884181877359,1.7641884181877359,0.46768857255300433,0.1339078629393626
SP0-v1.0,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,population,BNN,BNN,distributed_global,BNN,MC,QR1,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.939977150189368,0.17578873200163203,0.0021973591500204005,0.17578873200163203,0.6117627489660046,6.0,True,3368,107776,13.997599948197603,13.997599948197603,0.0,0.0,13.997599948197603,0.00152587890625,0.0,0.08290931086383857,0.5816550655135704,0,60,0.0,,,1b527d02fba86f6a,bc68ab19b4473d0f,72418e13f1be,2026-07-11T01:29:30.786775+00:00,8,1.063595061336985,1.7641884181877359,1.7641884181877359,0.5514069652833244,0.090749292761171
SP0-v1.0,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,population,LOG,LOG,distributed_global,LOG,SIG,REPAIR,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.767466224021889,0.003277805834153158,4.0972572926914475e-05,0.003277805834153158,0.5694167018526369,6.0,True,3368,107776,14.544999925419688,14.544999925419688,0.0,0.0,14.544999925419688,0.00152587890625,0.0,0.003277805834153602,0.7817178707638318,10,0,0.0,,,1b527d02fba86f6a,bc68ab19b4473d0f,72418e13f1be,2026-07-11T01:29:30.786775+00:00,8,1.0011858112900647,1.7641884181877359,1.7641884181877359,0.45647718264124426,0.22571359597761567
SP0-v1.0,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,population,PROJ,PROJ,distributed_global,PROJ,QUAD,QR1,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.7965834780864545,0.0323950598987186,0.00040493824873398255,0.0323950598987186,0.5694167018526369,6.0,True,3368,107776,14.882399933412671,14.882399933412671,0.0,0.0,14.882399933412671,0.00152587890625,0.0,0.029117254064565445,0.597574176045955,6,0,0.0,,,1b527d02fba86f6a,bc68ab19b4473d0f,72418e13f1be,2026-07-11T01:29:30.786775+00:00,8,1.0117195556155167,1.7641884181877359,1.7641884181877359,0.46768857255300433,0.12971408696053535
SP0-v1.0,SP0_PROTOCOL_v1_smoke,smoke_cross,smoke_cross,population,IBR,IBR,distributed_global,IBR,LIN,QR1,9000,,,8,8,1.0,G-X,6.671094820722279,7.0,7,7.999999999999991,1,1.0,True,True,1.0,1.767466224021889,0.003277805834153158,4.0972572926914475e-05,0.003277805834153158,0.5694167018526369,6.0,True,3368,107776,9.466400020755827,9.466400020755827,0.0,0.0,9.466400020755827,0.00152587890625,0.0,0.003277805834153602,0.641880413835094,388,26,0.0,,,1b527d02fba86f6a,bc68ab19b4473d0f,72418e13f1be,2026-07-11T01:29:30.786775+00:00,8,1.0011858112900647,1.7641884181877359,1.7641884181877359,0.45647718264124426,0.33836862351823493
