method,dynamic_id,fitness_id,rounding_id,matching_valid,world_hash,finite_metrics,matching_required,nonnegative_ok,passed,simplex_ok
HUN,,,EXACT,True,9ea4c8d36d6c7095,True,True,True,True,True
GRD,,,POLICY,True,9ea4c8d36d6c7095,True,True,True,True,True
DA,,,POLICY,True,9ea4c8d36d6c7095,True,True,True,True,True
REP,REP,LIN,QR1,True,9ea4c8d36d6c7095,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,9ea4c8d36d6c7095,True,True,True,True,True
BNN,BNN,MC,QR1,True,9ea4c8d36d6c7095,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,9ea4c8d36d6c7095,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,9ea4c8d36d6c7095,True,True,True,True,True
IBR,IBR,LIN,QR1,True,9ea4c8d36d6c7095,True,True,True,True,True
GPC,GPC,LIN,QR1,True,9ea4c8d36d6c7095,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,9ea4c8d36d6c7095,True,True,True,True,True
HUN,,,EXACT,True,bc68ab19b4473d0f,True,True,True,True,True
GRD,,,POLICY,True,bc68ab19b4473d0f,True,True,True,True,True
DA,,,POLICY,True,bc68ab19b4473d0f,True,True,True,True,True
REP,REP,LIN,QR1,True,bc68ab19b4473d0f,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,bc68ab19b4473d0f,True,True,True,True,True
BNN,BNN,MC,QR1,True,bc68ab19b4473d0f,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,bc68ab19b4473d0f,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,bc68ab19b4473d0f,True,True,True,True,True
IBR,IBR,LIN,QR1,True,bc68ab19b4473d0f,True,True,True,True,True
GPC,GPC,LIN,QR1,True,bc68ab19b4473d0f,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,bc68ab19b4473d0f,True,True,True,True,True
HUN,,,EXACT,True,6e79a2cb6db07542,True,True,True,True,True
GRD,,,POLICY,True,6e79a2cb6db07542,True,True,True,True,True
DA,,,POLICY,True,6e79a2cb6db07542,True,True,True,True,True
REP,REP,LIN,QR1,True,6e79a2cb6db07542,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,6e79a2cb6db07542,True,True,True,True,True
BNN,BNN,MC,QR1,True,6e79a2cb6db07542,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,6e79a2cb6db07542,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,6e79a2cb6db07542,True,True,True,True,True
IBR,IBR,LIN,QR1,True,6e79a2cb6db07542,True,True,True,True,True
GPC,GPC,LIN,QR1,True,6e79a2cb6db07542,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,6e79a2cb6db07542,True,True,True,True,True
HUN,,,EXACT,True,a2078b96a7b5f548,True,True,True,True,True
GRD,,,POLICY,True,a2078b96a7b5f548,True,True,True,True,True
DA,,,POLICY,True,a2078b96a7b5f548,True,True,True,True,True
REP,REP,LIN,QR1,True,a2078b96a7b5f548,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,a2078b96a7b5f548,True,True,True,True,True
BNN,BNN,MC,QR1,True,a2078b96a7b5f548,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,a2078b96a7b5f548,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,a2078b96a7b5f548,True,True,True,True,True
IBR,IBR,LIN,QR1,True,a2078b96a7b5f548,True,True,True,True,True
GPC,GPC,LIN,QR1,True,a2078b96a7b5f548,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,a2078b96a7b5f548,True,True,True,True,True
HUN,,,EXACT,True,3639482895595ae7,True,True,True,True,True
GRD,,,POLICY,True,3639482895595ae7,True,True,True,True,True
DA,,,POLICY,True,3639482895595ae7,True,True,True,True,True
REP,REP,LIN,QR1,True,3639482895595ae7,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,3639482895595ae7,True,True,True,True,True
BNN,BNN,MC,QR1,True,3639482895595ae7,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,3639482895595ae7,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,3639482895595ae7,True,True,True,True,True
IBR,IBR,LIN,QR1,True,3639482895595ae7,True,True,True,True,True
GPC,GPC,LIN,QR1,True,3639482895595ae7,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,3639482895595ae7,True,True,True,True,True
HUN,,,EXACT,True,698137428737a560,True,True,True,True,True
GRD,,,POLICY,True,698137428737a560,True,True,True,True,True
DA,,,POLICY,True,698137428737a560,True,True,True,True,True
REP,REP,LIN,QR1,True,698137428737a560,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,698137428737a560,True,True,True,True,True
BNN,BNN,MC,QR1,True,698137428737a560,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,698137428737a560,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,698137428737a560,True,True,True,True,True
IBR,IBR,LIN,QR1,True,698137428737a560,True,True,True,True,True
GPC,GPC,LIN,QR1,True,698137428737a560,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,698137428737a560,True,True,True,True,True
HUN,,,EXACT,True,ed804bd7d9822a7a,True,True,True,True,True
GRD,,,POLICY,True,ed804bd7d9822a7a,True,True,True,True,True
DA,,,POLICY,True,ed804bd7d9822a7a,True,True,True,True,True
REP,REP,LIN,QR1,True,ed804bd7d9822a7a,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,ed804bd7d9822a7a,True,True,True,True,True
BNN,BNN,MC,QR1,True,ed804bd7d9822a7a,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,ed804bd7d9822a7a,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,ed804bd7d9822a7a,True,True,True,True,True
IBR,IBR,LIN,QR1,True,ed804bd7d9822a7a,True,True,True,True,True
GPC,GPC,LIN,QR1,True,ed804bd7d9822a7a,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,ed804bd7d9822a7a,True,True,True,True,True
HUN,,,EXACT,True,cd8040770f38dda1,True,True,True,True,True
GRD,,,POLICY,True,cd8040770f38dda1,True,True,True,True,True
DA,,,POLICY,True,cd8040770f38dda1,True,True,True,True,True
REP,REP,LIN,QR1,True,cd8040770f38dda1,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,cd8040770f38dda1,True,True,True,True,True
BNN,BNN,MC,QR1,True,cd8040770f38dda1,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,cd8040770f38dda1,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,cd8040770f38dda1,True,True,True,True,True
IBR,IBR,LIN,QR1,True,cd8040770f38dda1,True,True,True,True,True
GPC,GPC,LIN,QR1,True,cd8040770f38dda1,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,cd8040770f38dda1,True,True,True,True,True
