alpha,alternative,ci95_high,ci95_low,class,effect,effect_name,effect_size,effect_size_name,id,methods,metric,n_pairs,p_value,p_value_holm,p_value_raw,rank_biserial,reject,reject_holm,reject_raw
0.05,greater,0.005401696587989151,0.0015260273809560934,PairedSignedRank,0.00295371034097542,GRD-HUN normalized_regret,0.8981581370214249,cohens_dz,H0-SP0-debug-GRD-vs-HUN-regret,GRD vs HUN,normalized_regret,8,0.00390625,0.0078125,0.00390625,1.0,True,True,True
0.05,less,0.0003221289378128979,-0.003989301839297751,PairedSignedRank,-0.0012207752122447722,DA-GRD normalized_regret,-0.3212291356184992,cohens_dz,H0-SP0-debug-DA-vs-GRD-regret,DA vs GRD,normalized_regret,8,0.7109375,0.7109375,0.7109375,0.14285714285714285,False,False,False
