seed,policy,robots,completed,reward_capture_ratio,mean_delivery_time,max_rho_tau,mean_rho_tau,jam_steps,deadlocks,route_split_ratio,wasted_distance,runtime_per_robot_ms
5026,greedy,64,64,1.0,67.37109375,20.22402991434156,9.800940373883265,275,20,0.0,84.00612972371448,0.000870315489009954
5026,smith_qr_base,64,64,1.0,67.37109375,20.22402991434156,9.800940373883265,275,20,0.0,84.00612972371448,0.07021719102340285
5026,smith_qr_reactive,64,64,1.0,44.01171875,5.755523177947989,2.1325941474444905,163,0,0.75,239.20342402382894,0.07065000863804016
5026,smith_qr_predictive,64,64,1.0,38.66796875,2.906411453026014,0.8308530477847571,121,0,0.765625,231.21080837676124,0.07118436587916221
5027,greedy,64,64,1.0,67.35546875,20.408480374611614,9.801962728169931,275,19,0.0,83.32014671256977,0.0007593753252876922
5027,smith_qr_base,64,64,1.0,67.35546875,20.408480374611614,9.801962728169931,275,19,0.0,83.32014671256977,0.06140781260910444
5027,smith_qr_reactive,64,64,1.0,44.53125,6.022335189648484,2.2975215450202335,168,0,0.734375,236.18656951997514,0.07823907071724534
5027,smith_qr_predictive,64,64,1.0,37.9453125,2.357337181455834,0.6325553248194639,101,0,0.765625,230.14586250503862,0.0944500025070738
5028,greedy,64,64,1.0,67.45703125,20.033279614890365,9.81909086684339,277,16,0.0,83.58011050861617,0.001068750862032175
5028,smith_qr_base,64,64,1.0,67.45703125,20.033279614890365,9.81909086684339,277,16,0.0,83.58011050861617,0.062125016484060325
5028,smith_qr_reactive,64,64,1.0,43.953125,5.66663535673923,2.1184350718614984,164,0,0.75,239.19193266120536,0.10815156201715581
5028,smith_qr_predictive,64,64,1.0,38.671875,3.0834942310224944,0.7722797553894968,118,0,0.78125,235.39390223732914,0.10949844363494776
5029,greedy,64,64,1.0,67.46875,20.225227960626267,9.821427082725604,274,14,0.0,86.49708967182546,0.0009578106983099133
5029,smith_qr_base,64,64,1.0,67.46875,20.225227960626267,9.821427082725604,274,14,0.0,86.49708967182546,0.0611406267125858
5029,smith_qr_reactive,64,64,1.0,44.0,5.737303888740279,2.1240838530092,163,0,0.75,239.63289781267736,0.11119218652311247
5029,smith_qr_predictive,64,64,1.0,38.80859375,3.003652939979254,0.8881710471414709,128,0,0.765625,231.64270062646898,0.07851875852793455
5030,greedy,64,64,1.0,67.27734375,20.52737499855936,9.787347768537527,275,20,0.0,82.48262967203053,0.0009609375410946086
5030,smith_qr_base,64,64,1.0,67.27734375,20.52737499855936,9.787347768537527,275,20,0.0,82.48262967203053,0.057317191021866165
5030,smith_qr_reactive,64,64,1.0,43.91796875,5.78607926069338,2.1101017447992994,161,0,0.75,238.53678621617607,0.12018908273603301
5030,smith_qr_predictive,64,64,1.0,38.78125,3.0765822955518822,0.8053772433272065,118,0,0.78125,235.20184455911033,0.06914375262567773
5031,greedy,64,64,1.0,67.1328125,20.355766964536883,9.766529868339118,275,18,0.0,82.06227543850093,0.0006546815711772069
5031,smith_qr_base,64,64,1.0,67.1328125,20.355766964536883,9.766529868339118,275,18,0.0,82.06227543850093,0.11587968401727267
5031,smith_qr_reactive,64,64,1.0,43.921875,5.821847547075377,2.1069595307996916,163,0,0.75,238.97477025456988,0.06625157402595505
5031,smith_qr_predictive,64,64,1.0,38.4140625,2.6304004573734585,0.6526801002887028,106,0,0.796875,239.3049241599648,0.08527187856088858
5032,greedy,64,64,1.0,67.20703125,20.126915345837006,9.775323750604027,274,13,0.0,83.27827030002334,0.0008499955583829433
5032,smith_qr_base,64,64,1.0,67.20703125,20.126915345837006,9.775323750604027,274,13,0.0,83.27827030002334,0.0891593790584011
5032,smith_qr_reactive,64,64,1.0,43.90234375,5.7593105460694884,2.110583709248238,162,0,0.75,239.32143269460977,0.07538437785115093
5032,smith_qr_predictive,64,64,1.0,38.51953125,3.34518211452334,0.7705380653254168,113,0,0.765625,230.8988382489495,0.12465780855563935
5033,greedy,64,64,1.0,67.390625,20.048348201335383,9.816310572141893,276,14,0.0,83.00354480255803,0.0010390613169874996
5033,smith_qr_base,64,64,1.0,67.390625,20.048348201335383,9.816310572141893,276,14,0.0,83.00354480255803,0.0715515579940984
5033,smith_qr_reactive,64,64,1.0,44.484375,6.026120154518648,2.2925517524519865,169,0,0.734375,235.6335001023183,0.06742499863321427
5033,smith_qr_predictive,64,64,1.0,38.921875,3.3702529907842926,0.9282022656216049,129,0,0.75,226.74240458408383,0.11245937457715627
5034,greedy,64,64,1.0,67.53515625,20.23909483793456,9.839458142254305,276,15,0.0,85.66496700788231,0.0008828119462123141
5034,smith_qr_base,64,64,1.0,67.53515625,20.23909483793456,9.839458142254305,276,15,0.0,85.66496700788231,0.08274374340544455
5034,smith_qr_reactive,64,64,1.0,44.5390625,6.125968205704334,2.3029811611340736,168,0,0.734375,236.22614692462886,0.07490157076972537
5034,smith_qr_predictive,64,64,1.0,38.7890625,3.0004428720443177,0.875868620436684,125,0,0.765625,230.94790792781487,0.07205781366792507
5035,greedy,64,64,1.0,67.36328125,20.224338697284637,9.809615779350604,275,15,0.0,83.70036926062448,0.000854686732054688
5035,smith_qr_base,64,64,1.0,67.36328125,20.224338697284637,9.809615779350604,275,15,0.0,83.70036926062448,0.059253132349113
5035,smith_qr_reactive,64,64,1.0,44.578125,6.211380847832365,2.306726491270859,169,0,0.734375,236.4963858459501,0.07434219696733635
5035,smith_qr_predictive,64,64,1.0,38.37109375,2.6963889517944204,0.6483406713116551,105,0,0.796875,240.07556590985322,0.10077186925627757
5036,greedy,64,64,1.0,67.578125,19.967171550738424,9.842974831797664,278,11,0.0,85.78748045756618,0.0006375012162607163
5036,smith_qr_base,64,64,1.0,67.578125,19.967171550738424,9.842974831797664,278,11,0.0,85.78748045756618,0.061196878959890455
5036,smith_qr_reactive,64,64,1.0,43.90625,5.628264978038492,2.11092149661742,163,0,0.75,238.91110021928625,0.06624999150517397
5036,smith_qr_predictive,64,64,1.0,38.52734375,3.394196241870819,0.7605751636228811,112,0,0.765625,230.90486042320452,0.06776250302209519
5037,greedy,64,64,1.0,67.390625,20.268071163309965,9.80640239695225,277,22,0.0,84.8046746646495,0.0012578111636685207
5037,smith_qr_base,64,64,1.0,67.390625,20.268071163309965,9.80640239695225,277,22,0.0,84.8046746646495,0.07708124212513212
5037,smith_qr_reactive,64,64,1.0,43.90234375,5.806530760489141,2.1101000401157735,162,0,0.75,238.7331732159826,0.0809124976512976
5037,smith_qr_predictive,64,64,1.0,38.4453125,3.0621676418242254,0.6990942059601559,106,0,0.78125,234.88122475245856,0.0875890673341928
5038,greedy,64,64,1.0,67.2109375,20.163104196955068,9.75661490724154,275,15,0.0,86.64398844425571,0.0009734376362757757
5038,smith_qr_base,64,64,1.0,67.2109375,20.163104196955068,9.75661490724154,275,15,0.0,86.64398844425571,0.06164845217426773
5038,smith_qr_reactive,64,64,1.0,44.43359375,6.184723395747911,2.2722382556594694,167,0,0.734375,237.4697086181836,0.07532968629675452
5038,smith_qr_predictive,64,64,1.0,38.35546875,2.6889591827948798,0.6477613841790003,102,0,0.796875,240.22907664418142,0.07620937867613975
5039,greedy,64,64,1.0,67.4140625,19.96057284824679,9.821667163532098,277,18,0.0,83.82474818808248,0.0006437494448618963
5039,smith_qr_base,64,64,1.0,67.4140625,19.96057284824679,9.821667163532098,277,18,0.0,83.82474818808248,0.05894063178857323
5039,smith_qr_reactive,64,64,1.0,44.48828125,6.01539496453618,2.2928836636268675,168,0,0.734375,235.8239689153507,0.07147187170630787
5039,smith_qr_predictive,64,64,1.0,38.453125,2.721846664711344,0.6811962286294603,107,0,0.796875,239.50162485194784,0.08526407145836856
5040,greedy,64,64,1.0,67.1796875,20.381888780924733,9.760125035047912,274,21,0.0,83.35388440434234,0.0007468661351595074
5040,smith_qr_base,64,64,1.0,67.1796875,20.381888780924733,9.760125035047912,274,21,0.0,83.35388440434234,0.0701749959262088
5040,smith_qr_reactive,64,64,1.0,44.49609375,6.129784118761614,2.2898450816217224,168,0,0.734375,235.33897192992748,0.06357187157846056
5040,smith_qr_predictive,64,64,1.0,38.49609375,2.677115256728323,0.6874922283308341,108,0,0.796875,239.4833311658362,0.07390155769826379
5041,greedy,64,64,1.0,67.44140625,20.383722211296156,9.820132895230596,274,18,0.0,85.30316591814614,0.0014124962035566568
5041,smith_qr_base,64,64,1.0,67.44140625,20.383722211296156,9.820132895230596,274,18,0.0,85.30316591814614,0.08367656482732855
5041,smith_qr_reactive,64,64,1.0,44.57421875,6.1365323320759995,2.3083563191454033,169,0,0.734375,236.19963960670938,0.08497343333147
5041,smith_qr_predictive,64,64,1.0,38.77734375,3.335477856798891,0.8874918875645058,126,0,0.75,226.4621785941705,0.0836343751871027
5042,greedy,64,64,1.0,67.59375,20.280366073994823,9.851283008121975,276,12,0.0,85.15725760249532,0.0006484315235866234
5042,smith_qr_base,64,64,1.0,67.59375,20.280366073994823,9.851283008121975,276,12,0.0,85.15725760249532,0.06302343354036566
5042,smith_qr_reactive,64,64,1.0,44.59375,6.132295181363064,2.311059702995089,170,0,0.734375,236.03271363902826,0.06615000165766105
5042,smith_qr_predictive,64,64,1.0,38.46484375,2.6367633218906694,0.662634564640733,106,0,0.796875,239.550806086078,0.06794687396904919
5043,greedy,64,64,1.0,67.375,20.498740814121177,9.804135807415511,273,14,0.0,83.9772246825705,0.0008000042726052925
5043,smith_qr_base,64,64,1.0,67.375,20.498740814121177,9.804135807415511,273,14,0.0,83.9772246825705,0.06143123937363271
5043,smith_qr_reactive,64,64,1.0,44.54296875,6.220578704161736,2.304935317929746,167,0,0.734375,235.5982154490629,0.07498749437218066
5043,smith_qr_predictive,64,64,1.0,38.734375,2.9894317731114493,0.8609262026429306,124,0,0.765625,230.995389232109,0.07167499825300183
5044,greedy,64,64,1.0,67.3125,20.11297923559377,9.801524418101504,274,20,0.0,84.07584843450311,0.0009562481864122674
5044,smith_qr_base,64,64,1.0,67.3125,20.11297923559377,9.801524418101504,274,20,0.0,84.07584843450311,0.06910624870215543
5044,smith_qr_reactive,64,64,1.0,44.50390625,6.153351165584396,2.2945598124790085,167,0,0.734375,236.42915992313218,0.07410000398522243
5044,smith_qr_predictive,64,64,1.0,37.921875,2.3391059265555585,0.6816900144775785,113,0,0.734375,220.87243363533298,0.10477967589395121
5045,greedy,64,64,1.0,67.453125,19.945923004427208,9.815335988570261,276,16,0.0,84.4890578330489,0.000717180228093639
5045,smith_qr_base,64,64,1.0,67.453125,19.945923004427208,9.815335988570261,276,16,0.0,84.4890578330489,0.06918594408489298
5045,smith_qr_reactive,64,64,1.0,43.984375,5.72152646450267,2.1206032049633237,162,0,0.75,238.87878749251087,0.06950154966034461
5045,smith_qr_predictive,64,64,1.0,38.35546875,2.698310569726826,0.6205354914380105,103,0,0.796875,239.52464852717128,0.0788546913099708
5046,greedy,64,64,1.0,67.546875,20.453728964900268,9.842217165653048,276,16,0.0,83.88553648548404,0.0007078124326653779
5046,smith_qr_base,64,64,1.0,67.546875,20.453728964900268,9.842217165653048,276,16,0.0,83.88553648548404,0.06314843631116673
5046,smith_qr_reactive,64,64,1.0,43.9296875,5.699658960402114,2.108664508553491,163,0,0.75,239.17622044133822,0.09029530519910622
5046,smith_qr_predictive,64,64,1.0,38.3046875,2.709314168489595,0.6228664318118986,101,0,0.796875,239.54297225925998,0.08312656973430421
5047,greedy,64,64,1.0,67.20703125,20.654934559728346,9.772405810607385,273,14,0.0,83.31515548748669,0.0006953159754630178
5047,smith_qr_base,64,64,1.0,67.20703125,20.654934559728346,9.772405810607385,273,14,0.0,83.31515548748669,0.08887812327884603
5047,smith_qr_reactive,64,64,1.0,44.53125,6.200387267738176,2.2908784378689204,168,0,0.734375,236.1719420507195,0.07195468606369104
5047,smith_qr_predictive,64,64,1.0,38.51171875,2.714247576033578,0.7340778643174896,114,0,0.78125,235.4010377289247,0.10701249448175076
5048,greedy,64,64,1.0,67.390625,20.074606588614934,9.825312983299982,276,20,0.0,82.45472773913107,0.0007312482921406627
5048,smith_qr_base,64,64,1.0,67.390625,20.074606588614934,9.825312983299982,276,20,0.0,82.45472773913107,0.06763750934624113
5048,smith_qr_reactive,64,64,1.0,44.484375,6.126374678061006,2.288464106615595,168,0,0.734375,235.75840430974705,0.06791405576223042
5048,smith_qr_predictive,64,64,1.0,38.85546875,3.63770790439348,0.860499179177113,122,0,0.75,226.8651582675556,0.08187968342099339
5049,greedy,64,64,1.0,67.4453125,19.874344340302848,9.80640119678808,277,17,0.0,85.23560890408847,0.0006749960448360071
5049,smith_qr_base,64,64,1.0,67.4453125,19.874344340302848,9.80640119678808,277,17,0.0,85.23560890408847,0.06190468593558762
5049,smith_qr_reactive,64,64,1.0,43.953125,5.765159432990047,2.1048092094464863,163,0,0.75,239.69851000067922,0.06646718611591496
5049,smith_qr_predictive,64,64,1.0,38.76953125,3.1345949756556006,0.8084811563645501,120,0,0.78125,235.65777755040705,0.09805625631997827
5050,greedy,64,64,1.0,67.5078125,20.368998157651752,9.821845240633278,274,21,0.0,85.60303119965351,0.0010546900739427656
5050,smith_qr_base,64,64,1.0,67.5078125,20.368998157651752,9.821845240633278,274,21,0.0,85.60303119965351,0.06632968506892212
5050,smith_qr_reactive,64,64,1.0,44.5390625,6.107915998457465,2.292969872129523,169,0,0.734375,236.5792108376768,0.0658281278447248
5050,smith_qr_predictive,64,64,1.0,38.35546875,2.628103441393664,0.6332872969620497,104,0,0.796875,239.31780946662883,0.06474999463534914
5051,greedy,64,64,1.0,67.5625,20.20174772253147,9.8353986703224,272,14,0.0,84.49854528941019,0.0006390637281583622
5051,smith_qr_base,64,64,1.0,67.5625,20.20174772253147,9.8353986703224,272,14,0.0,84.49854528941019,0.05773125485575292
5051,smith_qr_reactive,64,64,1.0,44.01171875,5.710494063439673,2.1202685505399708,163,0,0.75,240.38010911713226,0.08783280827628914
5051,smith_qr_predictive,64,64,1.0,38.54296875,2.717532925810371,0.7546545155406227,116,0,0.78125,235.7774922481895,0.11882500621140935
5052,greedy,64,64,1.0,67.50390625,20.202515038864032,9.830570124858683,277,17,0.0,84.28252112730954,0.00110468317870982
5052,smith_qr_base,64,64,1.0,67.50390625,20.202515038864032,9.830570124858683,277,17,0.0,84.28252112730954,0.07172812183853239
5052,smith_qr_reactive,64,64,1.0,44.546875,5.981651525410942,2.300697808380786,169,0,0.734375,237.22460845311764,0.061384371292660944
5052,smith_qr_predictive,64,64,1.0,38.71484375,3.0479109804291413,0.8460490757903701,126,0,0.765625,231.10270429524698,0.0823265581857413
5053,greedy,64,64,1.0,67.39453125,20.271603398005986,9.802244443423783,276,15,0.0,85.42249091853999,0.0006843747542006895
5053,smith_qr_base,64,64,1.0,67.39453125,20.271603398005986,9.802244443423783,276,15,0.0,85.42249091853999,0.07225935951282736
5053,smith_qr_reactive,64,64,1.0,44.5,6.254092391056551,2.291394515463838,168,0,0.734375,236.34706985458178,0.07298438322322909
5053,smith_qr_predictive,64,64,1.0,38.59765625,2.644945633882062,0.7625568222105257,120,0,0.78125,235.29399761570477,0.06886718620080501
5054,greedy,64,64,1.0,67.4921875,20.572024595409868,9.833955276260191,277,18,0.0,83.26311395475076,0.0006750033207936212
