seed,network,architecture,rmse_position_m,rmse_yaw_rad,measurement_std_xy_m,measurement_std_yaw_rad,mean_age_s,attempted_messages,queued_messages,delivered_messages,bytes,generated_bytes,queued_bytes,delivered_bytes,dropped_bytes,delivery_ratio,mean_latency_s
63300,ideal,leader_follower,0.04743791542970065,0.00848416417696736,0.02,0.01,0.1,240,240,240,50469,50469,50469,50469,0,1.0,0.010514375000000022
63300,ideal,virtual_structure,0.0229874308617878,0.005960825953694111,0.02,0.01,0.1,640,640,640,192812,192812,192812,192812,0,1.0,0.022592187500000086
63300,delayed,leader_follower,0.3309778757880595,0.04413740142268239,0.02,0.01,1.7118055555555556,240,240,240,50469,50469,50469,50469,0,1.0,2.631348585304724
63300,delayed,virtual_structure,0.16325508842110234,0.03462440185759661,0.02,0.01,3.0448275862068974,640,640,640,192812,192812,192812,192812,0,1.0,10.487384760844476
63300,degraded,leader_follower,0.048932038097199156,0.008937554985319748,0.02,0.01,0.10648148148148148,240,219,219,50469,50469,46085,46085,4384,0.9125,0.08192590247938891
63300,degraded,virtual_structure,0.1803560134747963,0.02443214445940293,0.02,0.01,1.9473015873015873,640,601,601,192812,192812,181091,181091,11721,0.9390625,3.5776562750858276
63300,limited,leader_follower,0.2948711086287911,0.09402262533458523,0.02,0.01,1.313684210526316,240,140,140,50469,50469,29483,29483,20986,0.5833333333333334,1.9355332329988415
63300,limited,virtual_structure,0.15214362274886517,0.03302863731234075,0.02,0.01,2.9780645161290322,640,573,573,192812,192812,172502,172502,20310,0.8953125,10.433576942467486
63301,ideal,leader_follower,0.04745452959069729,0.01268374528842457,0.02,0.01,0.1,240,240,240,50496,50496,50496,50496,0,1.0,0.010520000000000033
63301,ideal,virtual_structure,0.022973687668482415,0.008089292466293932,0.02,0.01,0.1,640,640,640,192898,192898,192898,192898,0,1.0,0.02260750000000008
63301,delayed,leader_follower,0.32507910673954865,0.0451454887360495,0.02,0.01,1.6756944444444446,240,240,240,50496,50496,50496,50496,0,1.0,2.6168271096077955
63301,delayed,virtual_structure,0.1612822689955346,0.03674601555799652,0.02,0.01,3.0173410404624277,640,640,640,192898,192898,192898,192898,0,1.0,10.466802293738084
63301,degraded,leader_follower,0.04889209040201768,0.01256840484797933,0.02,0.01,0.10500000000000002,240,225,225,50496,50496,47354,47354,3142,0.9375,0.08269930991768829
63301,degraded,virtual_structure,0.182542749046657,0.02798293141113831,0.02,0.01,1.9977707006369425,640,600,600,192898,192898,180827,180827,12071,0.9375,3.62511895838692
63301,limited,leader_follower,0.30354415693026965,0.0946811924397902,0.02,0.01,1.3873684210526318,240,142,142,50496,50496,29898,29898,20598,0.5916666666666667,1.9696510893122803
63301,limited,virtual_structure,0.1544149491789077,0.035093221047085725,0.02,0.01,2.9974358974358974,640,566,566,192898,192898,170616,170616,22282,0.884375,10.252920762281347
63302,ideal,leader_follower,0.046821137828566006,0.00973433464917667,0.02,0.01,0.1,240,240,240,50490,50490,50490,50490,0,1.0,0.010518750000000047
63302,ideal,virtual_structure,0.020904951671786427,0.006219243995551431,0.02,0.01,0.1,640,640,640,192884,192884,192884,192884,0,1.0,0.022602968750000063
63302,delayed,leader_follower,0.328123972815239,0.041917473631812065,0.02,0.01,1.67972027972028,240,240,240,50490,50490,50490,50490,0,1.0,2.6653548083351706
63302,delayed,virtual_structure,0.16057940859644151,0.03490403742475196,0.02,0.01,3.0122093023255814,640,640,640,192884,192884,192884,192884,0,1.0,10.633040358226367
63302,degraded,leader_follower,0.04792464465351564,0.009575717396242009,0.02,0.01,0.1062780269058296,240,226,226,50490,50490,47504,47504,2986,0.9416666666666667,0.08305361172940001
63302,degraded,virtual_structure,0.18181342490216323,0.026256664179429547,0.02,0.01,2.009324758842444,640,602,602,192884,192884,181383,181383,11501,0.940625,3.7127181710434085
63302,limited,leader_follower,0.32165830125280326,0.09556242084926564,0.02,0.01,1.5882978723404253,240,150,150,50490,50490,31586,31586,18904,0.625,2.3779979960044666
