seed,radius_m,speed_mps,omega_rad_s,feasible,naive_feasible,false_feasible,margin,utilization,limiting_robot,limiting_wheel
63100,0.2,0.0,0.0,1,1,0,1.0,0.0,r1,none
63100,0.2,0.0,0.025,1,1,0,0.9784027935877371,0.02159720641226298,r4,right
63100,0.2,0.0,0.05,1,1,0,0.956805587175474,0.04319441282452596,r4,right
63100,0.2,0.0,0.07500000000000001,1,1,0,0.935208380763211,0.06479161923678894,r4,right
63100,0.2,0.0,0.1,1,1,0,0.9136111743509481,0.08638882564905193,r4,right
63100,0.2,0.0,0.125,1,1,0,0.8920139679386851,0.1079860320613149,r4,right
63100,0.2,0.0,0.15000000000000002,1,1,0,0.8704167615264221,0.1295832384735779,r4,right
63100,0.2,0.0,0.17500000000000002,1,1,0,0.8488195551141591,0.1511804448858409,r4,right
63100,0.2,0.0,0.2,1,1,0,0.8272223487018961,0.17277765129810385,r4,right
63100,0.2,0.0,0.225,1,1,0,0.8056251422896331,0.19437485771036686,r4,right
63100,0.2,0.0,0.25,1,1,0,0.7840279358773702,0.2159720641226298,r4,right
63100,0.2,0.0,0.275,1,1,0,0.7624307294651071,0.2375692705348928,r4,right
63100,0.2,0.0,0.30000000000000004,1,1,0,0.7408335230528442,0.2591664769471558,r4,right
63100,0.2,0.0,0.325,1,1,0,0.7192363166405813,0.28076368335941876,r4,right
63100,0.2,0.0,0.35000000000000003,1,1,0,0.6976391102283181,0.3023608897716818,r4,right
63100,0.2,0.0,0.375,1,1,0,0.6760419038160552,0.3239580961839447,r4,right
63100,0.2,0.0,0.4,1,1,0,0.6544446974037923,0.3455553025962077,r4,right
63100,0.2,0.0,0.42500000000000004,1,1,0,0.6328474909915293,0.36715250900847074,r4,right
63100,0.2,0.0,0.45,1,1,0,0.6112502845792662,0.3887497154207337,r4,right
63100,0.2,0.0,0.47500000000000003,1,1,0,0.5896530781670035,0.41034692183299654,r4,right
63100,0.2,0.0,0.5,1,1,0,0.5680558717547404,0.4319441282452596,r4,right
63100,0.2,0.0,0.525,1,1,0,0.5464586653424774,0.4535413346575226,r4,right
63100,0.2,0.0,0.55,1,1,0,0.5248614589302144,0.4751385410697856,r4,right
63100,0.2,0.0,0.5750000000000001,1,1,0,0.5032642525179514,0.49673574748204863,r4,right
63100,0.2,0.0,0.6000000000000001,1,1,0,0.48166704610568845,0.5183329538943116,r4,right
63100,0.2,0.0,0.625,1,1,0,0.4600698396934255,0.5399301603065745,r4,right
63100,0.2,0.0,0.65,1,1,0,0.4384726332811625,0.5615273667188375,r4,right
63100,0.2,0.0,0.675,1,1,0,0.41687542686889945,0.5831245731311006,r4,right
63100,0.2,0.0,0.7000000000000001,1,1,0,0.3952782204566364,0.6047217795433636,r4,right
