scenario,scenario_label,method,method_label,centralized,mode,seed,world_hash,success,physically_admissible_success,command_infeasible,command_infeasible_fraction,physical_violation,realized_violation_fraction,realized_violation_duration_s,realized_violation_max_duration_s,kinematic_violation,wrench_violation,support_failure,collision,timeout,numerical_failure,termination,failure_mode,time_to_target_s,final_position_error_m,final_yaw_error_rad,final_linear_speed_mps,final_angular_speed_rad_s,minimum_kinematic_margin,minimum_mechanical_margin,minimum_realized_kinematic_margin,minimum_realized_mechanical_margin,governor_intervention_rate,governor_hold_rate,governor_brake_rate,governor_uncontrolled_rate,mean_governor_scale,governor_total_variation,governor_switch_rate,mean_internal_force_ratio,state_estimate_rmse_position_m,state_estimate_rmse_yaw_rad,mean_information_age_s,information_stale_rate,cbf_intervention_mean,requested_linear_effort_m2_s3,requested_yaw_effort_rad2_s3,executed_linear_effort_m2_s3,executed_yaw_effort_rad2_s3,attempted_messages,queued_messages,delivered_messages,bytes,generated_bytes,queued_bytes,delivered_bytes,dropped_bytes,delivery_ratio,recovery_time_s,governor_step
S0,Nominal,pd,PD,0,governed,63400,b086cd668018c6a95f15458cb81af2823208fb5001f173db5f0eb063f73fae9c,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,5.0,0.050442917073472406,0.0003088641956630056,0.05425140791968718,0.0028610111792080413,0.01640386045628861,0.572309893830589,0.015243735681025772,0.5734117901875648,0.19230769230769232,0.0,0.11538461538461539,0.0,0.823076923076923,6.0,0.28,0.118141858906087,0.07255111040524545,0.01368654183760816,0.19230769230769232,0.0,0.0,4.24673217604234,0.17678126306416536,2.713092517881823,0.11492265421681329,26,26,26,6650,6650,6650,6650,0,1.0,,0.2
S0,Nominal,lqi,LQI,0,governed,63400,b086cd668018c6a95f15458cb81af2823208fb5001f173db5f0eb063f73fae9c,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,4.4,0.06171528370746477,0.007412389022875665,0.0768163245511958,0.02673522064138014,0.004121790855409535,0.5608943060686091,0.007562731870280004,0.5619962024255847,0.6956521739130435,0.0,0.2608695652173913,0.0,0.4695652173913043,7.800000000000001,0.7727272727272727,0.09948528582034291,0.08360614037640138,0.012850695867396985,0.19130434782608696,0.0,0.0,44.112456632336176,1.054998779468128,4.318540326898892,0.10894361385221082,23,23,23,5890,5890,5890,5890,0,1.0,,0.2
S0,Nominal,port_hamiltonian,Amortiguamiento energético,0,governed,63400,b086cd668018c6a95f15458cb81af2823208fb5001f173db5f0eb063f73fae9c,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,5.0,0.05562166418674252,0.0021264096863471416,0.060518251707112544,0.007011432550602247,0.001568610362682743,0.5936891776064418,0.004771204875194335,0.5947962954960352,0.3076923076923077,0.0,0.11538461538461539,0.0,0.8,7.0,0.4,0.11562491445680725,0.07276238998479054,0.01413091006257746,0.19230769230769232,0.0,0.0,6.289088776567596,0.2822492559940559,2.7065678638034645,0.12933321293562877,26,26,26,6669,6669,6669,6669,0,1.0,,0.2
S0,Nominal,mpc_central,MPC central,1,governed,63400,b086cd668018c6a95f15458cb81af2823208fb5001f173db5f0eb063f73fae9c,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,4.6000000000000005,0.020785622383737525,0.00033369668606342273,0.03877000686018035,0.0011520873302403173,0.003333188380906904,0.7219154972259665,0.00793956977374044,0.7227044570491804,0.4166666666666667,0.0,0.125,0.0,0.7083333333333334,4.8,0.43478260869565216,0.07964243558418989,0.0,0.0,0.0,0.0,0.0,3.5519946247644056,0.16129576366875156,2.0295903230240206,0.1765841965083419,24,24,24,6172,6172,6172,6172,0,1.0,,0.2
S0,Nominal,pd,PD,0,governed,63401,cc29fce72c8fe6983eaaed0adc60212232a5410aba709033081d1d310c610a35,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,4.800000000000001,0.057636669956915174,0.002162354325048632,0.048573605290681915,0.0012016842394442112,0.017368039025512094,0.572309893830589,0.013058683947007044,0.572511084143145,0.2,0.0,0.12,0.0,0.816,6.0,0.2916666666666667,0.10608205164428884,0.07271440181234941,0.014068861682058374,0.19200000000000003,0.0,0.0,4.320554566221502,0.17798024048181,2.7129239850545526,0.11272558899933591,25,25,25,6422,6422,6422,6422,0,1.0,,0.2
S0,Nominal,lqi,LQI,0,governed,63401,cc29fce72c8fe6983eaaed0adc60212232a5410aba709033081d1d310c610a35,1,0,0,0.0,1,0.02631578947368421,0.2,0.2,1,0,0,0,0,0,target_reached,none,7.4,0.0908558403932162,0.010023921331206331,0.007280740538045069,0.010016353832939378,0.0018450846013231548,0.5608943060686091,-0.7162845306264864,0.561095496381165,0.631578947368421,0.0,0.18421052631578946,0.0,0.5526315789473685,11.199999999999998,0.6486486486486487,0.12491807672415238,0.06299956742925862,0.010514703054171941,0.19473684210526318,0.0,0.0,43.95713198540304,1.0546666141443328,4.355367280712716,0.10707545595841389,38,38,38,9786,9786,9786,9786,0,1.0,,0.2
S0,Nominal,port_hamiltonian,Amortiguamiento energético,0,governed,63401,cc29fce72c8fe6983eaaed0adc60212232a5410aba709033081d1d310c610a35,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,4.800000000000001,0.0665037982227476,0.0024781429065159344,0.04050741550750159,0.005188049741281475,0.014487559022230534,0.5936891776064418,0.011573152179192081,0.5938955894516156,0.28,0.0,0.12,0.0,0.8080000000000002,7.0,0.375,0.091532898974176,0.0726005854429377,0.014122149677203565,0.19200000000000003,0.0,0.0,6.410162364791747,0.2802201268875973,2.7092561711414005,0.12072439739420601,25,25,25,6421,6421,6421,6421,0,1.0,,0.2
S0,Nominal,mpc_central,MPC central,1,governed,63401,cc29fce72c8fe6983eaaed0adc60212232a5410aba709033081d1d310c610a35,1,0,0,0.0,1,0.041666666666666664,0.2,0.2,1,0,0,0,0,0,target_reached,none,4.6000000000000005,0.020679248379825238,0.00027977424440006615,0.03672103059244843,0.0005289014374057412,0.002638040862761759,0.7219154972259665,-0.004067383101769018,0.7211937322445277,0.4166666666666667,0.0,0.125,0.0,0.7083333333333334,4.8,0.43478260869565216,0.07704177748429215,0.0,0.0,0.0,0.0,0.0,3.5403696579642316,0.16220035141504724,2.035008105490098,0.17694878785520482,24,24,24,6174,6174,6174,6174,0,1.0,,0.2
S0,Nominal,pd,PD,0,governed,63402,a5ddb60379a176d25b3164ccbfb4cb9bed01d7cfaa749dc075bc7149436111cd,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,4.800000000000001,0.05666423056167521,0.0015123980260680625,0.0450816950764297,0.0025746424649398317,0.0047729686832664875,0.572309893830589,0.00724514538207266,0.5754537787924399,0.24,0.0,0.08,0.0,0.8080000000000002,5.6000000000000005,0.2916666666666667,0.0962476830809115,0.07693993147893953,0.01413212413599856,0.19200000000000003,0.0,0.0,4.219807792770449,0.181659616112202,2.396390871769972,0.10692831120825551,25,25,25,6405,6405,6405,6405,0,1.0,,0.2
S0,Nominal,lqi,LQI,0,governed,63402,a5ddb60379a176d25b3164ccbfb4cb9bed01d7cfaa749dc075bc7149436111cd,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,target_reached,none,4.4,0.06233944892706786,0.005728987942343444,0.08136180533549041,0.015875633564743485,0.004489131002190949,0.5608943060686091,0.0033961882904279816,0.5641114362279409,0.6956521739130435,0.0,0.2608695652173913,0.0,0.4782608695652174,7.4,0.7727272727272727,0.10002230940749747,0.08538163613824762,0.013323528258207214,0.19130434782608696,0.0,0.0,44.24864877488015,1.0506662482017266,4.333129183023744,0.10096923058568341,23,23,23,5877,5877,5877,5877,0,1.0,,0.2
