seed,dispersion_m,pressure,scalar_feasible,bilateral_feasible,supported_feasible,scalar_false_feasible,bilateral_false_feasible,supported_utilization,wrench_residual,internal_force_ratio,limiting_robot
63204,0.6,1.0,1,1,1,0,0,0.7005050349982386,4.0371746350005693e-17,0.3306536370384386,r2
63204,0.6,1.2,1,1,1,0,0,0.8406060419978849,8.074349270001139e-17,0.33065363703843687,r2
63204,0.8,0.2,1,1,1,0,0,0.13323627442612762,4.5418214643756407e-17,0.2753782310089325,r3
63204,0.8,0.4,1,1,1,0,0,0.26647254885225524,9.083642928751281e-17,0.2753782310089325,r3
63204,0.8,0.6,1,1,1,0,0,0.399708823278383,3.0278809762504267e-16,0.27537823100893255,r4
63204,0.8,0.8,1,1,1,0,0,0.5329450977045105,1.8167285857502563e-16,0.2753782310089325,r3
63204,0.8,1.0,1,1,1,0,0,0.6661813721306381,1.8167285857502563e-16,0.2753782310089326,r3
63204,0.8,1.2,1,1,1,0,0,0.799417646556766,6.055761952500853e-16,0.27537823100893255,r4
63205,0.2,0.2,1,1,1,0,0,0.2078758699230674,2.023793027407083e-17,0.3442825474660168,r1
63205,0.2,0.4,1,1,1,0,0,0.4157517398461348,4.047586054814166e-17,0.3442825474660168,r1
