candidate_id,title,authors,year,period,venue,doi,document_type,scientific_role_structural,priority_tier,text_adequacy,close_reading_eligibility,abstract_extracted,abstract_extracted_word_count,theme_signals_title_abstract,method_focus_title_abstract,architecture_signals_title_abstract,validation_signals_title_abstract,application_signals_title_abstract,method_mentions_fulltext_not_implementation_evidence,architecture_mentions_fulltext_not_implementation_evidence,validation_mentions_fulltext_not_implementation_evidence,extraction_note,coding_note
C5423D5A19BA0,Cooperative Object Transport in Multi-Robot Systems: A Review of the State-of-the-Art,Elio Tuci; Muhanad H. M. Alkilabi; Otar Akanyeti,2018,2017-2021,Frontiers in Robotics and AI,10.3389/frobt.2018.00059,journal-article,SURVEY,P0,substantive_html_text,eligible,"In recent years, there has been a growing interest in designing multi-robot systems (hereafter MRSs) to provide cost effective, fault-tolerant and reliable solutions to a variety of automated applications. Here, we review recent advancements in MRSs specifically designed for cooperative object transport, which requires the members of MRSs to coordinate their actions to transport objects from a starting position to a final destination. To achieve cooperative object transport, a wide range of transport, coordination and control strategies have been proposed. Our goal is to provide a comprehensive summary for this relatively heterogeneous and fast-growing body of scientific literature. While distilling the information, we purposefully avoid using hierarchical dichotomies, which have been traditionally used in the field of MRSs. Instead, we employ a coarse-grain approach by classifying each study based on the transport strategy used; pushing-only, grasping and caging. We identify key design constraints that may be shared among these studies despite considerable differences in their design methods. In the end, we discuss several open challenges and possible directions for future work to improve the performance of the current MRSs. Overall, we hope to increasethe visibility and accessibility of the excellent studies in the field and provide a framework that helps the reader to navigate through them more effectively.",208,SP2_physical_transport,,,,cooperative_transport_manipulation,auction_market;evolutionary_metaheuristic;learning_based;behavior_swarm;consensus_distributed;formation_control;force_impedance_control;safety_reactive,centralized;distributed_decentralized;leader_follower,simulation;physical_experiment;formal_analysis;industrial_case,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
CCB936E7536AC,Hybrid Coordination Framework for Centralized Task Allocation and Execution in Heterogeneous Multi-Robot Systems,"Varghese, T. Glace; Kochuvila, Sreeja; Kumar, Navin; Prasad, R. R. Venkatesha",2026,2022-2026,IEEE ACCESS,10.1109/access.2026.3680629,Article,CORE,P0,substantive_pdf_text,eligible,"Multi-robot coordination has emerged as a critical enabler for efficient warehouse logistics, yet existing approaches struggle to balance solution quality, computational efficiency, and real-time adaptability in heterogeneous robot environments. This paper presents a novel centralized coordination architecture that integrates a hybrid optimization algorithm combining the shapley value clustering algorithm (SVCA) with the non-dominated sorting genetic algorithm II (NSGA-II) for multi-robot task allocation (MRTA). The proposed system addresses the complex challenge of allocating logistics tasks to heterogeneous mobile robots with varying payload capacities, energy consumption rates, and task deadline while simultaneously optimizing multiple conflicting objectives including makespan, energy consumption, deadline adherence, and workload balance. Unlike traditional static scheduling methods, the proposed system includes dynamic task reallocation capabilities that enable robots to autonomously detect and execute pending tasks nearby upon completion, be it with intelligent battery management that triggers autonomous recharging when energy thresholds are reached. Implemented using robot operating system 2 (ROS2) Humble and validated in Gazebo simulation environments with warehouse scenarios involve five heterogeneous robots and multiple logistics tasks. Experimental results show that, with the hybrid algorithm, 100% task allocation can be achieved with an average allocation time of 0.122 seconds, significantly outperforming state-of-the-art methods including island model genetic algorithm (IMGA), SVCA, particle swarm optimization (PSO), genetic algorithm (GA), and standalone NSGA-II executions. The system effectively manages complex logistics operations to automate the warehouse within the simulated environment, while maintaining required constraint. INDEX TERMS Multi-robot system (MRS), multi-robot task allocation (MRTA), gazebo, heterogeneous robots, non-dominated sorting genetic algorithm-II (NSGA-II), robot operating system (ROS2), RViz, shapley value clustering algorithm (SVCA), task allocation. I.",262,SP1_coalition_allocation,game_theoretic;evolutionary_metaheuristic,centralized;hybrid,simulation;industrial_case,warehouse_logistics,auction_market;game_theoretic;evolutionary_metaheuristic;learning_based;consensus_distributed;safety_reactive;graph_search_mapf,centralized;distributed_decentralized;hybrid,simulation;physical_experiment;formal_analysis;industrial_case,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
C338F7D3BAF3A,A multi-robot collaborative manipulation framework for dynamic and obstacle-dense environments: integration of deep learning for real-time task execution,"Adil, Afnan Ahmed; Sakhrieh, Saber; Mounsef, Jinane; Maalouf, Noel",2025,2022-2026,FRONTIERS IN ROBOTICS AND AI,10.3389/frobt.2025.1585544,Article,CORE,P0,substantive_html_text,eligible,"This paper presents a multi-robot collaborative manipulation framework, implemented in the Gazebo simulation environment, designed to enable the execution of autonomous tasks by mobile manipulators in dynamic environments and dense obstacles. The system consists of multiple mobile robot platforms, each equipped with a robotic manipulator, a simulated RGB-D camera, and a 2D LiDAR sensor on the mobile base, facilitating task coordination, object detection, and advanced collision avoidance within a simulated warehouse setting. A leader-follower architecture governs collaboration, allowing for the dynamic formation of teams to tackle tasks requiring combined effort, such as transporting heavy objects. Task allocation and control are achieved through a centralized control structure architecture in which the leader robot coordinates subordinate units based on high-level task assignments. The framework incorporates deep learning-based object detection (YOLOv2) to identify target objects using a simulated RGB-D camera mounted on the manipulator’s end-effector. Path planning is achieved through a sampling-based algorithm that is integrated with the LiDAR data to facilitate precise obstacle avoidance and localization. It also provides real-time path rerouting for safe navigation when dynamically moving obstacles, such as humans or other entities, intersect planned paths. This functionality ensures uninterrupted task execution and enhances safety in human-robot shared spaces. High-level task scheduling and control transitions are managed using MATLAB and Stateflow logic, while ROS facilitates data communication between MATLAB, Simulink, and Gazebo. This multirobot architecture is adaptable, allowing configuration of team size for collaborative tasks based on load requirements and environmental complexity. By integrating computer vision and deep learning for visual processing, and YOLOv2 for object detection, the system efficiently identifies, picks, and transports objects to designated locations, demonstrating the scalability of multi-robot framework for future applications in logistics automation, collaborative manufacturing, and dynamic human-robot interaction scenarios.",287,SP1_coalition_allocation;SP3_planning_traffic;TRANSVERSAL_resilience_communication,learning_based;formation_control;safety_reactive,centralized;leader_follower,simulation;industrial_case,warehouse_logistics,auction_market;evolutionary_metaheuristic;learning_based;consensus_distributed;model_predictive_control;formation_control;safety_reactive,centralized;distributed_decentralized;leader_follower,simulation;physical_experiment;industrial_case,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
CC820828EAD63,"A comprehensive review on multi robot task assignment and path planning: Operational constraints, challenges, and potentials of deep reinforcement learning",Suaib Al Mahmud; Azhar Mohd Ibrahim; Mazbahur Rahman Khan,2025,2022-2026,Applied Soft Computing,10.1016/j.asoc.2025.114498,article,SURVEY,P0,pdf_text_limited,requires_alternative_or_manual_inspection,"Save to list Cited by (0) References (359) Similar documents Task allocation and path planning are two highly focused areas in the arena of Multi Robot Systems (MRS) due to their versatile applications. Whether they are treated separately or in conjunction, the operational constraints play a critical role on their performance. This paper presents a comprehensive review on task assignment and path planning of MRS by dedicating a specific focus on operational constraints, and explores the potentials of Deep Reinforcement Learning (DRL) to address them. A detailed insight into formulation and scheme characterization of Multi Robot Task Allocation (MRTA) problems is presented with an extensive review on the solution techniques of task allocation and path planning, among which the learning-based approaches (particularly DRL) were found to be providing notable advantages over traditional ones. The operational constraints are systematically categorized and challenges appearing alongside them are identified. Furthermore, the paper pinpoints existing research gaps in this regard, and ventures into discovering ways to bridge them using state-of-the-art DRL training algorithms, techniques, frameworks, and concepts, which also expose significant potential and research avenues for MRS. Additionally, the computational resources and accelerators for DRL are discussed to appreciate the real-world deployment of DRLbased MRS. Thus, the paper establishes a benchmark for advancing the swift autonomy of MRS. © 2025 Elsevier B.V. Author",219,SP1_coalition_allocation,learning_based,,,,learning_based,,,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
CBF202D600FE4,Auction-Based Task Allocation and Motion Planning for Multi-Robot Systems with Human Supervision,"Galati, Giada; Primatesta, Stefano; Rizzo, Alessandro",2023,2022-2026,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,10.1007/s10846-023-01935-x,Article,CORE,P0,substantive_pdf_text,eligible,"This paper presents a task allocation strategy for a multi-robot system with a human supervisor. The multi-robot system consists of a team of heterogeneous robots with different capabilities that operate in a dynamic scenario that can change in the robots’ capabilities or in the operational requirements. The human supervisor can intervene in the operation scenario by approving the final plan before its execution or forcing a robot to execute a specific task. The proposed task allocation strategy leverages an auction-based method in combination with a sampling-based multi-goal motion planning. The latter is used to evaluate the costs of execution of tasks based on realistic features of paths. The proposed architecture enables the allocation of tasks accounting for priorities and precedence constraints, as well as the quick re-allocation of tasks after a dynamic perturbation occurs –a crucial feature when the human supervisor preempts the outcome of the algorithm and makes manual adjustments. An extensive simulation campaign in a rescue scenario validates our approach in dynamic scenarios comprising a sensor failure of a robot, a total failure of a robot, and a human-driven re-allocation. We highlight the benefits of the proposed multi-goal strategy by comparing it with single-goal motion planning strategies at the state of the art. Finally, we provide evidence for the system efficiency by demonstrating the powerful synergistic combination of the auction-based allocation and the multi-goal motion planning approach.",229,SP1_coalition_allocation,auction_market,,simulation,,auction_market;exact_optimization;evolutionary_metaheuristic;consensus_distributed;graph_search_mapf,centralized;distributed_decentralized,simulation,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
C96F294D621AC,CF-HMRTA: Coalition Formation for Heterogeneous Multi-Robot Task Allocation,Ashish Verma; Avinash Gautam; Ayan Dutta; Virendra Singh Shekhawat; Sudeept Mohan,2025,2022-2026,Journal of Intelligent &amp; Robotic Systems,10.1007/s10846-025-02287-4,journal-article,CORE,P0,substantive_pdf_text,eligible,"This paper introduces a novel approach, Coalition Formation for Heterogeneous Multi-Robot Task Allocation (CF-HMRTA), to address the challenge of multi-robot task allocation. The problem, inherently NP-Hard, is tackled using bipartite graph matching. CF-HMRTA forms heterogeneous robot coalitions with unique service skills to complete tasks collaboratively, using a heuristic algorithm for optimal robot-task pairing while preventing task overlap. Recent research work using bipartite graph matching for multi-robot coalition formation and task allocation often assumes homogeneity across tasks and robots, where any robot can be assigned to any task. In contrast, the solution proposed in this paper explicitly considers the diversity of robots with varying service skills. Additionally, tasks demand different sets of skills, such as sensing, monitoring, and data collection, making certain tasks unsuitable for some robots due to hardware constraints. For instance, tasks requiring aerial footage are assigned to drones, while ground robots handle close-ground monitoring. Furthermore, we incorporate taskspecific time constraints into our problem formulation, enhancing its realism. Considerably less research has been conducted on heterogeneous robot teams solving tasks that require multiple service skills and temporal constraints, making our work a significant contribution to the field. The algorithm achieves a worst-case time complexity of O(|E|), where E represents the edges in the bipartite graph, and guarantees perfect matching. Simulation results highlight its scalability, successfully allocating up to 2000 robots to 400 tasks in approximately 11 seconds.",228,SP1_coalition_allocation;TRANSVERSAL_resilience_communication,,,simulation,aerial_uav,game_theoretic;consensus_distributed,centralized;distributed_decentralized;leader_follower,simulation;formal_analysis;industrial_case,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
C15CF81D8F835,Task-oriented overlapping coalition formation: a game-theoretic framework for heterogeneous UAV task allocation,Shaokun Yan; Jingxiang Feng; Peng Chang,2026,2022-2026,Autonomous Robots,10.1007/s10514-026-10244-9,journal-article,CORE,P0,landing_or_abstract_like_html,requires_alternative_or_manual_inspection,"The overlapping coalition formation (OCF) game has emerged as a key framework in multi-agent systems, enabling unmanned aerial vehicles (UAVs) to participate in multiple distinct coalitions simultaneously. This paper studies constrained task allocation in heterogeneous UAV systems using OCF, with a focus on resource heterogeneity, communication constraints, and temporal limitations. We introduce an adaptive exploration–exploitation mechanism that systematically refines the solution space while avoiding premature convergence in coalition optimization. Comparative simulations with state-of-the-art OCF methods and variable neighborhood search (VNS) demonstrate that our approach significantly improves performance in resource-limited settings, achieving a 24.57% increase in coalition utility and a 38.46% higher task completion rate compared to conventional coalition formation algorithms, with a slight increase in convergence time and coalition size. These results quantitatively confirm the effectiveness of the proposed method in balancing exploration–exploitation trade-offs for coalition optimization.",137,SP1_coalition_allocation;TRANSVERSAL_resilience_communication,game_theoretic,distributed_decentralized,simulation,aerial_uav;search_rescue_exploration,auction_market;game_theoretic;evolutionary_metaheuristic;learning_based;consensus_distributed;formation_control,centralized;distributed_decentralized,simulation,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
CC1697E0C2E40,Distributed and Communication-Aware Coalition Formation and Task Assignment in Multi-Robot Systems,Petra Mazdin; Bernhard Rinner,2021,2017-2021,IEEE Access,10.1109/access.2021.3061149,journal-article,CORE,P0,substantive_pdf_text,eligible,"In many missions, multiple robots need to cooperate to complete tasks. The workflow of these multi-robot tasks involves forming coalitions of robots, assigning them to available tasks, and jointly executing the tasks. In this article, we investigate such a workflow in an application-independent yet realistic setting. We abstract the key properties of tasks and robots and propose three distributed coalition formation and task assignment methods. Distributed methods rely on a timely and accurate exchange of state information in multi-robot systems (MRS). Thus we focus on two important communication aspects: (i) how to achieve consistent coalition formation and task assignment in the presence of communication faults, and (ii) how to reduce the communication effort required for the state updates in the MRS. In particular, we investigate the effect of event-triggered, time-triggered, and hybrid communication. We evaluate our distributed approaches in a simulation study using ns-3 and compare them with centralized methods and different network conditions. We demonstrate the sensitivity of complex missions to failure-prone MRS communication and provide robust, effective, and communication-aware methods for coalition formation and task assignment. INDEX TERMS Distributed multi-robot systems, coalition formation, multi-robot task assignment, eventtriggered communication, time-triggered communication. I.",193,SP1_coalition_allocation;TRANSVERSAL_resilience_communication,,centralized;distributed_decentralized,simulation,,auction_market;exact_optimization;evolutionary_metaheuristic;behavior_swarm;consensus_distributed,centralized;distributed_decentralized,simulation;physical_experiment;industrial_case,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
C4F0B5BB85F46,"Multi-Robot Systems and Cooperative Object Transport: Communications, Platforms, and Challenges",Xing An; Celimuge Wu; Yangfei Lin; Min Lin; Tsutomu Yoshinaga; Yusheng Ji,2023,2022-2026,IEEE Open Journal of the Computer Society,10.1109/ojcs.2023.3238324,article,CORE,P0,substantive_pdf_text,eligible,"Multi-robot systems gain considerable attention due to lower cost, better robustness, and higher scalability as compared with single-robot systems. Cooperative object transport, as a well-known use case of multi-robot systems, shows great potential in real-world applications. The design and implementation of a multi-robot system involve many technologies, specifically, communication, coordination, task allocation methods, experimental platforms, and simulators. However, most of recent multi-robot system studies focus on coordination and task allocation problems, with little focus on communications among multiple robots. In this review, we focus on the communication, validation platform, and simulator of multi-robot systems, and discuss one of the important applications, cooperative object transport. First, we study the multi-robot system fundamentals and comprehensively review the multi-robot system communication technologies. Then, the multi-robot system validating platform, testbed, simulator, and middleware used in academia and industry are investigated. Finally, we discuss recent advances in cooperative object transport, and challenges and possible future research directions for multi-robot systems. INDEX TERMS Communication technology, cooperative object transport, multi-robot system, platform, survey. I.",167,SP1_coalition_allocation;SP2_physical_transport;TRANSVERSAL_resilience_communication,,,physical_experiment,cooperative_transport_manipulation,auction_market;learning_based;behavior_swarm;consensus_distributed;formation_control;safety_reactive,centralized;distributed_decentralized;leader_follower;hybrid,simulation;physical_experiment;industrial_case,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
C93FF4C9DA235,Issues in Multi-Robot Coalition Formation,Lovekesh Vig; Julie A. Adams,,unknown,Multi-Robot Systems. From Swarms to Intelligent Automata Volume III,10.1007/1-4020-3389-3_2,book-chapter,CORE,P0,landing_or_abstract_like_html,requires_alternative_or_manual_inspection,"Numerous coalition formation algorithms exist in the Distributed Artificial Intelligence literature. Algorithms exist that form agent coalitions in both super additive and non-super additive environments. The employed techniques vary from negotiation-based protocols in Multi-Agent System (MAS) environments to those based on computation in Distributed Problem Solving (DPS) environments. Coalition formation behaviors have also been discussed in the game theory literature. Despite the plethora of multi-agent coalition formation literature, to the best of our knowledge none of these algorithms have been demonstrated with an actual multiple-robot system. There exists a discrepancy between the multiagent algorithms and their applicability to the multiple-robot domain. This work aims to correct that discrepancy by unearthing issues that arise while attempting to tailor these algorithms to the multiple-robot domain. A well-known multipleagent coalition formation algorithm has been studied in order to identify the necessary modifications to facilitate its application to the multiple-robot domain.",147,SP1_coalition_allocation,,distributed_decentralized,,,auction_market;learning_based;behavior_swarm,distributed_decentralized,,,"Title/abstract signals support descriptive mapping only; full-text mentions do not prove implementation, guarantee or performance."
