venue,paper_count
IEEE Access,23
Journal of Intelligent & Robotic Systems,20
Autonomous Robots,12
arXiv,10
Sensors,8
Lecture Notes in Computer Science,7
Frontiers in Robotics and AI,6
Robotica,4
Autonomous Agents and Multi-Agent Systems,4
Robotics and Autonomous Systems,3
IEEE Robotics and Automation Letters,3
Artificial Intelligence Review,3
Proceedings of the AAAI Conference on Artificial Intelligence,3
International Journal of Aeronautical and Space Sciences,3
Current Robotics Reports,2
Lecture notes in control and information sciences,2
INTELLIGENT SERVICE ROBOTICS,2
Intelligent Service Robotics,2
Applied Intelligence,2
Lecture notes in electrical engineering,2
SN Computer Science,2
IEEE Transactions on Wireless Communications,2
Annals of Operations Research,2
IEEE Transactions on Cybernetics,2
UvA-DARE (University of Amsterdam),2
Applied Soft Computing,1
IEEE Open Journal of the Computer Society,1
Multi-Robot Systems. From Swarms to Intelligent Automata Volume III,1
International Journal of Game Theory,1
Distributed Autonomous Robotic Systems 7,1
ePrints Soton (University of Southampton),1
DISTRIBUTED AUTONOMOUS ROBOTIC SYSTEMS,1
PLOS ONE,1
SN Applied Sciences,1
COMPUTATIONAL INTELLIGENCE IN EMERGING TECHNOLOGIES FOR ENGINEERING APPLICATIONS,1
Lecture Notes in Electrical Engineering Proceedings of 2021 5th Chinese Conference on Swarm Intelligence and Cooperative Control,1
The International FLAIRS Conference Proceedings,1
IAES International Journal of Robotics and Automation (IJRA),1
ROBOMECH Journal,1
CMC-COMPUTERS MATERIALS & CONTINUA,1
Scientific Reports,1
Journal of Industrial Intelligence,1
Transactions of the Institute of Measurement and Control,1
INTERNATIONAL JOURNAL OF INTELLIGENT ROBOTICS AND APPLICATIONS,1
Research Square,1
International Journal of Advanced Robotic Systems,1
Journal of Artificial Intelligence Research,1
IntechOpen eBooks,1
European Journal of Operational Research,1
The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),1
International journal of intelligent engineering and systems,1
InTech eBooks,1
Swarm Intelligence,1
IEEE/CAA Journal of Automatica Sinica,1
Advances in intelligent systems and computing,1
IFIP advances in information and communication technology,1
Computer Science,1
The Knowledge Engineering Review,1
Algorithms for intelligent systems,1
Journal of Manufacturing Systems,1
The Visual Computer,1
"INTELLIGENT ROBOTICS AND APPLICATIONS, ICIRA 2024, PT II",1
International Journal of Control Automation and Systems,1
Journal of King Saud University - Computer and Information Sciences,1
Soft Computing,1
Digital Commons - University of South Florida (University of South Florida),1
IEEE Transactions on Robotics and Automation,1
IEEE Transactions on Vehicular Technology,1
Electronics,1
IEEE Transactions on Robotics,1
Evolutionary Intelligence,1
Mechanical sciences,1
Tuwhera (Auckland University of Technology),1
Studies in computational intelligence,1
Discover Computing,1
Cooperative systems,1
Open Journal of Applied Sciences,1
Biomimetics,1
Springer Proceedings in Advanced Robotics Distributed Autonomous Robotic Systems,1
Nature,1
KiltHub Repository,1
AMS Dottorato Institutional Doctoral Theses Repository (University of Bologna),1
Game-Theoretic Learning and Distributed Optimization in Memoryless Multi-Agent Systems,1
Analecta Technica Szegedinensia,1
Ocean Engineering,1
Discover Applied Sciences,1
Journal of Robotics Networking and Artificial Life,1
IEEE Journal on Selected Areas in Communications,1
Communications and Control Engineering Distributed Consensus in Multi-vehicle Cooperative Control,1
QUT ePrints (Queensland University of Technology),1
Systems & Control Letters,1
Automatica,1
Lecture Notes in Computer Science RoboCup 2009: Robot Soccer World Cup XIII,1
Communications and control engineering/Communications and control engineering series,1
Comptes Rendus Mécanique,1
PLoS ONE,1
Springer handbooks,1
IEEE Transactions on Systems Man and Cybernetics Systems,1
ACM Computing Surveys,1
Technology and Economics of Smart Grids and Sustainable Energy,1
Figshare,1
IEEE Transactions on Smart Grid,1
IEEE Transactions on Parallel and Distributed Systems,1
Revue Ouverte d Intelligence Artificielle,1
IEEE Transactions on Software Engineering,1
International Journal of Intelligent Robotics and Applications,1
AIMS Mathematics,1
Advances in Science and Technology – Research Journal,1
International Journal of Computer Integrated Manufacturing,1
Frontiers in Neurorobotics,1
Journal of Engineering Research,1
Scaling of Cooperative Mobile Multi-Robot Systems for Handling and Assembly of Large-Scale Components,1
Science China Information Sciences,1
OPSEARCH,1
Communications Earth & Environment,1
Revista Eletrônica de Iniciação Científica em Computação,1
Robotics and Computer-Integrated Manufacturing,1
