category,period,paper_count,period_denominator,period_share
auction_market,<=2010,8,35,0.229
auction_market,2011-2016,7,40,0.175
auction_market,2017-2021,13,79,0.165
auction_market,2022-2026,12,89,0.135
auction_market,unknown,0,1,0.000
behavior_swarm,<=2010,3,35,0.086
behavior_swarm,2011-2016,2,40,0.050
behavior_swarm,2017-2021,0,79,0.000
behavior_swarm,2022-2026,5,89,0.056
behavior_swarm,unknown,0,1,0.000
consensus_distributed,<=2010,7,35,0.200
consensus_distributed,2011-2016,8,40,0.200
consensus_distributed,2017-2021,25,79,0.316
consensus_distributed,2022-2026,22,89,0.247
consensus_distributed,unknown,0,1,0.000
evolutionary_metaheuristic,<=2010,0,35,0.000
evolutionary_metaheuristic,2011-2016,2,40,0.050
evolutionary_metaheuristic,2017-2021,13,79,0.165
evolutionary_metaheuristic,2022-2026,10,89,0.112
evolutionary_metaheuristic,unknown,0,1,0.000
exact_optimization,<=2010,2,35,0.057
exact_optimization,2011-2016,0,40,0.000
exact_optimization,2017-2021,4,79,0.051
exact_optimization,2022-2026,2,89,0.022
exact_optimization,unknown,0,1,0.000
force_impedance_control,<=2010,0,35,0.000
force_impedance_control,2011-2016,0,40,0.000
force_impedance_control,2017-2021,0,79,0.000
force_impedance_control,2022-2026,2,89,0.022
force_impedance_control,unknown,0,1,0.000
formation_control,<=2010,5,35,0.143
formation_control,2011-2016,2,40,0.050
formation_control,2017-2021,4,79,0.051
formation_control,2022-2026,7,89,0.079
formation_control,unknown,0,1,0.000
game_theoretic,<=2010,1,35,0.029
game_theoretic,2011-2016,2,40,0.050
game_theoretic,2017-2021,3,79,0.038
game_theoretic,2022-2026,3,89,0.034
game_theoretic,unknown,0,1,0.000
graph_search_mapf,<=2010,0,35,0.000
graph_search_mapf,2011-2016,0,40,0.000
graph_search_mapf,2017-2021,0,79,0.000
graph_search_mapf,2022-2026,2,89,0.022
graph_search_mapf,unknown,0,1,0.000
learning_based,<=2010,1,35,0.029
learning_based,2011-2016,2,40,0.050
learning_based,2017-2021,14,79,0.177
learning_based,2022-2026,14,89,0.157
learning_based,unknown,0,1,0.000
model_predictive_control,<=2010,0,35,0.000
model_predictive_control,2011-2016,0,40,0.000
model_predictive_control,2017-2021,0,79,0.000
model_predictive_control,2022-2026,2,89,0.022
model_predictive_control,unknown,0,1,0.000
safety_reactive,<=2010,0,35,0.000
safety_reactive,2011-2016,1,40,0.025
safety_reactive,2017-2021,2,79,0.025
safety_reactive,2022-2026,6,89,0.067
safety_reactive,unknown,0,1,0.000
