category,period,paper_count,period_denominator,period_share
CONTEXT_other,<=2010,6,35,0.171
CONTEXT_other,2011-2016,16,40,0.400
CONTEXT_other,2017-2021,19,79,0.241
CONTEXT_other,2022-2026,31,89,0.348
CONTEXT_other,unknown,0,1,0.000
SP1_coalition_allocation,<=2010,16,35,0.457
SP1_coalition_allocation,2011-2016,20,40,0.500
SP1_coalition_allocation,2017-2021,38,79,0.481
SP1_coalition_allocation,2022-2026,40,89,0.449
SP1_coalition_allocation,unknown,1,1,1.000
SP2_physical_transport,<=2010,3,35,0.086
SP2_physical_transport,2011-2016,1,40,0.025
SP2_physical_transport,2017-2021,4,79,0.051
SP2_physical_transport,2022-2026,7,89,0.079
SP2_physical_transport,unknown,0,1,0.000
SP3_planning_traffic,<=2010,1,35,0.029
SP3_planning_traffic,2011-2016,3,40,0.075
SP3_planning_traffic,2017-2021,9,79,0.114
SP3_planning_traffic,2022-2026,7,89,0.079
SP3_planning_traffic,unknown,0,1,0.000
TRANSVERSAL_resilience_communication,<=2010,14,35,0.400
TRANSVERSAL_resilience_communication,2011-2016,10,40,0.250
TRANSVERSAL_resilience_communication,2017-2021,28,79,0.354
TRANSVERSAL_resilience_communication,2022-2026,27,89,0.303
TRANSVERSAL_resilience_communication,unknown,0,1,0.000
