category,paper_count,denominator,share
consensus_distributed,62,244,0.254
auction_market,40,244,0.164
learning_based,31,244,0.127
evolutionary_metaheuristic,25,244,0.102
formation_control,18,244,0.074
behavior_swarm,10,244,0.041
game_theoretic,9,244,0.037
safety_reactive,9,244,0.037
exact_optimization,8,244,0.033
model_predictive_control,2,244,0.008
force_impedance_control,2,244,0.008
graph_search_mapf,2,244,0.008
