category,paper_count,denominator,share
search_rescue_exploration,33,244,0.135
aerial_uav,27,244,0.111
warehouse_logistics,18,244,0.074
cooperative_transport_manipulation,14,244,0.057
construction_agriculture,11,244,0.045
underwater_marine,6,244,0.025
