year,count
1979,1
1988,1
1996,1
1997,1
1999,1
2000,1
2002,3
2003,2
2004,2
2005,4
2006,2
2007,3
2008,4
2009,2
2010,7
2011,6
2012,6
2013,7
2014,5
2015,10
2016,6
2017,12
2018,13
2019,16
2020,16
2021,22
2022,12
2023,16
2024,9
2025,19
2026,33
unknown,1
