left,right,paper_count
auction_market,consensus_distributed,18
consensus_distributed,learning_based,11
consensus_distributed,formation_control,8
consensus_distributed,evolutionary_metaheuristic,5
learning_based,safety_reactive,4
formation_control,learning_based,3
formation_control,safety_reactive,3
evolutionary_metaheuristic,exact_optimization,3
auction_market,evolutionary_metaheuristic,3
auction_market,exact_optimization,2
consensus_distributed,game_theoretic,2
consensus_distributed,exact_optimization,2
game_theoretic,learning_based,2
behavior_swarm,consensus_distributed,2
evolutionary_metaheuristic,game_theoretic,1
auction_market,behavior_swarm,1
consensus_distributed,model_predictive_control,1
evolutionary_metaheuristic,graph_search_mapf,1
game_theoretic,safety_reactive,1
behavior_swarm,game_theoretic,1
evolutionary_metaheuristic,learning_based,1
behavior_swarm,evolutionary_metaheuristic,1
auction_market,learning_based,1
behavior_swarm,learning_based,1
consensus_distributed,safety_reactive,1
formation_control,graph_search_mapf,1
behavior_swarm,formation_control,1
