author_left,author_right,paper_count
Jingxiang Feng,Peng Chang,1
Jingxiang Feng,Shaokun Yan,1
Peng Chang,Shaokun Yan,1
Bernhard Rinner,Petra Mazdin,1
Celimuge Wu,Min Lin,1
Celimuge Wu,Tsutomu Yoshinaga,1
Celimuge Wu,Xing An,1
Celimuge Wu,Yangfei Lin,1
Celimuge Wu,Yusheng Ji,1
Min Lin,Tsutomu Yoshinaga,1
Min Lin,Xing An,1
Min Lin,Yangfei Lin,1
Min Lin,Yusheng Ji,1
Tsutomu Yoshinaga,Xing An,1
Tsutomu Yoshinaga,Yangfei Lin,1
Tsutomu Yoshinaga,Yusheng Ji,1
Xing An,Yangfei Lin,1
Xing An,Yusheng Ji,1
Yangfei Lin,Yusheng Ji,1
C. P. Tang,M. Abou-Samah,1
C. P. Tang,R. M. Bhatt,1
C. P. Tang,V. Krovi,1
M. Abou-Samah,R. M. Bhatt,1
M. Abou-Samah,V. Krovi,1
R. M. Bhatt,V. Krovi,1
"Adams, Julie A.","Vig, Lovekesh",1
Alessandro Farinelli,Cuong Truong,1
Alessandro Farinelli,Maria Polukarov,1
Alessandro Farinelli,Nicholas R. Jennings,1
Alessandro Farinelli,Sarvapali D. Ramchurn,1
Cuong Truong,Maria Polukarov,1
Cuong Truong,Nicholas R. Jennings,1
Cuong Truong,Sarvapali D. Ramchurn,1
Maria Polukarov,Nicholas R. Jennings,1
Maria Polukarov,Sarvapali D. Ramchurn,1
Nicholas R. Jennings,Sarvapali D. Ramchurn,1
Alexey S. Matveev,Andrey V. Savkin,1
Alexey S. Matveev,Michael Hoy,1
Andrey V. Savkin,Michael Hoy,1
"Adouane, L.","Doroftei, I.",1
"Adouane, L.","Fauroux, J. -C.",1
"Adouane, L.","Hichri, B.",1
"Adouane, L.","Mezouar, Y.",1
"Doroftei, I.","Fauroux, J. -C.",1
"Doroftei, I.","Hichri, B.",1
"Doroftei, I.","Mezouar, Y.",1
"Fauroux, J. -C.","Hichri, B.",1
"Fauroux, J. -C.","Mezouar, Y.",1
"Hichri, B.","Mezouar, Y.",1
"Guerrero, Jose","Oliver, Gabriel",1
"Guerrero, Jose","Valero, Oscar",1
"Oliver, Gabriel","Valero, Oscar",1
Anton Dukeman,Julie A. Adams,1
Lakmal Seneviratne,Randa Almadhoun,1
Lakmal Seneviratne,Tarek Taha,1
Lakmal Seneviratne,Yahya Zweiri,1
Randa Almadhoun,Tarek Taha,1
Randa Almadhoun,Yahya Zweiri,1
Tarek Taha,Yahya Zweiri,1
"Muhuri, Pranab K.","Rauniyar, Amit",1
Andrew Barth,Lin Zhang,1
Andrew Barth,Ou Ma,1
Andrew Barth,Yufeng Sun,1
Lin Zhang,Ou Ma,1
Lin Zhang,Yufeng Sun,1
Ou Ma,Yufeng Sun,1
Patryk Cieśląk,Pedro J. Sanz,1
Patryk Cieśląk,Pere Ridao,1
Patryk Cieśląk,Roger Pi,1
Pedro J. Sanz,Pere Ridao,1
Pedro J. Sanz,Roger Pi,1
Pere Ridao,Roger Pi,1
Carlo Masone,Paolo Stegagno,1
Antonios Tsourdos,George Marios Skaltsis,1
Antonios Tsourdos,Hyo‐Sang Shin,1
George Marios Skaltsis,Hyo‐Sang Shin,1
Chuang Huang,Hao Zhang,1
Chuang Huang,Zhuping Wang,1
Hao Zhang,Zhuping Wang,1
Hung Manh La,Russell Keith,1
Ayan Dutta,Brenden Latham,1
Ayan Dutta,Vladimir Ufimtsev,1
Brenden Latham,Vladimir Ufimtsev,1
Ahmed M. Elsayed,Mohamed Elshalakani,1
Ahmed M. Elsayed,Shady Ahmed Maged,1
Ahmed M. Elsayed,Sherif Ali Hammad,1
Mohamed Elshalakani,Shady Ahmed Maged,1
Mohamed Elshalakani,Sherif Ali Hammad,1
Shady Ahmed Maged,Sherif Ali Hammad,1
Daisuke Mizuno,Fumitoshi Matsuno,1
Daisuke Mizuno,Takahiro Endo,1
Daisuke Mizuno,Takumi Koshimoto,1
Daisuke Mizuno,Tatsuro Terakawa,1
Daisuke Mizuno,Yoshihiro Morimoto,1
Daisuke Mizuno,Yuto Fukao,1
Fumitoshi Matsuno,Takahiro Endo,1
Fumitoshi Matsuno,Takumi Koshimoto,1
Fumitoshi Matsuno,Tatsuro Terakawa,1
Fumitoshi Matsuno,Yoshihiro Morimoto,1
Fumitoshi Matsuno,Yuto Fukao,1
Takahiro Endo,Takumi Koshimoto,1
Takahiro Endo,Tatsuro Terakawa,1
Takahiro Endo,Yoshihiro Morimoto,1
Takahiro Endo,Yuto Fukao,1
Takumi Koshimoto,Tatsuro Terakawa,1
Takumi Koshimoto,Yoshihiro Morimoto,1
Takumi Koshimoto,Yuto Fukao,1
Tatsuro Terakawa,Yoshihiro Morimoto,1
Tatsuro Terakawa,Yuto Fukao,1
Yoshihiro Morimoto,Yuto Fukao,1
"Elghirani, Ali","Gul, Omer Melih",1
"Elghirani, Ali","Hamidoglu, Ali",1
"Elghirani, Ali","Kadry, Seifedine",1
"Gul, Omer Melih","Hamidoglu, Ali",1
"Gul, Omer Melih","Kadry, Seifedine",1
"Hamidoglu, Ali","Kadry, Seifedine",1
Ayman A. Nada,Haitham El-Hussieny,1
Ayman A. Nada,Ibrahim Muhammed,1
Haitham El-Hussieny,Ibrahim Muhammed,1
Ciro Natale,Giuseppe De Maria,1
Ciro Natale,Marco Costanzo,1
Ciro Natale,Marco De Simone,1
Giuseppe De Maria,Marco Costanzo,1
Giuseppe De Maria,Marco De Simone,1
Marco Costanzo,Marco De Simone,1
José-Fernán Martínez-Ortega,Mario San-Emeterio-de-la-Parte,1
José-Fernán Martínez-Ortega,Néstor Lucas-Martínez,1
José-Fernán Martínez-Ortega,Xi Tao,1
Mario San-Emeterio-de-la-Parte,Néstor Lucas-Martínez,1
Mario San-Emeterio-de-la-Parte,Xi Tao,1
Néstor Lucas-Martínez,Xi Tao,1
"Behera, Laxmidhar","Coleman, Sonya A.",1
"Behera, Laxmidhar","Das, Gautham P.",1
"Behera, Laxmidhar","McGinnity, Thomas M.",1
"Coleman, Sonya A.","Das, Gautham P.",1
"Coleman, Sonya A.","McGinnity, Thomas M.",1
"Das, Gautham P.","McGinnity, Thomas M.",1
Janardan Kumar Verma,Virender Ranga,1
Ajay Shankar,Jennifer Gielis,1
Amanda Prorok,Jennifer Gielis,1
Jie Song,Naoki Wakamiya,1
Jie Song,Yang Bai,1
Naoki Wakamiya,Yang Bai,1
Daniel Harabor,Javier Alonso–Mora,1
Daniel Harabor,Peter J. Stuckey,1
Daniel Harabor,Xiaoshan Bai,1
Daniel Harabor,Zhe Chen,1
Javier Alonso–Mora,Peter J. Stuckey,1
Javier Alonso–Mora,Xiaoshan Bai,1
Javier Alonso–Mora,Zhe Chen,1
Peter J. Stuckey,Xiaoshan Bai,1
Peter J. Stuckey,Zhe Chen,1
Xiaoshan Bai,Zhe Chen,1
Liang Liu,Qian Luo,1
Liang Liu,Zhe Huang,1
Qian Luo,Zhe Huang,1
David Hershberger,Josué J. G. Ramos,1
David Hershberger,Reid Simmons,1
David Hershberger,Sanjiv Singh,1
David Hershberger,Trey Smith,1
Josué J. G. Ramos,Reid Simmons,1
Josué J. G. Ramos,Sanjiv Singh,1
Josué J. G. Ramos,Trey Smith,1
Reid Simmons,Trey Smith,1
Sanjiv Singh,Trey Smith,1
"Arun, A. R.","Nath, Amar",1
"Arun, A. R.","Niyogi, Rajdeep",1
"Nath, Amar","Niyogi, Rajdeep",1
Eduardo Feo Flushing,Gianni A. Di,1
Eduardo Feo Flushing,Luca Maria Gambardella,1
Gianni A. Di,Luca Maria Gambardella,1
"Duhan, Tanishq","Gautam, Avinash",1
"Duhan, Tanishq","Mohan, Sudeept",1
"Duhan, Tanishq","Shekhawat, V. S.",1
"Duhan, Tanishq","Verma, Ashish",1
"Gautam, Avinash","Mohan, Sudeept",1
"Gautam, Avinash","Shekhawat, V. S.",1
"Gautam, Avinash","Verma, Ashish",1
"Mohan, Sudeept","Shekhawat, V. S.",1
"Mohan, Sudeept","Verma, Ashish",1
"Shekhawat, V. S.","Verma, Ashish",1
Fumin Zhang,H M Zhang,1
Fumin Zhang,Huan Yin,1
Fumin Zhang,Shengkang Chen,1
Fumin Zhang,Ziyi Xia,1
H M Zhang,Huan Yin,1
H M Zhang,Shengkang Chen,1
H M Zhang,Ziyi Xia,1
Huan Yin,Shengkang Chen,1
Huan Yin,Ziyi Xia,1
Shengkang Chen,Ziyi Xia,1
Arab Ali Chérif,Nicolas Jouandeau,1
Arab Ali Chérif,Zhi Yan,1
Dylan A. Shell,Nathan Michael,1
Lantao Liu,Nathan Michael,1
Daan Bloembergen,Daniel Hennes,1
Daan Bloembergen,Karl Tuyls,1
Daan Bloembergen,Michael Kaisers,1
Daniel Hennes,Michael Kaisers,1
Karl Tuyls,Michael Kaisers,1
Nohaidda Sariff,Zool Hilmi Ismail,1
Abdollah Amirkhani,Amir Hossein Barshooi,1
Fabio Sgarbossa,René de Koster,1
Giuseppe Fragapane,René de Koster,1
Jan Ola Strandhagen,René de Koster,1
Ayan Dutta,James Orr,1
Jiawei Cao,Rodney Teo,1
Jiawei Cao,Wai Lun Leong,1
Rodney Teo,Wai Lun Leong,1
Alejandro Toro-Ossaba,Daniel Sanín-Villa,1
Alexandro López-González,Daniel Sanín-Villa,1
Daniel Sanín-Villa,E. G. Hernández-Martínez,1
Daniel Sanín-Villa,Juan C. Tejada,1
Mahardhika Pratama,Mohamad Abdul Hady,1
Mahardhika Pratama,Ryszard Kowalczyk,1
Mahardhika Pratama,Siyi Hu,1
Mahardhika Pratama,Zehong Cao,1
Mohamad Abdul Hady,Ryszard Kowalczyk,1
Mohamad Abdul Hady,Siyi Hu,1
Mohamad Abdul Hady,Zehong Cao,1
Ryszard Kowalczyk,Siyi Hu,1
Ryszard Kowalczyk,Zehong Cao,1
Siyi Hu,Zehong Cao,1
Alexander A. Nguyen,Brooks A. Butler,1
Alexander A. Nguyen,David R. Martin,1
Alexander A. Nguyen,Diana Morales,1
Alexander A. Nguyen,Magnus Egerstedt,1
Alexander A. Nguyen,Riwa Karam,1
Alexander A. Nguyen,Ruoyu Lin,1
Brooks A. Butler,David R. Martin,1
Brooks A. Butler,Diana Morales,1
Brooks A. Butler,Magnus Egerstedt,1
Brooks A. Butler,Riwa Karam,1
Brooks A. Butler,Ruoyu Lin,1
David R. Martin,Diana Morales,1
David R. Martin,Magnus Egerstedt,1
David R. Martin,Riwa Karam,1
David R. Martin,Ruoyu Lin,1
Diana Morales,Magnus Egerstedt,1
Diana Morales,Riwa Karam,1
Diana Morales,Ruoyu Lin,1
Magnus Egerstedt,Riwa Karam,1
Magnus Egerstedt,Ruoyu Lin,1
Riwa Karam,Ruoyu Lin,1
Kazuhiro Kosuge,Yasuhisa Hirata,1
Kazuhiro Kosuge,ZhiDong Wang,1
Yasuhisa Hirata,ZhiDong Wang,1
Dongqing Shi,Emmanuel G. Collins,1
Dongqing Shi,Kai Zhang,1
Dongqing Shi,Oscar Chuy,1
Dongqing Shi,Xiuwen Liu,1
Emmanuel G. Collins,Oscar Chuy,1
Emmanuel G. Collins,Xiuwen Liu,1
Kai Zhang,Oscar Chuy,1
Kai Zhang,Xiuwen Liu,1
Oscar Chuy,Xiuwen Liu,1
Deshi Li,Guangmin Zhang,1
Deshi Li,Jian Chen,1
Deshi Li,Xiangguo Yang,1
Deshi Li,Yanyan Han,1
Deshi Li,Yuxi Hu,1
Guangmin Zhang,Jian Chen,1
Guangmin Zhang,Xiangguo Yang,1
Guangmin Zhang,Yanyan Han,1
Guangmin Zhang,Yuxi Hu,1
Jian Chen,Xiangguo Yang,1
Jian Chen,Yanyan Han,1
Jian Chen,Yuxi Hu,1
Xiangguo Yang,Yanyan Han,1
Xiangguo Yang,Yuxi Hu,1
Yanyan Han,Yuxi Hu,1
Ahmed Elmogy,Alaa Khamis,1
Ahmed Elmogy,Fakhri Karray,1
Alaa Khamis,Fakhri Karray,1
Gabriel Oliver,José Guerrero,1
Lynne E. Parker,Yu Zhang,1
Arne Brutschy,Carlo Pinciroli,1
Arne Brutschy,Giovanni Pini,1
Arne Brutschy,Marco Dorigo,1
Arne Brutschy,Mauro Birattari,1
Carlo Pinciroli,Giovanni Pini,1
Carlo Pinciroli,Marco Dorigo,1
Carlo Pinciroli,Mauro Birattari,1
Giovanni Pini,Marco Dorigo,1
Giovanni Pini,Mauro Birattari,1
Marco Dorigo,Mauro Birattari,1
"Keshmiri, Soheil","Payandeh, Shahram",1
Bo Gao,Guo Ji,1
Bo Gao,Rongxin Cui,1
Guo Ji,Rongxin Cui,1
Hyeoncheol Baik,Min-Hyuk Kim,1
Hyeoncheol Baik,Seokcheon Lee,1
Min-Hyuk Kim,Seokcheon Lee,1
Anshul Kanakia,Behrouz Touri,1
Anshul Kanakia,Nikolaus Correll,1
Behrouz Touri,Nikolaus Correll,1
Danfeng Wu,Guangping Zeng,1
Danfeng Wu,Ling‐Guo Meng,1
Danfeng Wu,Linmin Li,1
Danfeng Wu,Weijian Zhou,1
Guangping Zeng,Ling‐Guo Meng,1
Guangping Zeng,Linmin Li,1
Guangping Zeng,Weijian Zhou,1
Ling‐Guo Meng,Linmin Li,1
Ling‐Guo Meng,Weijian Zhou,1
Linmin Li,Weijian Zhou,1
Elizabeth Sklar,Eric Schneider,1
Elizabeth Sklar,Simon Parsons,1
Eric Schneider,Simon Parsons,1
Andrew J. Hill,Andrew W. Palmer,1
Andrew J. Hill,Steven J. Scheding,1
Andrew W. Palmer,Steven J. Scheding,1
Huimin Lu,Zhiwen Zeng,1
Junhao Xiao,Zhiwen Zeng,1
Wei Dai,Zhiwen Zeng,1
Zhiqiang Zheng,Zhiwen Zeng,1
Han Luo,Hongguang Zhang,1
Han Luo,Yuanan Liu,1
Han Luo,Yuhong Liu,1
Han Luo,Zan Wang,1
Hongguang Zhang,Yuanan Liu,1
Hongguang Zhang,Yuhong Liu,1
Hongguang Zhang,Zan Wang,1
Yuanan Liu,Yuhong Liu,1
Yuanan Liu,Zan Wang,1
Yuhong Liu,Zan Wang,1
Esther Bischoff,Fabian Meyer,1
Esther Bischoff,Jairo Inga,1
Esther Bischoff,Sören Hohmann,1
Fabian Meyer,Jairo Inga,1
Fabian Meyer,Sören Hohmann,1
Jairo Inga,Sören Hohmann,1
Gita Sukthankar,Vera A. Kazakova,1
Eduardo F. Camacho,José Ramón D. Frejo,1
Eduardo F. Camacho,Ramón Albajes García,1
Javier García Martín,José Ramón D. Frejo,1
Javier García Martín,Ramón Albajes García,1
José Ramón D. Frejo,Ramón Albajes García,1
Itshak Tkach,Sofia Amador,1
"Buehling, Russell K.","Lindsay, Nathan",1
"Buehling, Russell K.","Sun, Liang",1
"Lindsay, Nathan","Sun, Liang",1
Davy Pissoort,Eric Demeester,1
Davy Pissoort,Matthias De Ryck,1
Davy Pissoort,Tom Holvoet,1
Eric Demeester,Matthias De Ryck,1
Eric Demeester,Tom Holvoet,1
Matthias De Ryck,Tom Holvoet,1
Kossar Jeddisaravi,Reza Javanmard Alitappeh,1
Ali Pourmiri,Arindam Pal,1
Ali Pourmiri,Brendan Sims,1
Ali Pourmiri,Fahimeh Ramezani,1
Ali Pourmiri,Haris Aziz,1
Arindam Pal,Brendan Sims,1
Arindam Pal,Fahimeh Ramezani,1
Arindam Pal,Haris Aziz,1
Brendan Sims,Fahimeh Ramezani,1
Brendan Sims,Haris Aziz,1
Fahimeh Ramezani,Haris Aziz,1
Chun Yang,Feixiang Huo,1
Chun Yang,Jie Zhou,1
Chun Yang,Qi Zhang,1
Chun Yang,Shengli Wang,1
Chun Yang,Yafan Huangfu,1
Chun Yang,Yongtao Qiu,1
Chun Yang,Youjiang Liu,1
Feixiang Huo,Jie Zhou,1
Feixiang Huo,Qi Zhang,1
Feixiang Huo,Shengli Wang,1
Feixiang Huo,Yafan Huangfu,1
Feixiang Huo,Yongtao Qiu,1
Feixiang Huo,Youjiang Liu,1
Jie Zhou,Qi Zhang,1
Jie Zhou,Shengli Wang,1
Jie Zhou,Yafan Huangfu,1
Jie Zhou,Yongtao Qiu,1
Jie Zhou,Youjiang Liu,1
Qi Zhang,Shengli Wang,1
Qi Zhang,Yafan Huangfu,1
Qi Zhang,Yongtao Qiu,1
Qi Zhang,Youjiang Liu,1
Shengli Wang,Yafan Huangfu,1
Shengli Wang,Yongtao Qiu,1
Shengli Wang,Youjiang Liu,1
Yafan Huangfu,Yongtao Qiu,1
Yafan Huangfu,Youjiang Liu,1
Yongtao Qiu,Youjiang Liu,1
Jiahui Yan,Libo Sun,1
Jiahui Yan,Wenhu Qin,1
Jiahui Yan,Yongchun Qiu,1
Libo Sun,Wenhu Qin,1
Libo Sun,Yongchun Qiu,1
Wenhu Qin,Yongchun Qiu,1
"Pan, Jian","Tan, Sicheng",1
"Pan, Jian","Xi, Runhao",1
"Pan, Jian","Xiao, Bowen",1
"Pan, Jian","Zhang, Bo",1
"Tan, Sicheng","Xi, Runhao",1
"Tan, Sicheng","Xiao, Bowen",1
"Tan, Sicheng","Zhang, Bo",1
"Xi, Runhao","Xiao, Bowen",1
"Xi, Runhao","Zhang, Bo",1
"Xiao, Bowen","Zhang, Bo",1
Alejandro Toro-Ossaba,David Rozo-Osorio,1
Alejandro Toro-Ossaba,Isis Bonet Cruz,1
Alejandro Toro-Ossaba,Mario Góngora,1
Alejandro Toro-Ossaba,María A. López-Quintero,1
Alexandro López-González,David Rozo-Osorio,1
Alexandro López-González,Isis Bonet Cruz,1
Alexandro López-González,Mario Góngora,1
Alexandro López-González,María A. López-Quintero,1
David Rozo-Osorio,E. G. Hernández-Martínez,1
David Rozo-Osorio,Isis Bonet Cruz,1
David Rozo-Osorio,Juan C. Tejada,1
David Rozo-Osorio,Mario Góngora,1
David Rozo-Osorio,María A. López-Quintero,1
E. G. Hernández-Martínez,Isis Bonet Cruz,1
E. G. Hernández-Martínez,Mario Góngora,1
E. G. Hernández-Martínez,María A. López-Quintero,1
Isis Bonet Cruz,Juan C. Tejada,1
Isis Bonet Cruz,Mario Góngora,1
Isis Bonet Cruz,María A. López-Quintero,1
Juan C. Tejada,Mario Góngora,1
Juan C. Tejada,María A. López-Quintero,1
Mario Góngora,María A. López-Quintero,1
C. L.,Esteban Clua,1
C. L.,Gabrielle O. Timotheo,1
C. L.,Iago Z. Biundini,1
C. L.,Leonardo de Mello Honório,1
C. L.,Milena F. Pinto,1
C. L.,Tatiana M. B. Santos,1
Esteban Clua,Gabrielle O. Timotheo,1
Esteban Clua,Iago Z. Biundini,1
Esteban Clua,Leonardo de Mello Honório,1
Esteban Clua,Milena F. Pinto,1
Esteban Clua,Tatiana M. B. Santos,1
Gabrielle O. Timotheo,Iago Z. Biundini,1
Gabrielle O. Timotheo,Leonardo de Mello Honório,1
Gabrielle O. Timotheo,Milena F. Pinto,1
Gabrielle O. Timotheo,Tatiana M. B. Santos,1
Iago Z. Biundini,Leonardo de Mello Honório,1
Iago Z. Biundini,Milena F. Pinto,1
Iago Z. Biundini,Tatiana M. B. Santos,1
Leonardo de Mello Honório,Milena F. Pinto,1
Leonardo de Mello Honório,Tatiana M. B. Santos,1
Milena F. Pinto,Tatiana M. B. Santos,1
Fuhan Yan,Yang Wang,1
Fuhan Yan,Yifei Li,1
Fuhan Yan,Yiwen Liang,1
Fuhan Yan,Yuang Sheng,1
Yang Wang,Yifei Li,1
Yang Wang,Yiwen Liang,1
Yang Wang,Yuang Sheng,1
Yifei Li,Yiwen Liang,1
Yifei Li,Yuang Sheng,1
Yiwen Liang,Yuang Sheng,1
Huizhen Yang,Jie Yang,1
Huizhen Yang,Junfeng Fan,1
Huizhen Yang,Qiang Wang,1
Huizhen Yang,Yuchen Lin,1
Jie Yang,Junfeng Fan,1
Jie Yang,Qiang Wang,1
Jie Yang,Yuchen Lin,1
Junfeng Fan,Qiang Wang,1
Junfeng Fan,Yuchen Lin,1
Qiang Wang,Yuchen Lin,1
Hao Tan,Junkai Yi,1
Hao Tan,Lingling Tan,1
Hao Tan,Xuefeng Gao,1
Hao Tan,Yue Wang,1
Hao Tan,Zhen Liu,1
Junkai Yi,Lingling Tan,1
Junkai Yi,Xuefeng Gao,1
Junkai Yi,Yue Wang,1
Junkai Yi,Zhen Liu,1
Lingling Tan,Xuefeng Gao,1
Lingling Tan,Yue Wang,1
Lingling Tan,Zhen Liu,1
Xuefeng Gao,Yue Wang,1
Xuefeng Gao,Zhen Liu,1
Yue Wang,Zhen Liu,1
"Brinon-Arranz, Lara","Durand, Sylvain",1
"Brinon-Arranz, Lara","Enriquez-Caldera, Rogerio",1
"Brinon-Arranz, Lara","Guerrero-Castellanos, Jose Fermi",1
"Brinon-Arranz, Lara","Marchand, Nicolas",1
"Brinon-Arranz, Lara","Mendoza-Robles, Natalio",1
"Brinon-Arranz, Lara","Namigtle-Jimenez, Alfredo",1
"Brinon-Arranz, Lara","Susbielle, Pierre",1
"Durand, Sylvain","Enriquez-Caldera, Rogerio",1
"Durand, Sylvain","Guerrero-Castellanos, Jose Fermi",1
"Durand, Sylvain","Marchand, Nicolas",1
"Durand, Sylvain","Mendoza-Robles, Natalio",1
"Durand, Sylvain","Namigtle-Jimenez, Alfredo",1
"Durand, Sylvain","Susbielle, Pierre",1
"Enriquez-Caldera, Rogerio","Guerrero-Castellanos, Jose Fermi",1
"Enriquez-Caldera, Rogerio","Marchand, Nicolas",1
"Enriquez-Caldera, Rogerio","Mendoza-Robles, Natalio",1
"Enriquez-Caldera, Rogerio","Namigtle-Jimenez, Alfredo",1
"Enriquez-Caldera, Rogerio","Susbielle, Pierre",1
"Guerrero-Castellanos, Jose Fermi","Marchand, Nicolas",1
"Guerrero-Castellanos, Jose Fermi","Mendoza-Robles, Natalio",1
"Guerrero-Castellanos, Jose Fermi","Namigtle-Jimenez, Alfredo",1
"Guerrero-Castellanos, Jose Fermi","Susbielle, Pierre",1
"Marchand, Nicolas","Mendoza-Robles, Natalio",1
"Marchand, Nicolas","Namigtle-Jimenez, Alfredo",1
"Marchand, Nicolas","Susbielle, Pierre",1
"Mendoza-Robles, Natalio","Namigtle-Jimenez, Alfredo",1
"Mendoza-Robles, Natalio","Susbielle, Pierre",1
"Namigtle-Jimenez, Alfredo","Susbielle, Pierre",1
Fang Yao,Jie Mei,1
Fang Yao,Youmin Gong,1
Jie Mei,Youmin Gong,1
Adrian Barbu,Emmanuel G. Collins,1
Adrian Barbu,Kai Zhang,1
Shaokun Yan,Yuanqing Xia,1
Boyoon Jung,Gaurav S. Sukhatme,1
Enrico Pagello,Lynne E. Parker,1
Enrico Pagello,Tamio Arai,1
Lynne E. Parker,Tamio Arai,1
Luiz Chaimowicz,Mário F. M. Campos,1
Luiz Chaimowicz,Vijay Kumar,1
Mário F. M. Campos,Vijay Kumar,1
Keigo Watanabe,Kiyotaka Izumi,1
Keigo Watanabe,Maki K. Habib,1
Keigo Watanabe,Sajal Chandra Banik,1
Kiyotaka Izumi,Maki K. Habib,1
Kiyotaka Izumi,Sajal Chandra Banik,1
Maki K. Habib,Sajal Chandra Banik,1
Anı́bal Ollero,Fernando Caballero,1
Anı́bal Ollero,Iván Maza,1
Anı́bal Ollero,J. R. Martínez-de-Dios,1
Anı́bal Ollero,Jesús Capitán,1
Fernando Caballero,Iván Maza,1
Fernando Caballero,J. R. Martínez-de-Dios,1
Fernando Caballero,Jesús Capitán,1
Iván Maza,J. R. Martínez-de-Dios,1
Iván Maza,Jesús Capitán,1
J. R. Martínez-de-Dios,Jesús Capitán,1
David Gossow,Dietrich Paulus,1
David Gossow,Sebastian Vetter,1
David Gossow,Viktor Seib,1
Dietrich Paulus,Sebastian Vetter,1
Dietrich Paulus,Viktor Seib,1
Sebastian Vetter,Viktor Seib,1
Arab Ali-Chérif,Nicolas Jouandeau,1
Arab Ali-Chérif,Zhi Yan,1
Alberto Quattrini Li,Nicola Basilico,1
Francesco Amigoni,Nicola Basilico,1
Alborz Geramifard,Jonathan P. How,1
Alborz Geramifard,Luke B. Johnson,1
