review_version,source,execution_id,query_id,window_id,exact_query,adapter_query,endpoint,from_year,to_year,reported_result_count,returned_record_count,status,error,executed_at_utc
V3,arxiv,F01_primary,F01,primary,multi-robot coalition formation,"{""max_results"": 25, ""search_query"": ""all:multi-robot AND (all:coalition OR all:formation)"", ""sortBy"": ""relevance"", ""sortOrder"": ""descending"", ""start"": 0}",https://export.arxiv.org/api/query,2000,2026,0,0,rate_limited,HTTP 429; retry_after=2.0,2026-09-13T23:42:30.503410+00:00
V3,arxiv,F02_primary,F02,primary,heterogeneous multi-robot task allocation,"{""max_results"": 25, ""search_query"": ""all:heterogeneous AND (all:multi-robot OR all:task OR all:allocation)"", ""sortBy"": ""relevance"", ""sortOrder"": ""descending"", ""start"": 0}",https://export.arxiv.org/api/query,2000,2026,0,0,network_blocked,provider circuit breaker open after a connection failure,2026-09-13T23:42:30.503806+00:00
V3,arxiv,F03_primary,F03,primary,game theoretic multi-robot task allocation,"{""max_results"": 25, ""search_query"": ""all:game AND (all:theoretic OR all:multi-robot OR all:task OR all:allocation)"", ""sortBy"": ""relevance"", ""sortOrder"": ""descending"", ""start"": 0}",https://export.arxiv.org/api/query,2000,2026,0,0,network_blocked,provider circuit breaker open after a connection failure,2026-09-13T23:42:30.504085+00:00
V3,arxiv,F03_foundational,F03,foundational,game theoretic multi-robot task allocation,"{""max_results"": 25, ""search_query"": ""all:game AND (all:theoretic OR all:multi-robot OR all:task OR all:allocation)"", ""sortBy"": ""relevance"", ""sortOrder"": ""descending"", ""start"": 0}",https://export.arxiv.org/api/query,1940,1999,0,0,network_blocked,provider circuit breaker open after a connection failure,2026-09-13T23:42:30.504368+00:00
V3,arxiv,F04_primary,F04,primary,distributed auction consensus multi-robot task allocation,"{""max_results"": 25, ""search_query"": ""all:distributed AND (all:auction OR all:consensus OR all:multi-robot OR all:task OR all:allocation)"", ""sortBy"": ""relevance"", ""sortOrder"": ""descending"", ""start"": 0}",https://export.arxiv.org/api/query,2000,2026,0,0,network_blocked,provider circuit breaker open after a connection failure,2026-09-13T23:42:30.504624+00:00
V3,arxiv,F05_primary,F05,primary,multi-robot cooperative payload transport,"{""max_results"": 25, ""search_query"": ""all:multi-robot AND (all:cooperative OR all:payload OR all:transport)"", ""sortBy"": ""relevance"", ""sortOrder"": ""descending"", ""start"": 0}",https://export.arxiv.org/api/query,2000,2026,0,0,network_blocked,provider circuit breaker open after a connection failure,2026-09-13T23:42:30.504864+00:00
V3,arxiv,F05_foundational,F05,foundational,multi-robot cooperative payload transport,"{""max_results"": 25, ""search_query"": ""all:multi-robot AND (all:cooperative OR all:payload OR all:transport)"", ""sortBy"": ""relevance"", ""sortOrder"": ""descending"", ""start"": 0}",https://export.arxiv.org/api/query,1940,1999,0,0,network_blocked,provider circuit breaker open after a connection failure,2026-09-13T23:42:30.505127+00:00
V3,arxiv,F06_primary,F06,primary,multi-robot shared load object transport,"{""max_results"": 25, ""search_query"": ""all:multi-robot AND (all:shared OR all:load OR all:object OR all:transport)"", ""sortBy"": ""relevance"", ""sortOrder"": ""descending"", ""start"": 0}",https://export.arxiv.org/api/query,2000,2026,0,0,network_blocked,provider circuit breaker open after a connection failure,2026-09-13T23:42:30.505384+00:00
V3,arxiv,F07_primary,F07,primary,multi-robot non-prehensile transport caging pushing,"{""max_results"": 25, ""search_query"": ""all:multi-robot AND (all:non-prehensile OR all:transport OR all:caging OR all:pushing)"", ""sortBy"": ""relevance"", ""sortOrder"": ""descending"", ""start"": 0}",https://export.arxiv.org/api/query,2000,2026,0,0,network_blocked,provider circuit breaker open after a connection failure,2026-09-13T23:42:30.505630+00:00
V3,arxiv,F07_foundational,F07,foundational,multi-robot non-prehensile transport caging pushing,"{""max_results"": 25, ""search_query"": ""all:multi-robot AND (all:non-prehensile OR all:transport OR all:caging OR all:pushing)"", ""sortBy"": ""relevance"", ""sortOrder"": ""descending"", ""start"": 0}",https://export.arxiv.org/api/query,1940,1999,0,0,network_blocked,provider circuit breaker open after a connection failure,2026-09-13T23:42:30.506001+00:00
V3,arxiv,F08_primary,F08,primary,multi-robot wrench contact force feasibility payload,"{""max_results"": 25, ""search_query"": ""all:multi-robot AND (all:wrench OR all:contact OR all:force OR all:feasibility OR all:payload)"", ""sortBy"": ""relevance"", ""sortOrder"": ""descending"", ""start"": 0}",https://export.arxiv.org/api/query,2000,2026,0,0,network_blocked,provider circuit breaker open after a connection failure,2026-09-13T23:42:30.506289+00:00
V3,arxiv,F08_foundational,F08,foundational,multi-robot wrench contact force feasibility payload,"{""max_results"": 25, ""search_query"": ""all:multi-robot AND (all:wrench OR all:contact OR all:force OR all:feasibility OR all:payload)"", ""sortBy"": ""relevance"", ""sortOrder"": ""descending"", ""start"": 0}",https://export.arxiv.org/api/query,1940,1999,0,0,network_blocked,provider circuit breaker open after a connection failure,2026-09-13T23:42:30.506539+00:00
V3,arxiv,F09_primary,F09,primary,distributed multi-robot formation docking cooperative transport,"{""max_results"": 25, ""search_query"": ""all:distributed AND (all:multi-robot OR all:formation OR all:docking OR all:cooperative OR all:transport)"", ""sortBy"": ""relevance"", ""sortOrder"": ""descending"", ""start"": 0}",https://export.arxiv.org/api/query,2000,2026,0,0,network_blocked,provider circuit breaker open after a connection failure,2026-09-13T23:42:30.506787+00:00
V3,arxiv,F09_foundational,F09,foundational,distributed multi-robot formation docking cooperative transport,"{""max_results"": 25, ""search_query"": ""all:distributed AND (all:multi-robot OR all:formation OR all:docking OR all:cooperative OR all:transport)"", ""sortBy"": ""relevance"", ""sortOrder"": ""descending"", ""start"": 0}",https://export.arxiv.org/api/query,1940,1999,0,0,network_blocked,provider circuit breaker open after a connection failure,2026-09-13T23:42:30.507030+00:00
