category,paper_count,denominator,share
SP1_coalition_allocation,115,244,0.471
TRANSVERSAL_resilience_communication,79,244,0.324
CONTEXT_other,72,244,0.295
SP3_planning_traffic,20,244,0.082
SP2_physical_transport,15,244,0.061
