v3_registry_id,identity_key,candidate_ids,title,authors,year,venue,doi,abstract,document_type,discovery_origins,provenance_sources,provenance_queries,legacy_screening_decisions,legacy_fulltext_status,legacy_evidence_status,metadata_status,v3_screening_status,v3_screening_reason,v3_allowed_use,duplicate_alias_count
C4960FE439ACD,doi:10.14232/analecta.2023.1.10-15,C4960FE439ACD,"3D camera augmented Autonomous Mobile Robot for intralogistics
						purposes",Alexandra Hegedűs; János Simon; József Sárosi,2023,Analecta Technica Szegedinensia,10.14232/analecta.2023.1.10-15,"AMRs (Autonomous Mobile Robots) are driverless vehicles programmed
						to perform a variety of tasks and are often used to transport goods or
						materials. However, there can be several problems with the driving
						performance of this type of vehicle. Safety in the workplace is important
						everywhere, but there are some areas that are particularly exposed to
						safety risks. Limited visibility is the main cause of accidents at work.
						Yet, robots can map these dangerous areas with their sensors. We will
						present a mobile robotic sensor development that can be implemented to
						increase the security of robotic warehouses. Testing is necessary in order
						to check the quality of existing defects in safety elements before delivery
						and to carry out a risk assessment. Our goal was to add a safety element to
						the robot to prevent the most common problem, namely it is colliding with a
						forklift truck, hitting objects outside the sensor planes or hanging in.
						Based on our experience with robots over the years, this has been a big
						challenge, as we have had several such collisions. Therefore, we selected
						and installed a modern 3D camera system and tested its compliance with the
						safety requirements and the difference between the safety level of a robot
						without 3D sensor (Alpha) and a robot with 3D sensor (Beta), based on the
						knowledge of the installed camera.",journal-article,historical_seed,crossref;stage1c_query_repair,Q15_amr_agv_industrial,maybe_fulltext,acquired_pdf,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C6418C2802760,doi:10.1016/j.isatra.2022.11.014,C6418C2802760,"3D hybrid formation control of an underwater robot swarm: Switching topologies, unmeasurable velocities, and system constraints",Yuwei Zhang; Shaoping Wang; Mary Katherine Heinrich; Xingjian Wang; Marco Dorigo,2022,ISA Transactions,10.1016/j.isatra.2022.11.014,,,v3_open_discovery,openalex,F11:primary,,,not_evidence,metadata_verified,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C1AEFA7564EC7,doi:10.1515/9789048515011-005,C1AEFA7564EC7,4. Getting there and back. Organizing long-distance military logistics with customers in mind,,2012,Mission Uruzgan,10.1515/9789048515011-005,,,v3_open_discovery,crossref,F14:primary,,,not_evidence,metadata_verified,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C2EE821AB4FCE,doi:10.1137/1.9780898718515.ch4,C2EE821AB4FCE,4. Set-Covering-Based Algorithms for the Capacitated VRP,Julien Bramel; David Simchi‐Levi,2002,Society for Industrial and Applied Mathematics eBooks,10.1137/1.9780898718515.ch4,,book-chapter,historical_seed,openalex;openalex_snowball,SB_B_CD3F5AE83E98C,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C482C98418F17,doi:10.1137/1.9780898718515.ch5,C482C98418F17,5. Classical Heuristics for the Capacitated VRP,Gilbert Laporte; Frédéric Semet,2002,Society for Industrial and Applied Mathematics eBooks,10.1137/1.9780898718515.ch5,,book-chapter,historical_seed,openalex;openalex_snowball,SB_B_CD3F5AE83E98C,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C7E7FFC8008DE,doi:10.1515/9781685855796-006,C7E7FFC8008DE,5. Decision-Theoretic and Game-Theoretic Models of International Conflict,Zeev Maoz,1986,Dynamic Models of International Conflict,10.1515/9781685855796-006,,,v3_open_discovery,crossref,F03:foundational,,,not_evidence,metadata_verified,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C8E1EB5A255EA,doi:10.1016/j.ejor.2024.03.026,C8E1EB5A255EA,50 years of warehousing research—An operations research perspective,Nils Boysen; René de Koster,2024,European Journal of Operational Research,10.1016/j.ejor.2024.03.026,,article,historical_seed,openalex;stage1c_query_repair,Q15_amr_agv_industrial,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
CE2FCCC3FF19C,doi:10.1137/1.9780898718515.ch6,CE2FCCC3FF19C,6. Metaheuristics for the Capacitated VRP,Michel Gendreau; Gilbert Laporte; Jean‐Yves Potvin,2002,Society for Industrial and Applied Mathematics eBooks,10.1137/1.9780898718515.ch6,,book-chapter,historical_seed,openalex;openalex_snowball,SB_B_CD3F5AE83E98C,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C9AC3F7B9BD16,doi:10.1515/9783111386690-025,C9AC3F7B9BD16,66321 Mensch-KI-Teams,Bernd Ludwig,2026,,10.1515/9783111386690-025,,book-chapter,historical_seed,openalex;openalex_snowball,SB_F_C8620A2DF94BF,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
C16FAC7BCC956,doi:10.1137/1.9780898718515.ch8,C16FAC7BCC956,8. VRP with Backhauls,Paolo Toth; Daniele Vigo,2002,Society for Industrial and Applied Mathematics eBooks,10.1137/1.9780898718515.ch8,,book-chapter,historical_seed,openalex;openalex_snowball,SB_B_CD3F5AE83E98C,exclude,,not_evidence,metadata_partial,not_screened,,discovery_only_until_v3_screening_and_passage_verification,0
