seed,target_pressure,demand_pressure,beta,closed,completed_value_ratio,partial_robot_fraction_raw
2035071600,0.5,0.5,0.0,True,1.0,0.0
2035071600,0.5,0.5,0.5,True,1.0,0.0
2035071600,0.5,0.5,1.0,True,1.0,0.0
2035071600,0.5,0.5,2.0,True,1.0,0.0
2035071600,0.5,0.5,4.0,True,1.0,0.0
2035071600,0.5,0.5,8.0,True,1.0,0.0
2035071601,0.5,0.5,0.0,True,1.0,0.0
2035071601,0.5,0.5,0.5,True,1.0,0.0
2035071601,0.5,0.5,1.0,True,1.0,0.0
2035071601,0.5,0.5,2.0,True,1.0,0.0
2035071601,0.5,0.5,4.0,True,1.0,0.0
2035071601,0.5,0.5,8.0,True,1.0,0.0
2035071602,0.5,0.5,0.0,True,1.0,0.0
2035071602,0.5,0.5,0.5,True,1.0,0.0
2035071602,0.5,0.5,1.0,True,1.0,0.0
2035071602,0.5,0.5,2.0,True,1.0,0.0
2035071602,0.5,0.5,4.0,True,1.0,0.0
2035071602,0.5,0.5,8.0,True,1.0,0.0
2035071603,0.5,0.5,0.0,True,1.0,0.0
2035071603,0.5,0.5,0.5,True,1.0,0.0
2035071603,0.5,0.5,1.0,True,1.0,0.0
2035071603,0.5,0.5,2.0,True,1.0,0.0
2035071603,0.5,0.5,4.0,True,1.0,0.0
2035071603,0.5,0.5,8.0,True,1.0,0.0
2035071604,0.5,0.5,0.0,True,1.0,0.0
2035071604,0.5,0.5,0.5,True,1.0,0.0
2035071604,0.5,0.5,1.0,True,1.0,0.0
2035071604,0.5,0.5,2.0,True,1.0,0.0
2035071604,0.5,0.5,4.0,True,1.0,0.0
2035071604,0.5,0.5,8.0,True,1.0,0.0
2035071605,0.5,0.5,0.0,True,1.0,0.0
2035071605,0.5,0.5,0.5,True,1.0,0.0
2035071605,0.5,0.5,1.0,True,1.0,0.0
2035071605,0.5,0.5,2.0,True,1.0,0.0
2035071605,0.5,0.5,4.0,True,1.0,0.0
2035071605,0.5,0.5,8.0,True,1.0,0.0
2035071606,0.5,0.5,0.0,True,1.0,0.0
2035071606,0.5,0.5,0.5,True,1.0,0.0
2035071606,0.5,0.5,1.0,True,1.0,0.0
2035071606,0.5,0.5,2.0,True,1.0,0.0
2035071606,0.5,0.5,4.0,True,1.0,0.0
2035071606,0.5,0.5,8.0,True,1.0,0.0
2035071607,0.5,0.5,0.0,True,1.0,0.125
2035071607,0.5,0.5,0.5,True,1.0,0.0
2035071607,0.5,0.5,1.0,True,1.0,0.0
