check,case,passed,profiles
nash_equals_exact_quota,0,True,27
nash_equals_exact_quota,1,True,81
nash_equals_exact_quota,2,True,243
nash_equals_exact_quota,3,True,27
nash_equals_exact_quota,4,True,81
nash_equals_exact_quota,5,True,243
nash_equals_exact_quota,6,True,27
nash_equals_exact_quota,7,True,81
nash_equals_exact_quota,8,True,243
nash_equals_exact_quota,9,True,27
nash_equals_exact_quota,10,True,81
nash_equals_exact_quota,11,True,243
scarcity_linear_deficit_degeneracy,0,True,2
quorum_breaks_minimal_tie,0,True,2
