method,target_pressure,n_worlds,closed_mean,closed_ci95_low,closed_ci95_high,completed_value_ratio_mean,completed_value_ratio_ci95_low,completed_value_ratio_ci95_high,partial_robot_fraction_mean,partial_robot_fraction_ci95_low,partial_robot_fraction_ci95_high,normalized_excess_mean,normalized_excess_ci95_low,normalized_excess_ci95_high,runtime_ms_median
greedy_q,0.5,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19165000412613153
greedy_q,0.75,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3100000321865082
greedy_q,1.0,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45950000640004873
greedy_q,1.1,240,1.0,1.0,1.0,0.999329057110184,0.9984668891080918,0.9999196986666926,0.0,0.0,0.0,0.0,0.0,0.0,0.46900002053007483
greedy_q,1.25,240,1.0,1.0,1.0,0.9914376635760214,0.9878604670911599,0.9947305174283252,0.0,0.0,0.0,0.0,0.0,0.0,0.5307999672368169
greedy_q,1.5,240,1.0,1.0,1.0,0.970670345114486,0.9623257728171792,0.9777623630229585,0.0,0.0,0.0,0.0,0.0,0.0,0.6483500474132597
milp_q,0.5,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.121200017631054
milp_q,0.75,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.016950038727373
milp_q,1.0,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.328900027554482
milp_q,1.1,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.772350017447025
milp_q,1.25,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.823249997571111
milp_q,1.5,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5785000547766685
smith_linear_qr,0.5,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.85689998511225
smith_linear_qr,0.75,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.61925002280623
smith_linear_qr,1.0,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82.26439997088164
smith_linear_qr,1.1,240,1.0,1.0,1.0,0.9802430130056367,0.974773601782283,0.9850668053955607,0.0,0.0,0.0,0.0,0.0,0.0,78.80519994068891
smith_linear_qr,1.25,240,1.0,1.0,1.0,0.9347965686309198,0.9232871243886718,0.9463185654915967,0.0,0.0,0.0,0.0,0.0,0.0,84.32069991249591
smith_linear_qr,1.5,240,1.0,1.0,1.0,0.9179136719487645,0.9026092825715045,0.9319818506374623,0.0,0.0,0.0,0.0,0.0,0.0,91.77744999760762
smith_qr,0.5,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.30489994073287
smith_qr,0.75,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.01710003009066
smith_qr,1.0,240,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,86.97519998531789
smith_qr,1.1,240,1.0,1.0,1.0,0.9803907036219336,0.9751865262039807,0.9854461691698627,0.0,0.0,0.0,0.0,0.0,0.0,85.78674995806068
smith_qr,1.25,240,1.0,1.0,1.0,0.931228369041902,0.9184549149574129,0.9432162244570946,0.0,0.0,0.0,0.0,0.0,0.0,93.4621500200592
smith_qr,1.5,240,1.0,1.0,1.0,0.9434613090938451,0.9304520120912552,0.9552549145663747,0.0,0.0,0.0,0.0,0.0,0.0,98.59215002506971
smith_raw,0.5,240,0.8416666666666667,0.7916666666666666,0.8875,0.21181856035432403,0.16602517620048882,0.26141078885304836,0.017447916666666667,0.009895833333333333,0.026048177083333297,0.011458333333333333,0.005989583333333334,0.018229166666666668,81.1795000336133
smith_raw,0.75,240,0.5833333333333334,0.5208333333333334,0.6458333333333334,0.10818511731703977,0.07540919977843755,0.14613471064596834,0.015364583333333333,0.008333333333333333,0.0234375,0.14765625,0.11744791666666667,0.18047526041666664,79.82370001263916
smith_raw,1.0,240,0.18333333333333332,0.13333333333333333,0.23333333333333334,0.17835630442834052,0.1400506649980894,0.2190598743663334,0.05546875,0.042708333333333334,0.06875,0.3536458333333333,0.31509765625,0.3937565104166666,86.27790003083646
smith_raw,1.1,240,0.09583333333333334,0.058333333333333334,0.13333333333333333,0.2159799413045475,0.17378971807844207,0.26345028852844626,0.09296875,0.07603515625,0.11015625,0.36380208333333336,0.32603515625,0.40208984374999995,85.60704998672009
smith_raw,1.25,240,0.09166666666666666,0.058333333333333334,0.12916666666666668,0.22974881731917093,0.19264660413443926,0.27032217087098226,0.11536458333333334,0.09530598958333333,0.1377669270833333,0.3375,0.30026041666666664,0.37371093749999995,93.2417000294663
smith_raw,1.5,240,0.05,0.025,0.07916666666666666,0.22514201576850434,0.18663493192344888,0.2674022613229466,0.12005208333333334,0.09947916666666666,0.140625,0.35130208333333335,0.31640625,0.38515625,98.20880001643673
smith_raw_no_excess,0.5,240,0.39166666666666666,0.3333333333333333,0.4583333333333333,0.4204645637691631,0.37403539451517703,0.46773763205622304,0.05651041666666667,0.045572916666666664,0.06796875,0.03697916666666667,0.030201822916666666,0.04453125,81.49184996727854
smith_raw_no_excess,0.75,240,0.15833333333333333,0.1125,0.20416666666666666,0.4100938965887702,0.3735106396646606,0.44991483677109284,0.04765625,0.0375,0.05859375,0.1265625,0.11380208333333333,0.1401106770833333,75.93295001424849
smith_raw_no_excess,1.0,240,0.09583333333333334,0.0625,0.13333333333333333,0.23324062097607748,0.1966822642458862,0.27298694085895325,0.08411458333333334,0.06979166666666667,0.0984375,0.32760416666666664,0.2953059895833333,0.3609440104166666,87.69079996272922
smith_raw_no_excess,1.1,240,0.07916666666666666,0.04583333333333333,0.1125,0.27439820229080525,0.2296284449764273,0.32103678011246917,0.10677083333333333,0.08958333333333333,0.12318359374999997,0.3533854166666667,0.31718098958333335,0.3919270833333333,86.0433999914676
smith_raw_no_excess,1.25,240,0.07083333333333333,0.0375,0.10833333333333334,0.2467421557739262,0.20865003074988187,0.28718697353207995,0.13776041666666666,0.11405598958333334,0.16224609374999996,0.34401041666666665,0.30910156250000004,0.38333333333333336,87.95900002587587
smith_raw_no_excess,1.5,240,0.05,0.025,0.07916666666666666,0.21413774126343554,0.17646991767697565,0.2526591711757996,0.10703125,0.08776041666666666,0.12708333333333333,0.3828125,0.3458333333333333,0.4197916666666667,94.8009499697946
