experiment_id,world_id,seed,replicate,n_robots,n_loads,total_demand,target_pressure,demand_pressure,regime,quota_mixture,geometry,min_quota,max_quota,method,stage,closed,completed_loads,completed_value,completed_value_ratio,deficit,normalized_deficit,excess,normalized_excess,partial_robots,partial_robot_fraction,idle_robots,social_cost,objective,objective_gap,iterations,evaluations,runtime_s,converged,residual
PRE_THESIS_SP1_FIGURES_20260908,39c3b9376f2f37d66ecf,2026071600,0,8,2,4,0.5,0.5,abundance,homogeneous,uniform,2,2,milp_q,ORACLE,True,2,2.5046695580005913,1.0,0,0.0,0,0.0,0,0.0,4,0.8121540248393118,2.3828464542746945,0.0,1,18,0.005031599896028638,True,
PRE_THESIS_SP1_FIGURES_20260908,39c3b9376f2f37d66ecf,2026071600,0,8,2,4,0.5,0.5,abundance,homogeneous,uniform,2,2,greedy_q,CLOSED,True,2,2.5046695580005913,1.0,0,0.0,0,0.0,0,0.0,4,0.8121540248393118,2.3828464542746945,0.0,2,22,0.0001295000547543168,True,
PRE_THESIS_SP1_FIGURES_20260908,39c3b9376f2f37d66ecf,2026071600,0,8,2,4,0.5,0.5,abundance,homogeneous,uniform,2,2,smith_raw,RAW,False,1,1.3334813012368605,0.5323980949811766,1,0.25,0,0.0,1,0.125,5,0.49131791173694217,1.2597836144763193,1.1230628397983753,250,18000,0.04674729995895177,False,0.005734241027331093
PRE_THESIS_SP1_FIGURES_20260908,39c3b9376f2f37d66ecf,2026071600,0,8,2,4,0.5,0.5,abundance,homogeneous,uniform,2,2,smith_qr,CLOSED,True,2,2.5046695580005913,1.0,0,0.0,0,0.0,0,0.0,4,0.8121540248393118,2.3828464542746945,0.0,252,18022,0.046829599887132645,False,0.005734241027331093
PRE_THESIS_SP1_FIGURES_20260908,39c3b9376f2f37d66ecf,2026071600,0,8,2,4,0.5,0.5,abundance,homogeneous,uniform,2,2,smith_linear_qr,CLOSED,True,2,2.5046695580005913,1.0,0,0.0,0,0.0,0,0.0,4,0.8121540248393118,2.3828464542746945,0.0,252,18022,0.050119200022891164,False,0.005721261537033066
PRE_THESIS_SP1_FIGURES_20260908,39c3b9376f2f37d66ecf,2026071600,0,8,2,4,0.5,0.5,abundance,homogeneous,uniform,2,2,smith_raw_no_excess,RAW,True,1,1.3334813012368605,0.5323980949811766,2,0.5,0,0.0,0,0.0,6,0.23955417873943194,1.2975481744259456,1.085298279848749,250,18000,0.05577899992931634,False,0.005869201651490103
PRE_THESIS_SP1_FIGURES_20260908,52c8e7196199e52fed2d,2026071601,1,8,2,4,0.5,0.5,abundance,homogeneous,uniform,2,2,milp_q,ORACLE,True,2,2.8591310172141213,1.0,0,0.0,0,0.0,0,0.0,4,0.3738417674170854,2.8030547521015583,0.0,1,18,0.006187899969518185,True,
PRE_THESIS_SP1_FIGURES_20260908,52c8e7196199e52fed2d,2026071601,1,8,2,4,0.5,0.5,abundance,homogeneous,uniform,2,2,greedy_q,CLOSED,True,2,2.8591310172141213,1.0,0,0.0,0,0.0,0,0.0,4,0.3738417674170854,2.8030547521015583,0.0,2,22,8.999998681247234e-05,True,
PRE_THESIS_SP1_FIGURES_20260908,52c8e7196199e52fed2d,2026071601,1,8,2,4,0.5,0.5,abundance,homogeneous,uniform,2,2,smith_raw,RAW,False,1,1.3882292614547371,0.4855423739228989,0,0.0,1,0.125,0,0.0,3,0.5540360602256552,1.3051238524208888,1.4979308996806695,250,18000,0.04562170000281185,False,0.0059779510648802145
PRE_THESIS_SP1_FIGURES_20260908,52c8e7196199e52fed2d,2026071601,1,8,2,4,0.5,0.5,abundance,homogeneous,uniform,2,2,smith_qr,CLOSED,True,2,2.8591310172141213,1.0,0,0.0,0,0.0,0,0.0,4,0.3738417674170854,2.8030547521015583,0.0,252,18022,0.04568370000924915,False,0.0059779510648802145
