source_left,source_right,intersection_records
crossref,crossref,494
crossref,openalex,26
crossref,arxiv,0
crossref,semantic_scholar,24
crossref,core,0
crossref,openaire,21
crossref,dblp,0
crossref,doaj,5
openalex,crossref,26
openalex,openalex,430
openalex,arxiv,0
openalex,semantic_scholar,22
openalex,core,0
openalex,openaire,28
openalex,dblp,0
openalex,doaj,3
arxiv,crossref,0
arxiv,openalex,0
arxiv,arxiv,0
arxiv,semantic_scholar,0
arxiv,core,0
arxiv,openaire,0
arxiv,dblp,0
arxiv,doaj,0
semantic_scholar,crossref,24
semantic_scholar,openalex,22
semantic_scholar,arxiv,0
semantic_scholar,semantic_scholar,48
semantic_scholar,core,0
semantic_scholar,openaire,24
semantic_scholar,dblp,0
semantic_scholar,doaj,4
core,crossref,0
core,openalex,0
core,arxiv,0
core,semantic_scholar,0
core,core,0
core,openaire,0
core,dblp,0
core,doaj,0
openaire,crossref,21
openaire,openalex,28
openaire,arxiv,0
openaire,semantic_scholar,24
openaire,core,0
openaire,openaire,95
openaire,dblp,0
openaire,doaj,3
dblp,crossref,0
dblp,openalex,0
dblp,arxiv,0
dblp,semantic_scholar,0
dblp,core,0
dblp,openaire,0
dblp,dblp,0
dblp,doaj,0
doaj,crossref,5
doaj,openalex,3
doaj,arxiv,0
doaj,semantic_scholar,4
doaj,core,0
doaj,openaire,3
doaj,dblp,0
doaj,doaj,32
