capacity_mode,capacity_label,scenario,scenario_label,n_worlds,false_feasible_count,capacity_cv_median,false_feasible_rate,false_feasible_ci_low,false_feasible_ci_high,shortfall_kg_median_when_false,milp_certification_rate,milp_certified_count,milp_certification_ci_low,milp_certification_ci_high,milp_rescue_rate_among_false,milp_rescue_count,milp_rescue_ci_low,milp_rescue_ci_high
homogeneous,Homogénea,uniform,Aleatorio,60,0,0.0,0.0,0.0,0.06017185214208986,0.0,1.0,60,0.93982814785791,0.9999999999999998,,0,,
low,Baja,uniform,Aleatorio,60,19,0.1451973565580446,0.31666666666666665,0.21305867552366523,0.44233767026176773,0.821134998652969,1.0,60,0.93982814785791,0.9999999999999998,1.0,19,0.8318207759473837,1.0
moderate,Moderada,uniform,Aleatorio,60,48,0.3458210409208407,0.8,0.6821819419437211,0.8817149467710251,1.9775407004398768,1.0,60,0.93982814785791,0.9999999999999998,1.0,48,0.9258998703338824,0.9999999999999999
high,Alta,uniform,Aleatorio,60,51,0.6577907039751123,0.85,0.7388541093022145,0.9190255941983225,5.656828611928054,1.0,60,0.93982814785791,0.9999999999999998,1.0,51,0.9299533801014687,1.0
extreme,Extrema,uniform,Aleatorio,60,57,1.0171910913396032,0.95,0.8629948352365147,0.9828504978356043,11.977425729254236,1.0,60,0.93982814785791,0.9999999999999998,1.0,57,0.9368611651470209,0.9999999999999998
homogeneous,Homogénea,clustered,Agrupado,60,0,0.0,0.0,0.0,0.06017185214208986,0.0,1.0,60,0.93982814785791,0.9999999999999998,,0,,
low,Baja,clustered,Agrupado,60,25,0.13829966251878917,0.4166666666666667,0.30064278558341617,0.5427191897735989,0.9113798371334862,0.9666666666666667,58,0.886362257256914,0.9908106807438021,0.96,24,0.8045593626380625,0.9929037664980127
moderate,Moderada,clustered,Agrupado,60,42,0.33653395180856127,0.7,0.5749129205308552,0.8010183386123089,2.0033835571519356,1.0,60,0.93982814785791,0.9999999999999998,1.0,42,0.916201209134296,0.9999999999999999
high,Alta,clustered,Agrupado,60,59,0.6567070521696898,0.9833333333333333,0.9114487027240993,0.9970518402052136,5.942034387227604,1.0,60,0.93982814785791,0.9999999999999998,1.0,59,0.9388706294732116,1.0
extreme,Extrema,clustered,Agrupado,60,59,1.02001708675739,0.9833333333333333,0.9114487027240993,0.9970518402052136,10.296235954959942,1.0,60,0.93982814785791,0.9999999999999998,1.0,59,0.9388706294732116,1.0
homogeneous,Homogénea,separated,Separado,60,0,0.0,0.0,0.0,0.06017185214208986,0.0,1.0,60,0.93982814785791,0.9999999999999998,,0,,
low,Baja,separated,Separado,60,22,0.14181553054719703,0.36666666666666664,0.25620916687225426,0.49316999369896963,0.38551280293913764,0.9666666666666667,58,0.886362257256914,0.9908106807438021,0.9545454545454546,21,0.7820195416134267,0.991930572378736
moderate,Moderada,separated,Separado,60,36,0.3559880961122286,0.6,0.4736605349204075,0.7143050946511744,2.2412510179848066,0.9833333333333333,59,0.9114487027240993,0.9970518402052136,0.9722222222222222,35,0.8583028134672614,0.9950795928601897
high,Alta,separated,Separado,60,54,0.6317603900497025,0.9,0.7985053527602123,0.9533571655261158,5.42737176754632,1.0,60,0.93982814785791,0.9999999999999998,1.0,54,0.9335864119091037,1.0
extreme,Extrema,separated,Separado,60,58,1.0202682390160176,0.9666666666666667,0.886362257256914,0.9908106807438021,9.631746533968908,1.0,60,0.93982814785791,0.9999999999999998,1.0,58,0.9378821442127971,1.0
homogeneous,Homogénea,ring,Anillo,60,0,0.0,0.0,0.0,0.06017185214208986,0.0,1.0,60,0.93982814785791,0.9999999999999998,,0,,
low,Baja,ring,Anillo,60,22,0.1533712655150731,0.36666666666666664,0.25620916687225426,0.49316999369896963,0.6481983063026053,1.0,60,0.93982814785791,0.9999999999999998,1.0,22,0.8513451253913791,1.0
moderate,Moderada,ring,Anillo,60,41,0.32223922911343317,0.6833333333333333,0.5576623297382323,0.7869413244763347,2.6203882243074617,1.0,60,0.93982814785791,0.9999999999999998,1.0,41,0.9143324298155681,0.9999999999999999
high,Alta,ring,Anillo,60,58,0.6620871387496181,0.9666666666666667,0.886362257256914,0.9908106807438021,4.9059190653139,1.0,60,0.93982814785791,0.9999999999999998,1.0,58,0.9378821442127971,1.0
extreme,Extrema,ring,Anillo,60,59,1.0576003659938296,0.9833333333333333,0.9114487027240993,0.9970518402052136,12.76232534766535,1.0,60,0.93982814785791,0.9999999999999998,1.0,59,0.9388706294732116,1.0
homogeneous,Homogénea,corridor,Pasillo,60,0,0.0,0.0,0.0,0.06017185214208986,0.0,1.0,60,0.93982814785791,0.9999999999999998,,0,,
low,Baja,corridor,Pasillo,60,26,0.1443343596237343,0.43333333333333335,0.3157239680468677,0.5589656122387444,0.6221670662921852,1.0,60,0.93982814785791,0.9999999999999998,1.0,26,0.8712710781407846,1.0
moderate,Moderada,corridor,Pasillo,60,49,0.34171860292742406,0.8166666666666667,0.7008024625353194,0.8944220311080237,2.280080096414668,1.0,60,0.93982814785791,0.9999999999999998,1.0,49,0.9273021807795035,0.9999999999999999
high,Alta,corridor,Pasillo,60,55,0.6513782377897258,0.9166666666666666,0.8193105798166558,0.9638795433982692,5.847992194056015,1.0,60,0.93982814785791,0.9999999999999998,1.0,55,0.9347150988829137,1.0
extreme,Extrema,corridor,Pasillo,60,60,0.9683898691663546,1.0,0.93982814785791,0.9999999999999998,10.519202311948089,1.0,60,0.93982814785791,0.9999999999999998,1.0,60,0.93982814785791,0.9999999999999998
