capacity_mode,n_pairs,discordant_heterogeneous_only,discordant_homogeneous_only,mcnemar_exact_p_raw,mcnemar_exact_p_holm,supported
low,300,114,0,4.81482486096809e-35,4.81482486096809e-35,True
moderate,300,216,0,9.495567745759799e-66,1.8991135491519597e-65,True
high,300,277,0,4.118046071574423e-84,1.235413821472327e-83,True
extreme,300,293,0,6.28363963558109e-89,2.513455854232436e-88,True
