capacity_mode,capacity_label,capacity_cv_median,capacity_spread_median,n_false_feasible,certificate_rate,deficit_median_when_false,deficit_ci_low,deficit_ci_high,deficit_p90_when_false,milp_feasible_among_false,milp_certified_among_false
homogeneous,Homogénea,0.0,1.0,0,1.0,,,,,0,0
low,Baja,0.1436035208315564,1.79479551246544,114,0.0,0.0469104114732371,0.0356845260736193,0.0560322464071683,0.11096179779870431,114,112
moderate,Moderada,0.3418744308848889,3.8565700461762393,216,0.0,0.14304324911359034,0.12181469661359455,0.159573136534251,0.31815704763151487,216,215
high,Alta,0.6503484493367129,12.3794384229874,277,0.0,0.3319564939147243,0.2906410200312668,0.3533893619128708,0.5659660246943797,277,277
extreme,Extrema,1.0126540481039807,51.21384963845899,293,0.0,0.5390282329329019,0.5048313515677687,0.5758513442959908,0.7761686794154153,293,293
