scenario,scenario_label,n_worlds,relative_saving_median,relative_saving_ci_low,relative_saving_ci_high,normalized_p95_cost_median,normalized_p95_cost_q25,normalized_p95_cost_q75,normalized_p95_cost_p05,normalized_p95_cost_p95,feasibility_rate,constraint_violations,wilcoxon_p_raw,rank_biserial_vs_5pct,sign_sensitivity_p_raw,wilcoxon_p_holm,sign_sensitivity_p_holm,saving_over_5pct_supported,sign_sensitivity_supported
uniform,Aleatorio,900,0.11384814924686375,0.10940493920887179,0.116713350202703,0.1263906011170079,0.0809960918256677,0.19812930668594003,0.044369536373299635,0.3234834302086162,1.0,0,5.074194889155188e-136,0.9540954495005549,9.539543644862363e-150,2.0296779556620753e-135,3.8158174579449453e-149,True,True
clustered,Agrupado,900,0.09915615640915104,0.096802565303881,0.10132761517994385,0.20790992244857645,0.19130048444823575,0.24622378499834904,0.17812441854223618,0.3327084285864984,1.0,0,3.940808215628353e-146,0.9895079541250462,1.2011064663762734e-215,1.9704041078141764e-145,6.005532331881367e-215,True,True
separated,Separado,900,0.011810809321353501,0.0114060082245697,0.0123152333864088,0.5582316048380552,0.545609440838581,0.570180698731052,0.515175897609904,0.5980441466663222,1.0,0,1.0,-0.9999556048834628,1.0,1.0,1.0,False,False
ring,Anillo,900,0.01656186704684465,0.015899243542391795,0.0171564682019395,0.25868673268244213,0.25385229218769595,0.266899058993992,0.2434591147264651,0.2894836369789517,1.0,0,1.0,-0.9702947342458996,1.0,1.0,1.0,False,False
corridor,Pasillo,900,0.0826605836699712,0.0806007727775783,0.0843261067802239,0.08559344541068159,0.0711554087733424,0.11526453744384757,0.059471404590804224,0.19731284249634873,1.0,0,6.53221045513461e-107,0.8439018374645456,1.5678028315453061e-108,1.9596631365403828e-106,4.703408494635919e-108,True,True
