scenario,scenario_label,M,quota_mode,quota_label,n_worlds,relative_saving_median,cells_above_practical_threshold
uniform,Aleatorio,40,symmetric,simétrica,100,0.0982117392875842,True
uniform,Aleatorio,40,moderate,moderada,100,0.0986261270523196,True
uniform,Aleatorio,40,extreme,extrema,100,0.05462861443458315,True
uniform,Aleatorio,160,symmetric,simétrica,100,0.1312884862156129,True
uniform,Aleatorio,160,moderate,moderada,100,0.1248390413697176,True
uniform,Aleatorio,160,extreme,extrema,100,0.08877978750762924,True
uniform,Aleatorio,640,symmetric,simétrica,100,0.12879232090027715,True
uniform,Aleatorio,640,moderate,moderada,100,0.12935236111229115,True
uniform,Aleatorio,640,extreme,extrema,100,0.10545503327989961,True
clustered,Agrupado,40,symmetric,simétrica,100,0.12151906238041495,True
clustered,Agrupado,40,moderate,moderada,100,0.1106561283812506,True
clustered,Agrupado,40,extreme,extrema,100,0.06605136808686679,True
clustered,Agrupado,160,symmetric,simétrica,100,0.1146928230140784,True
clustered,Agrupado,160,moderate,moderada,100,0.12414424267374649,True
clustered,Agrupado,160,extreme,extrema,100,0.1002945102258189,True
clustered,Agrupado,640,symmetric,simétrica,100,0.0801995636918563,True
clustered,Agrupado,640,moderate,moderada,100,0.08640210430279724,True
clustered,Agrupado,640,extreme,extrema,100,0.10323722723873555,True
separated,Separado,40,symmetric,simétrica,100,0.01935388318926355,False
separated,Separado,40,moderate,moderada,100,0.0203117316872925,False
separated,Separado,40,extreme,extrema,100,0.01676818915055065,False
separated,Separado,160,symmetric,simétrica,100,0.0106148809253795,False
separated,Separado,160,moderate,moderada,100,0.0117449581579386,False
separated,Separado,160,extreme,extrema,100,0.0164669823302468,False
separated,Separado,640,symmetric,simétrica,100,0.00513444682488425,False
separated,Separado,640,moderate,moderada,100,0.00574345228225125,False
separated,Separado,640,extreme,extrema,100,0.0099825734092961,False
ring,Anillo,40,symmetric,simétrica,100,0.026883353748315048,False
ring,Anillo,40,moderate,moderada,100,0.02690281342771915,False
ring,Anillo,40,extreme,extrema,100,0.020785212090637502,False
ring,Anillo,160,symmetric,simétrica,100,0.0166974883408548,False
ring,Anillo,160,moderate,moderada,100,0.017409113798548398,False
ring,Anillo,160,extreme,extrema,100,0.02219136875760835,False
ring,Anillo,640,symmetric,simétrica,100,0.0083178084519386,False
ring,Anillo,640,moderate,moderada,100,0.009344890607168851,False
ring,Anillo,640,extreme,extrema,100,0.0141568809530917,False
corridor,Pasillo,40,symmetric,simétrica,100,0.0803243984770384,True
corridor,Pasillo,40,moderate,moderada,100,0.08546844708378071,True
corridor,Pasillo,40,extreme,extrema,100,0.0475223680116617,False
corridor,Pasillo,160,symmetric,simétrica,100,0.0826103180087301,True
corridor,Pasillo,160,moderate,moderada,100,0.08119990309531311,True
corridor,Pasillo,160,extreme,extrema,100,0.0664072071067975,True
corridor,Pasillo,640,symmetric,simétrica,100,0.09492507114259816,True
corridor,Pasillo,640,moderate,moderada,100,0.08874502934207605,True
corridor,Pasillo,640,extreme,extrema,100,0.0785007563359344,True
