check_id,check_family,method_family,method_variant,fitness_id,rounding_id,world_seed,method_seed,N,K,expected_value,observed_value,absolute_error,relative_error,tolerance,passed,runtime_wall,config_hash,git_hash,timestamp_utc
U0_matching_trivial,matching_validity,classic,HUN,,EXACT,8000,,1,1,1,1,0.0,0.0,1e-09,True,0.08829997386783361,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U1_coverage_count,metric_correctness,classic,HUN,,EXACT,8001,,2,3,2,2,0.0,0.0,1e-09,True,0.060399994254112244,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U1_coverage,metric_correctness,classic,HUN,,EXACT,8001,,2,3,1.0,1.0,0.0,0.0,1e-09,True,0.04229997284710407,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U2_two_loads_served,metric_correctness,classic,HUN,,EXACT,8002,,3,2,2,2,0.0,0.0,1e-09,True,0.052699935622513294,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U2_one_idle,metric_correctness,classic,HUN,,EXACT,8002,,3,2,1,1,0.0,0.0,1e-09,True,0.03990007098764181,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U3_QR1_may_remain_stable,qr_termination,audit,QR1,,,8003,,2,2,True,True,0.0,0.0,0.0,True,0.005200039595365524,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U3_QR2_executes_swap,qr_acceptance,audit,QR2,,,8003,,2,2,True,True,0.0,0.0,0.0,True,0.00200001522898674,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U3_QRA_not_worse_QR2,qr_termination,audit,QRA,,,8003,,2,2,True,True,0.0,0.0,0.0,True,0.001300009898841381,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U4_tie_break_deterministic,seed_reproducibility,audit,HUN,,,8004,,4,4,True,True,0.0,0.0,0.0,True,0.002300017513334751,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U4_tie_matching_valid,matching_validity,audit,HUN,,,8004,,4,4,True,True,0.0,0.0,0.0,True,0.001400010660290718,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U5_REP_support_invariant,mass_conservation,population,REP,LIN,RAW,8005,,2,2,0.0,0.0,0.0,0.0,1e-12,True,0.1933000748977065,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U5_LOG_reactivates_zero_support,mass_conservation,audit,LOG,,,8005,,2,2,True,True,0.0,0.0,0.0,True,0.002600019797682762,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U5_SMI_protocol_recorded,mass_conservation,audit,SMI,,,8005,,2,2,True,True,0.0,0.0,0.0,True,0.001300009898841381,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U5_BNN_protocol_recorded,mass_conservation,audit,BNN,,,8005,,2,2,True,True,0.0,0.0,0.0,True,0.000800006091594696,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U7_ARG_conflict_possible,matching_validity,audit,ARG,,,8007,,3,3,True,True,0.0,0.0,0.0,True,0.002200016751885414,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U7_REPAIR_resolves_conflict,matching_validity,audit,REPAIR,,,8007,,3,3,True,True,0.0,0.0,0.0,True,0.001400010660290718,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U7_QR_resolves_conflict,matching_validity,audit,QR1,,,8007,,3,3,True,True,0.0,0.0,0.0,True,0.00100000761449337,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U8_lexicographic_coverage_dominates,metric_correctness,audit,objective,,,8008,,2,2,True,True,0.0,0.0,0.0,True,0.001800013706088066,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U6_lambda2_zero,cache_consistency,audit,graph,,,8106,,8,8,0.0,0.0,0.0,0.0,1e-09,True,0.003300025127828121,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U6_components_gt_one,cache_consistency,audit,graph,,,8106,,8,8,True,True,0.0,0.0,0.0,True,0.001300009898841381,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
U9_timeout_preserved,timeout_preservation,audit,SMI,,,8109,,8,8,True,"{""closure_success"": true, ""continuous_converged"": false, ""continuous_timeout"": true, ""final_success"": true}",,,0.0,True,0.005600042641162872,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
G3_REP_simplex,simplex,population,REP,LIN,QR1,8200,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.28389994986355305,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
G3_REP_nonnegative,non_negativity,population,REP,LIN,QR1,8200,,6,6,0.0,0.0,0.0,0.0,1e-09,True,0.2161000156775117,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
G3_REP_mass,mass_conservation,population,REP,LIN,QR1,8200,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.20929996389895678,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
G3_REP_potential_contract,potential_monotonicity,audit,REP,,,8200,,6,6,True,"{""applicable"": true, ""violations"": 0}",,,0.0,True,0.009499955922365189,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
G3_SMI_simplex,simplex,population,SMI,LIN,QR1,8201,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.37379993591457605,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
G3_SMI_nonnegative,non_negativity,population,SMI,LIN,QR1,8201,,6,6,0.0,0.0,0.0,0.0,1e-09,True,0.2756000030785799,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
G3_SMI_mass,mass_conservation,population,SMI,LIN,QR1,8201,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.2671000547707081,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
G3_SMI_potential_contract,potential_monotonicity,audit,SMI,,,8201,,6,6,True,"{""applicable"": true, ""violations"": 0}",,,0.0,True,0.008899951353669167,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
G3_BNN_simplex,simplex,population,BNN,LIN,QR1,8202,,6,6,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.00011102230246251565,1e-06,True,0.381199992261827,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
G3_BNN_nonnegative,non_negativity,population,BNN,LIN,QR1,8202,,6,6,0.0,0.0,0.0,0.0,1e-09,True,0.29150000773370266,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
G3_BNN_mass,mass_conservation,population,BNN,LIN,QR1,8202,,6,6,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.00011102230246251565,1e-06,True,0.2736999886110425,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
G3_BNN_potential_contract,potential_monotonicity,audit,BNN,,,8202,,6,6,True,"{""applicable"": true, ""violations"": 0}",,,0.0,True,0.008100061677396297,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
G3_LOG_simplex,simplex,population,LOG,LIN,QR1,8203,,6,6,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0002220446049250313,1e-06,True,0.3568000392988324,5cd442f74b66626f,72418e13f1be,2026-07-11T12:41:34.792830+00:00
