unit_id,sha256,path,bytes,media_type,pages_or_section,corpus,is_canonical,canonical_duplicate,sp_target,claim_ids,claim_link_status,claim_relation,claim_link_reason,evidence_locator,symbols,symbol_status,symbol_note,evidence_status,evidence_status_note,use,generator,provenance,license
SRC-617a593591cb7e13,69c0967cd09ae61e60604bdbf7430714947b543c8f4107259115a7991096e01a,"material/books/____N1____Fei Chen, Wei Ren - Distributed Average Tracking in Multi-agent Systems-Springer (2020).pdf",5717360,application/pdf,pages:240,books,yes,,SP1;SP2;transversal,C3D-SP3,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C3D-SP3,,not-applicable,El tipo de unidad o su función de estilo queda fuera del índice semántico de notación.,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,consultation-use-now,external-publication,third-party academic source; private consultation only,unknown/restricted; do not redistribute
SRC-c68ccfd92d3f5d54,279f2c2c0f1b7c40da3e7c68870981eb400d6eda5f250aa753efb60e3a41a7c7,"material/books/____N2__(Lecture Notes in Control and Information Sciences, 490) Ashton Roza, Manfredi Maggiore, Luca Scardovi - Distributed Coordination Theory for Robot Teams-Springer (2022).pdf",3362556,application/pdf,pages:153,books,yes,,SP2;transversal,C-SP2-N1-KIN-FORMAL,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP2-N1-KIN-FORMAL,,not-applicable,El tipo de unidad o su función de estilo queda fuera del índice semántico de notación.,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,consultation-use-now,external-publication,third-party academic source; private consultation only,unknown/restricted; do not redistribute
SRC-a5352edb4fdf3762,deedffb3db3fec1ec17f2974db6828c34bbb4faf1ce57a9d6c18074443a8d143,material/books/____N3(Power Systems) Lei Ding_ Qing-Long Han_ Boda Ning - Distributed Control and Optimization of Networked Microgrids_ A Multi-Agent System Based Approach-Springer (2022).pdf,4904105,application/pdf,pages:169,books,yes,,transversal,C8B-SP8,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C8B-SP8,,not-applicable,El tipo de unidad o su función de estilo queda fuera del índice semántico de notación.,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,consultation-use-later,external-publication,third-party academic source; private consultation only,unknown/restricted; do not redistribute
SRC-eb06edb5b9fef4df,d35c8eaed2b285ae5bbd7c59ff100ce2e0dfbf2f33dff7842cd138acd83216d7,"material/books/____N3__(Studies in Systems, Decision and Control 76) Yuanqing Wu, Renquan Lu, Hongye Su, Peng Shi, Zheng-Guang Wu (auth.) - Synchronization Control for Large-Scale Network Systems-Springer International Publ.pdf",6071545,application/pdf,pages:241,books,yes,,transversal,C8B-SP8,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C8B-SP8,,not-applicable,El tipo de unidad o su función de estilo queda fuera del índice semántico de notación.,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,consultation-use-later,external-publication,third-party academic source; private consultation only,unknown/restricted; do not redistribute
SRC-d366d50beff01df1,9a1c39f2d6fa368393be2abcd37c0adbe950686b18087b18f03652e88418db19,"material/books/____N4___Lijing Dong, Sing Kiong Nguang - Consensus Tracking of Multi-agent Systems with Switching Topologies (Emerging Methodologies and Applications in Modelling, Identification and Control)-Academic Press ( (1).pdf",16495923,application/pdf,pages:257,books,yes,,SP2;transversal,C5;C6D-SP6,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C5;C6D-SP6,,not-applicable,El tipo de unidad o su función de estilo queda fuera del índice semántico de notación.,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,consultation-use-later,external-publication,third-party academic source; private consultation only,unknown/restricted; do not redistribute
SRC-e385619b26baf1b7,a6584694a87a21bfc54286903a37cda750d7d6b66fd2e52e2535ddf1deaf9fe4,"material/books/____N5____Chunyan Wang, Zongyu Zuo, Jianan Wang, Zhengtao Ding - Robust Cooperative Control of Multi-Agent Systems_ A Prediction and Observation Prospective-CRC Press (2021).pdf",25970819,application/pdf,pages:231,books,yes,,SP2;transversal,C-SP2-N3-QUALITY-COST,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP2-N3-QUALITY-COST,,not-applicable,El tipo de unidad o su función de estilo queda fuera del índice semántico de notación.,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,consultation-use-later,external-publication,third-party academic source; private consultation only,unknown/restricted; do not redistribute
SRC-72cf71b8d4c2f78a,cddb29b06d51f8a38136950e37937ff33907e92f81ca1c4cdea9b09ae35bb3ff,"material/books/____N5___Bo Shen, Zidong Wang, Qi Li - Control and State Estimation for Dynamical Network Systems with Complex Samplings-CRC Press (2022).pdf",13601369,application/pdf,pages:307,books,yes,,transversal,C8B-SP8,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C8B-SP8,,not-applicable,El tipo de unidad o su función de estilo queda fuera del índice semántico de notación.,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,consultation-use-later,external-publication,third-party academic source; private consultation only,unknown/restricted; do not redistribute
SRC-9dca912387724429,a6584694a87a21bfc54286903a37cda750d7d6b66fd2e52e2535ddf1deaf9fe4,"material/books/___N4___Chunyan Wang, Zongyu Zuo, Jianan Wang, Zhengtao Ding - Robust Cooperative Control of Multi-Agent Systems_ A Prediction and Observation Prospective-CRC Press (2021).pdf",25970819,application/pdf,pages:231,books,no,"material/books/____N5____Chunyan Wang, Zongyu Zuo, Jianan Wang, Zhengtao Ding - Robust Cooperative Control of Multi-Agent Systems_ A Prediction and Observation Prospective-CRC Press (2021).pdf",SP2;transversal,C-SP2-N3-QUALITY-COST,linked,canonical-reference,Los enlaces se heredan del archivo canónico; el duplicado exacto no añade evidencia.,docs/04_CLAIMS_EVIDENCE.md::C-SP2-N3-QUALITY-COST,,not-applicable,El tipo de unidad o su función de estilo queda fuera del índice semántico de notación.,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,exact-duplicate-reference,external-publication,third-party academic source; private consultation only,unknown/restricted; do not redistribute
SRC-ae2579b85f790469,58ee1b93b23bb5ff35131bfdec12335cb2555506ad8864e40ac01939166d5714,"material/books/___N7___(Automation and Control Engineering) Zhongkui Li, Zhisheng Duan - Cooperative Control of Multi-Agent Systems_ A Consensus Region Approach-CRC Press (2014).pdf",4169401,application/pdf,pages:263,books,yes,,SP2;transversal,C-SP2-N3-QUALITY-COST,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP2-N3-QUALITY-COST,,not-applicable,El tipo de unidad o su función de estilo queda fuera del índice semántico de notación.,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,consultation-use-later,external-publication,third-party academic source; private consultation only,unknown/restricted; do not redistribute
SRC-e0d36b349fca2523,972ccde3b216e2841458c2c5838a65a8e156ffb32335ccaed3cfa0da9d0b1c6b,material/books/___N8____Jeremy Pitt - Self-organising Multi-agent Systems_ Algorithmic Foundations Of Cyber-anarcho-socialism-WSPC (EUROPE) (2021).pdf,27318054,application/pdf,pages:400,books,yes,,SP1;transversal,C-SP1-N4-TAXONOMY,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP1-N4-TAXONOMY,,not-applicable,El tipo de unidad o su función de estilo queda fuera del índice semántico de notación.,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,consultation-use-later,external-publication,third-party academic source; private consultation only,unknown/restricted; do not redistribute
